rowId,title,provider,originalAction,recommendedNextAction,confidence,sourcePageType,topic,formats,bytes,coverage,proposedPlacement,sourceVisibility,browseTreatment,publicationBlocker,rationale,strongestExistingMatch,provenanceSummary,downloadSummary,reviewerInstruction
source-doc-00744-northern-ireland-goods-vehicle-operators-licence-records,Northern Ireland Goods Vehicle Operator's Licence Records,Open Data NI,hold,publish table/source now; defer interactive map,medium-high,table,general-reference,gml; csv,2816087,Northern Ireland,Browse/Tables plus Sources,browse-visible after approval,Publish as a source/table with downloads and provenance; create interactive PMTiles later only after semantic/geography checks.,semantic/geography staging before map conversion,"Small supported spatial/table formats are present, but the content is statistical/source data where table semantics matter before interactive-map promotion.",,Open Data NI,nigvlicences-20230108233010.csv | transitionalwaterbodiesgml.zip | transitionalwaterbodiesshp.zip,Approve table/source publication first; open a separate map-conversion ticket only after geography/semantic QA.
source-doc-03547-northern-ireland-local-authority-collected-municipal-waste-management-statistics,Northern Ireland Local Authority Collected Municipal Waste Management Statistics,Open Data NI,hold,publish table/source now; defer interactive map,medium-high,table,administrative-geography,gml; csv; pdf,1215675,Northern Ireland,Browse/Tables plus Sources,browse-visible after approval,Publish as a source/table with downloads and provenance; create interactive PMTiles later only after semantic/geography checks.,semantic/geography staging before map conversion,"Small supported spatial/table formats are present, but the content is statistical/source data where table semantics matter before interactive-map promotion.",,Open Data NI,lac-municipal-waste-timeseries-csv.csv | lac-municipal-waste-timeseries.pdf | transitionalwaterbodiesgml.zip | transitionalwaterbodiesshp.zip,Approve table/source publication first; open a separate map-conversion ticket only after geography/semantic QA.
source-doc-00745-northern-ireland-road-safety-partnership-2011-2021,Northern Ireland Road Safety Partnership 2011-2019,Open Data NI,hold,publish table/source now; defer interactive map,medium-high,table,transport,gml; csv,49930620,Northern Ireland,Browse/Tables plus Sources,browse-visible after approval,Publish as a source/table with downloads and provenance; create interactive PMTiles later only after semantic/geography checks.,semantic/geography staging before map conversion,"Small supported spatial/table formats are present, but the content is statistical/source data where table semantics matter before interactive-map promotion.",,Open Data NI,transitionalwaterbodiesgml.zip | transitionalwaterbodiesshp.zip | rsp_2011-2019.csv,Approve table/source publication first; open a separate map-conversion ticket only after geography/semantic QA.
source-doc-00746-northern-ireland-road-safety-partnership-statistics-2020-2024,Northern Ireland Road Safety Partnership statistics 2020-2024,Open Data NI,hold,publish table/source now; defer interactive map,medium-high,table,transport,gml; csv,40521482,Northern Ireland,Browse/Tables plus Sources,browse-visible after approval,Publish as a source/table with downloads and provenance; create interactive PMTiles later only after semantic/geography checks.,semantic/geography staging before map conversion,"Small supported spatial/table formats are present, but the content is statistical/source data where table semantics matter before interactive-map promotion.",,Open Data NI,transitionalwaterbodiesgml.zip | transitionalwaterbodiesshp.zip | rsp_2020-2024_opendata_final.csv,Approve table/source publication first; open a separate map-conversion ticket only after geography/semantic QA.
source-doc-03552-northern-ireland-water-consented-wastewater-results,Northern Ireland Water - Consented Wastewater Results,Open Data NI,hold,publish table/source now; defer interactive map,medium-high,source-reference,environment,gml; csv; pdf,3167169,Northern Ireland,Browse/Sources,browse-visible after approval,Publish as a source/table with downloads and provenance; create interactive PMTiles later only after semantic/geography checks.,semantic/geography staging before map conversion,"Small supported spatial/table formats are present, but the content is statistical/source data where table semantics matter before interactive-map promotion.",,Open Data NI,2024-ni-water-consented-wastewater-results.csv | opendatani-wastewater-results-commentary.pdf | transitionalwaterbodiesgml.zip | transitionalwaterbodiesshp.zip,Approve table/source publication first; open a separate map-conversion ticket only after geography/semantic QA.
source-doc-06107-performance-of-certain-residential-retrofit-schemes,Performance of certain residential retrofit schemes,data.gov.ie,hold,publish table/source now; defer interactive map,medium-high,source-reference,general-reference,shp; geojson; csv; pdf,2252555,unknown,Browse/Sources,browse-visible after approval,Publish as a source/table with downloads and provenance; create interactive PMTiles later only after semantic/geography checks.,semantic/geography staging before map conversion,"Small supported spatial/table formats are present, but the content is statistical/source data where table semantics matter before interactive-map promotion.",,data.gov.ie,csv | geojson | shapefile | 8-performance-of-certain-residential-retrofit-schemes.pdf,Approve table/source publication first; open a separate map-conversion ticket only after geography/semantic QA.
source-doc-00001-population-estimates-for-district-electoral-areas-deas-in-northern-ireland,Population Estimates for District Electoral Areas (DEAs) in Northern Ireland,Open Data NI,hold,publish table/source now; defer interactive map,medium-high,table,census,gml; csv,763449,Northern Ireland,Browse/Tables plus Sources,browse-visible after approval,Publish as a source/table with downloads and provenance; create interactive PMTiles later only after semantic/geography checks.,semantic/geography staging before map conversion,"Small supported spatial/table formats are present, but the content is statistical/source data where table semantics matter before interactive-map promotion.",,Open Data NI,population-estimates-for-district-electoral-areas-deas-mid-2011-to-mid-2020.csv | transitionalwaterbodiesgml.zip | transitionalwaterbodiesshp.zip,Approve table/source publication first; open a separate map-conversion ticket only after geography/semantic QA.
source-doc-00402-population-estimates-for-northern-ireland,Population Estimates for Northern Ireland,Open Data NI,hold,publish table/source now; defer interactive map,medium-high,table,census,gml; csv,24460917,Northern Ireland,Browse/Tables plus Sources,browse-visible after approval,Publish as a source/table with downloads and provenance; create interactive PMTiles later only after semantic/geography checks.,semantic/geography staging before map conversion,"Small supported spatial/table formats are present, but the content is statistical/source data where table semantics matter before interactive-map promotion.",,Open Data NI,transitionalwaterbodiesgml.zip | transitionalwaterbodiesshp.zip | former-26-local-government-districts-by-single-year-of-age-and-gender-mid-1991-to-mid-2020.csv | former-education-and-library-boards-by-single-year-of-age-and-gender-mid-1991-to-mid-2020.csv,Approve table/source publication first; open a separate map-conversion ticket only after geography/semantic QA.
source-doc-00004-population-estimates-for-super-output-areas-soas-and-electoral-wards-northern-ir,"Population Estimates for Super Output Areas (SOAs) and former Electoral Wards, Northern Ireland",Open Data NI,hold,publish table/source now; defer interactive map,medium-high,table,census,gml; csv,19961793,Northern Ireland,Browse/Tables plus Sources,browse-visible after approval,Publish as a source/table with downloads and provenance; create interactive PMTiles later only after semantic/geography checks.,semantic/geography staging before map conversion,"Small supported spatial/table formats are present, but the content is statistical/source data where table semantics matter before interactive-map promotion.",,Open Data NI,former-electoral-wards-1992-by-gender-and-broad-age-bands-mid-2001-to-mid-2020.csv | super-output-areas-soas-by-gender-and-broad-age-bands-mid-2001-to-mid-2020.csv | transitionalwaterbodiesgml.zip | transitionalwaterbodiesshp.zip,Approve table/source publication first; open a separate map-conversion ticket only after geography/semantic QA.
source-doc-00403-population-projections-for-areas-within-northern-ireland-2018-based,Population Projections for areas within Northern Ireland: 2018-based,Open Data NI,hold,publish table/source now; defer interactive map,medium-high,table,census,gml; csv,22681887,Northern Ireland,Browse/Tables plus Sources,browse-visible after approval,Publish as a source/table with downloads and provenance; create interactive PMTiles later only after semantic/geography checks.,semantic/geography staging before map conversion,"Small supported spatial/table formats are present, but the content is statistical/source data where table semantics matter before interactive-map promotion.",,Open Data NI,transitionalwaterbodiesgml.zip | transitionalwaterbodiesshp.zip | mid-2018-based-population-projections-for-areas-within-northern-ireland-elb.csv | mid-2018-based-population-projections-for-areas-within-northern-ireland-hsct.csv,Approve table/source publication first; open a separate map-conversion ticket only after geography/semantic QA.
source-doc-02138-derelict-sites-register,Derelict Sites Register,data.gov.ie,needs decision,merge as variant or citation for existing record,high,source-reference,general-reference,csv; geojson; filegdb,0,,Browse/Sources,source/reference only,Attach to the strongest existing map/source record rather than publishing as a new standalone record.,confirm duplicate versus provider variant,Existing-site evidence contains a high-scoring same-title/source-family match.,map-source:dlr-derelict-sites-register | Derelict Sites Register (DLR) source files | score 1.5,data.gov.ie,derelict-sites-register-dlr.csv | derelict-sites-register-dlr.geojson | csv | filegdb,"Confirm parent record, then attach as variant/citation rather than standalone."
source-doc-06104-parking,Parking,data.gov.ie,needs decision,merge as variant or citation for existing record,high,table,general-reference,csv; geojson,0,,Browse/Tables plus Sources,source/reference only,Attach to the strongest existing map/source record rather than publishing as a new standalone record.,confirm duplicate versus provider variant,Existing-site evidence contains a high-scoring same-title/source-family match.,map-source:dlr-accessible-parking-bays | Accessible Parking Bays (DLR) source files | score 1.5,data.gov.ie,dublin-bike-parking.csv | dublin-bike-parking.geojson | dublin-public-cycle-parking-facilities.csv | dublin-public-cycle-parking-facilities.geojson,"Confirm parent record, then attach as variant/citation rather than standalone."
source-doc-03514-community-centres,Belfast Community Centres,Open Data NI,needs decision,probable variant - user approval required,medium,table,general-reference,csv; geojson,0,,Browse/Tables plus Sources,browse-visible after approval,Treat as a likely variant/child record if the provider/date/format differs; otherwise reject as duplicate.,duplicate/variant decision,"There are plausible existing-site matches, but not enough evidence to auto-merge.",map-source:dcc-community-centres | Community Centres (DCC) source files | score 0.8,Open Data NI,communitycentresdata.csv | 0 | csv | geojson,Needs explicit user/product decision.
source-doc-00741-drainage-asset,Drainage Assets,Open Data NI,needs decision,probable variant - user approval required,medium,table,general-reference,csv; xml,0,,Browse/Tables plus Sources,browse-visible after approval,Treat as a likely variant/child record if the provider/date/format differs; otherwise reject as duplicate.,duplicate/variant decision,"There are plausible existing-site matches, but not enough evidence to auto-merge.",browse-source:map-source:dfi-surface-defects-2021 | NI Road Surface Defects 2021 source files | score 0.75,Open Data NI,Drainage_Assets.csv | Drainage_Assets.xml,Needs explicit user/product decision.
source-doc-05230-applications,"FSC, DAC, Dispensation & Relaxation Applications Data 2020 – Present",data.gov.ie,needs decision,probable variant - user approval required,medium,source-reference,general-reference,geojson,0,,Browse/Sources,browse-visible after approval,Treat as a likely variant/child record if the provider/date/format differs; otherwise reject as duplicate.,duplicate/variant decision,"There are plausible existing-site matches, but not enough evidence to auto-merge.",map-source:roi-national-planning-applications | ROI National Planning Applications source files | score 0.8,data.gov.ie,8f69dffe26324ba3acc653cf6cb5cf8b_1.geojson | query | query | FeatureServer,Needs explicit user/product decision.
source-doc-00845-health,Health Trust Reference Costs 2014-15,Open Data NI,needs decision,probable variant - user approval required,medium,table,health,csv,0,,Browse/Tables plus Sources,browse-visible after approval,Treat as a likely variant/child record if the provider/date/format differs; otherwise reject as duplicate.,duplicate/variant decision,"There are plausible existing-site matches, but not enough evidence to auto-merge.",map-source:hsct-2007 | Health and Social Care Trusts 2007 source files | score 0.8,Open Data NI,crsdataset.csv | obese-and-overweight-adults-health-survey-northern-ireland.csv | doh-information-asset-register.csv | doh-payments-over-25k-april-2024.csv,Needs explicit user/product decision.
source-doc-03553-report,Open Data Innovation and Outreach Fund Final Report,Open Data NI,needs decision,probable variant - user approval required,medium,book-or-report,transport,ods; pdf,0,,Browse/Books plus Sources,browse-visible after approval,Treat as a likely variant/child record if the provider/date/format differs; otherwise reject as duplicate.,duplicate/variant decision,"There are plausible existing-site matches, but not enough evidence to auto-merge.",book:dublin-reorganisation-1992 | Local Government in Dublin: A New Beginning — The Reorganisation Report (selected pages) | score 0.8,Open Data NI,orp_report_odni_201920.pdf | niw-ppp-reporting-2020-2021.ods | niw-ppp-reporting-operational-costs-2020-2021.ods,Needs explicit user/product decision.
source-doc-04018-cpdjan2026access,CPDJan2026access,NISRA,citation-only,citation-only source page,high,source-reference,general-reference,,0,,Sources,source/reference only,Add only as a source/reference page if it is cited by another record; do not create a standalone table or map entry yet.,needs parent citation target,No usable download or standalone Browse object was identified; this is useful mainly as citation/provenance.,,NISRA,,Approve only if there is a parent record that should cite this source.
source-doc-04019-cpdjan2026csv,CPDJan2026csv,NISRA,citation-only,citation-only source page,high,table,general-reference,,0,,Sources,source/reference only,Add only as a source/reference page if it is cited by another record; do not create a standalone table or map entry yet.,needs parent citation target,No usable download or standalone Browse object was identified; this is useful mainly as citation/provenance.,,NISRA,,Approve only if there is a parent record that should cite this source.
source-doc-04020-cpdjan2026txt,CPDJan2026txt,NISRA,citation-only,citation-only source page,high,source-reference,general-reference,,0,,Sources,source/reference only,Add only as a source/reference page if it is cited by another record; do not create a standalone table or map entry yet.,needs parent citation target,No usable download or standalone Browse object was identified; this is useful mainly as citation/provenance.,,NISRA,,Approve only if there is a parent record that should cite this source.
source-doc-04056-lfs-claimant-count-oct-2021-ods,LFS Claimant Count Oct 2021 ODS,NISRA,citation-only,citation-only source page,high,source-reference,general-reference,,0,,Sources,source/reference only,Add only as a source/reference page if it is cited by another record; do not create a standalone table or map entry yet.,needs parent citation target,No usable download or standalone Browse object was identified; this is useful mainly as citation/provenance.,,NISRA,,Approve only if there is a parent record that should cite this source.
