itemId,title,phase,recommendedUploadAction,target,reason,estimatedBytes,format,blocker
approved-publication:source-doc-04447-bookeen-gs-rainfall-data,Bookeen G.S. Rainfall Data,approved-source-record,none,external/source metadata only,Approved record uses Browse/source metadata and existing external/source download references; no R2 object is required in this branch.,,,
approved-publication:source-doc-00555-cause-20of-20death-20information-20in-20northern-20ireland-a-20user-20guide,Cause%20of%20Death%20Information%20in%20Northern%20Ireland A%20user%20guide,approved-source-record,none,external/source metadata only,Approved record uses Browse/source metadata and existing external/source download references; no R2 object is required in this branch.,,,
approved-publication:source-doc-03884-cja36-deception-and-related-offences-directly-reported-to-the-gardai-by-members-,"CJA36 - Recorded crime incidents of Fraud, Deception & Related offences directly reported to the Gardaí by members of the public",approved-source-record,none,external/source metadata only,Approved record uses Browse/source metadata and existing external/source download references; no R2 object is required in this branch.,,,
approved-publication:source-doc-03894-cjq07-deception-and-related-offences-directly-reported-to-the-gardai-by-members-,"CJQ07 - Recorded crime incidents of Fraud, Deception & Related offences directly reported to the Gardaí by members of the public",approved-source-record,none,external/source metadata only,Approved record uses Browse/source metadata and existing external/source download references; no R2 object is required in this branch.,,,
approved-publication:source-doc-03895-cjq08-deception-and-related-offences-directly-reported-to-the-gardai-by-members-,"CJQ08 - Recorded crime incidents of Fraud, Deception & Related offences directly reported to the Gardaí by members of the public",approved-source-record,none,external/source metadata only,Approved record uses Browse/source metadata and existing external/source download references; no R2 object is required in this branch.,,,
approved-publication:source-doc-00179-construction-status-report-2016-for-quarter-4,Construction status report 2016 for Quarter 4,approved-source-record,none,external/source metadata only,Approved record uses Browse/source metadata and existing external/source download references; no R2 object is required in this branch.,,,
approved-publication:source-doc-03919-cvs42-all-persons-who-were-victims-of-personal-crime-and-reported-incidents-to-a,CVS42 - All persons who were victims of personal crime and reported incidents to An Garda Siochana,approved-source-record,none,external/source metadata only,Approved record uses Browse/source metadata and existing external/source download references; no R2 object is required in this branch.,,,
approved-publication:source-doc-04863-cvs43-reason-for-not-reporting-some-or-all-incidents-to-an-garda-siochana,CVS43 - Reason for not reporting some or all incidents to An Garda Siochana,approved-source-record,none,external/source metadata only,Approved record uses Browse/source metadata and existing external/source download references; no R2 object is required in this branch.,,,
approved-publication:source-doc-03923-cvs48-were-victims-of-household-crime-and-reported-some-or-all-incidents-to-an-g,CVS48 - All households that were victims of household crime and reported some or all incidents to An Garda Siochana,approved-source-record,none,external/source metadata only,Approved record uses Browse/source metadata and existing external/source download references; no R2 object is required in this branch.,,,
approved-publication:source-doc-04864-cvs49-reason-for-not-reporting-some-or-all-incidents-to-an-garda-siochana,CVS49 - Reason for not reporting some or all incidents to An Garda Siochana,approved-source-record,none,external/source metadata only,Approved record uses Browse/source metadata and existing external/source download references; no R2 object is required in this branch.,,,
approved-publication:source-doc-03925-cvs53-t-were-victims-of-vehicle-crime-and-reported-some-or-all-incidents-to-an-g,CVS53 - All vehicle users that were victims of vehicle crime and reported some or all incidents to An Garda Siochana,approved-source-record,none,external/source metadata only,Approved record uses Browse/source metadata and existing external/source download references; no R2 object is required in this branch.,,,
approved-publication:source-doc-04865-structure-function-relationship-of-oat-flour-fractions-when-blended-with-wheat-f,Data underlying the publication: Structure-function relationship of oat flour fractions when blended with wheat flour: instrumental and nutritional quality characterization of resulting breads,approved-source-record,none,external/source metadata only,Approved record uses Browse/source metadata and existing external/source download references; no R2 object is required in this branch.,,,
approved-publication:source-doc-06675-motely-operated-vehicle-holland-underwater-video-dive-transects-collected-during,Dive summaries in PDF format for 50 ROV (Remotely Operated Vehicle) Holland underwater video dive transects collected during SeaRover2017 survey,approved-source-record,none,external/source metadata only,Approved record uses Browse/source metadata and existing external/source download references; no R2 object is required in this branch.,,,
approved-publication:source-doc-06676-motely-operated-vehicle-holland-underwater-video-dive-transects-collected-during,Dive summaries in PDF format for 52 ROV (Remotely Operated Vehicle) Holland underwater video dive transects collected during SeaRover2018 survey.,approved-source-record,none,external/source metadata only,Approved record uses Browse/source metadata and existing external/source download references; no R2 object is required in this branch.,,,
approved-publication:source-doc-06677-motely-operated-vehicle-holland-underwater-video-dive-transects-collected-during,Dive summaries in PDF format for 52 ROV (Remotely Operated Vehicle) Holland underwater video dive transects collected during SeaRover2019 survey.,approved-source-record,none,external/source metadata only,Approved record uses Browse/source metadata and existing external/source download references; no R2 object is required in this branch.,,,
approved-publication:source-doc-00184-enforcement-of-standards-and-rent-books-2005-to-2013,Enforcement of Standards and Rent Books 2005 to 2013,approved-source-record,none,external/source metadata only,Approved record uses Browse/source metadata and existing external/source download references; no R2 object is required in this branch.,,,
approved-publication:source-doc-00185-enforcement-of-standards-and-rent-books-in-2014-2015,Enforcement of Standards and Rent Books in 2014- 2015,approved-source-record,none,external/source metadata only,Approved record uses Browse/source metadata and existing external/source download references; no R2 object is required in this branch.,,,
approved-publication:source-doc-00186-enforcements-of-standards-and-rent-books-by-year,Enforcements of Standards and Rent Books by year,approved-source-record,none,external/source metadata only,Approved record uses Browse/source metadata and existing external/source download references; no R2 object is required in this branch.,,,
approved-publication:source-doc-05090-eqq01-persons-aged-18-years-and-over-who-reported-their-experience-of-discrimina,EQQ01 - Persons aged 18 years and over who reported their experience of discrimination,approved-source-record,none,external/source metadata only,Approved record uses Browse/source metadata and existing external/source download references; no R2 object is required in this branch.,,,
approved-publication:source-doc-05091-eqq02-persons-aged-18-years-and-over-who-reported-their-experience-of-discrimina,EQQ02 - Persons aged 18 years and over who reported their experience of discrimination,approved-source-record,none,external/source metadata only,Approved record uses Browse/source metadata and existing external/source download references; no R2 object is required in this branch.,,,
approved-publication:source-doc-05092-eqq03-persons-aged-18-years-and-over-who-reported-their-experience-of-discrimina,EQQ03 - Persons aged 18 years and over who reported their experience of discrimination,approved-source-record,none,external/source metadata only,Approved record uses Browse/source metadata and existing external/source download references; no R2 object is required in this branch.,,,
approved-publication:source-doc-05093-eqq04-persons-aged-18-years-and-over-who-reported-their-experience-of-discrimina,EQQ04 - Persons aged 18 years and over who reported their experience of discrimination,approved-source-record,none,external/source metadata only,Approved record uses Browse/source metadata and existing external/source download references; no R2 object is required in this branch.,,,
approved-publication:source-doc-05094-eqq05-persons-aged-18-years-and-over-who-reported-their-experience-of-discrimina,EQQ05 - Persons aged 18 years and over who reported their experience of discrimination,approved-source-record,none,external/source metadata only,Approved record uses Browse/source metadata and existing external/source download references; no R2 object is required in this branch.,,,
approved-publication:source-doc-05095-eqq07-persons-aged-18-years-and-over-who-reported-their-experience-of-discrimina,EQQ07 - Persons aged 18 years and over who reported their experience of discrimination,approved-source-record,none,external/source metadata only,Approved record uses Browse/source metadata and existing external/source download references; no R2 object is required in this branch.,,,
approved-publication:source-doc-05096-eqq09-persons-aged-18-years-and-over-who-reported-their-experience-of-discrimina,EQQ09 - Persons aged 18 years and over who reported their experience of discrimination,approved-source-record,none,external/source metadata only,Approved record uses Browse/source metadata and existing external/source download references; no R2 object is required in this branch.,,,
approved-publication:source-doc-05099-dublin-city-council-eu-imf-financial-reporting,EU IMF Financial Reporting DCC,approved-source-record,none,external/source metadata only,Approved record uses Browse/source metadata and existing external/source download references; no R2 object is required in this branch.,,,
approved-publication:source-doc-02920-finance-publications-annual-financial-statements,Finance Publications Annual Financial Statements,approved-source-record,none,external/source metadata only,Approved record uses Browse/source metadata and existing external/source download references; no R2 object is required in this branch.,,,
approved-publication:source-doc-05290-guardian-ad-litem-service-follow-up-report,Guardian ad Litem service - follow up report,approved-source-record,none,external/source metadata only,Approved record uses Browse/source metadata and existing external/source download references; no R2 object is required in this branch.,,,
approved-publication:source-doc-05291-guiprs07-resident-parents-reported-quality-of-relationship-with-parent-residing-,GUIPRS07 - Resident parent's reported quality of relationship with parent residing separately,approved-source-record,none,external/source metadata only,Approved record uses Browse/source metadata and existing external/source download references; no R2 object is required in this branch.,,,
approved-publication:source-doc-03733-guit07-respondents-who-reported-settling-in-well-into-secondary-school,GUIT07 - Respondents who reported settling in well into secondary school,approved-source-record,none,external/source metadata only,Approved record uses Browse/source metadata and existing external/source download references; no R2 object is required in this branch.,,,
approved-publication:source-doc-03734-guit08-respondents-who-reported-they-miss-their-old-friends-from-primary-school,GUIT08 - Respondents who reported they miss their old friends from primary school,approved-source-record,none,external/source metadata only,Approved record uses Browse/source metadata and existing external/source download references; no R2 object is required in this branch.,,,
approved-publication:source-doc-03735-guit09-respondents-who-reported-they-made-new-friends-in-secondary-school,GUIT09 - Respondents who reported they made new friends in secondary school,approved-source-record,none,external/source metadata only,Approved record uses Browse/source metadata and existing external/source download references; no R2 object is required in this branch.,,,
approved-publication:source-doc-05306-has05-households-who-reported-problems-with-dwelling-and-local-environment,HAS05 - Households who reported problems with Dwelling and Local Environment,approved-source-record,none,external/source metadata only,Approved record uses Browse/source metadata and existing external/source download references; no R2 object is required in this branch.,,,
approved-publication:source-doc-03736-health-service-executive-funding-and-financial-reporting,Health Service Executive funding and financial reporting,approved-source-record,none,external/source metadata only,Approved record uses Browse/source metadata and existing external/source download references; no R2 object is required in this branch.,,,
approved-publication:source-doc-00277-homlessness-report-july-2023,Homlessness Report July 2023,approved-source-record,none,external/source metadata only,Approved record uses Browse/source metadata and existing external/source download references; no R2 object is required in this branch.,,,
approved-publication:source-doc-00278-homlessness-report-june-2023,Homlessness Report June 2023,approved-source-record,none,external/source metadata only,Approved record uses Browse/source metadata and existing external/source download references; no R2 object is required in this branch.,,,
approved-publication:source-doc-03766-hspad15-healthcare-inpatient-service-users-reporting-being-treated-with-dignity-,HSPAD15 - Healthcare inpatient service users reporting being treated with dignity and respect,approved-source-record,none,external/source metadata only,Approved record uses Browse/source metadata and existing external/source download references; no R2 object is required in this branch.,,,
approved-publication:source-doc-03791-hspae22-slip-trip-or-fall-incidents-as-reported-to-nims-that-were-classified-as-,"HSPAE22 - Slip, trip or fall incidents as reported to NIMS that were classified as major or extreme",approved-source-record,none,external/source metadata only,Approved record uses Browse/source metadata and existing external/source download references; no R2 object is required in this branch.,,,
approved-publication:source-doc-03816-hspal110-adopted-and-implemented-technologies-after-health-technology-assessment,HSPAL110 - Adopted and implemented technologies after Health Technology Assessments report,approved-source-record,none,external/source metadata only,Approved record uses Browse/source metadata and existing external/source download references; no R2 object is required in this branch.,,,
approved-publication:source-doc-05809-https-www-cso-ie-en-releasesandpublications-ep-p-rpbi-registerofpublicsectorbodi,https-www-cso-ie-en-releasesandpublications-ep-p-rpbi-registerofpublicsectorbodies2020-final,approved-source-record,none,external/source metadata only,Approved record uses Browse/source metadata and existing external/source download references; no R2 object is required in this branch.,,,
approved-publication:source-doc-00409-https-kildarecoco-ie-allservices-roads-payparking-payparkingathy-doc-pdf,https://kildarecoco.ie/AllServices/Roads/PayParking/PayParkingAthy/DOC.pdf,approved-source-record,none,external/source metadata only,Approved record uses Browse/source metadata and existing external/source download references; no R2 object is required in this branch.,,,
approved-publication:source-doc-00410-https-kildarecoco-ie-allservices-roads-payparking-payparkingathy-doc000-pdf,https://kildarecoco.ie/AllServices/Roads/PayParking/PayParkingAthy/DOC000.pdf,approved-source-record,none,external/source metadata only,Approved record uses Browse/source metadata and existing external/source download references; no R2 object is required in this branch.,,,
approved-publication:source-doc-04049-iop-quality-report-updated-may2016,iop quality report updated may2016,approved-source-record,none,external/source metadata only,Approved record uses Browse/source metadata and existing external/source download references; no R2 object is required in this branch.,,,
approved-publication:source-doc-05930-latest-buoy-reports-for-m2,Latest Buoy reports for M2,approved-source-record,none,external/source metadata only,Approved record uses Browse/source metadata and existing external/source download references; no R2 object is required in this branch.,,,
approved-publication:source-doc-05931-latest-buoy-reports-for-m3,Latest Buoy reports for M3,approved-source-record,none,external/source metadata only,Approved record uses Browse/source metadata and existing external/source download references; no R2 object is required in this branch.,,,
approved-publication:source-doc-05932-latest-buoy-reports-for-m4,Latest Buoy reports for M4,approved-source-record,none,external/source metadata only,Approved record uses Browse/source metadata and existing external/source download references; no R2 object is required in this branch.,,,
approved-publication:source-doc-05933-latest-buoy-reports-for-m5,Latest Buoy reports for M5,approved-source-record,none,external/source metadata only,Approved record uses Browse/source metadata and existing external/source download references; no R2 object is required in this branch.,,,
approved-publication:source-doc-05934-latest-buoy-reports-for-m6,Latest Buoy reports for M6,approved-source-record,none,external/source metadata only,Approved record uses Browse/source metadata and existing external/source download references; no R2 object is required in this branch.,,,
approved-publication:source-doc-04072-mses-quality-report,mses quality report,approved-source-record,none,external/source metadata only,Approved record uses Browse/source metadata and existing external/source download references; no R2 object is required in this branch.,,,
approved-publication:source-doc-05970-mwa03-employees-aged-15-years-and-over-reporting-earnings-less-than-national-min,MWA03 - Employees aged 15 years and over reporting earnings less than National Minimum Wage,approved-source-record,none,external/source metadata only,Approved record uses Browse/source metadata and existing external/source download references; no R2 object is required in this branch.,,,
approved-publication:source-doc-04081-ni-ashe-background-quality-report-2025-0,NI ASHE background quality report 2025 0,approved-source-record,none,external/source metadata only,Approved record uses Browse/source metadata and existing external/source download references; no R2 object is required in this branch.,,,
approved-publication:source-doc-04125-nisra-annual-report-2013-14,NISRA Annual Report 2013 14,approved-source-record,none,external/source metadata only,Approved record uses Browse/source metadata and existing external/source download references; no R2 object is required in this branch.,,,
approved-publication:source-doc-04128-nisra-annual-report-and-accounts-2019-2020,NISRA Annual Report and Accounts 2019 2020,approved-source-record,none,external/source metadata only,Approved record uses Browse/source metadata and existing external/source download references; no R2 object is required in this branch.,,,
approved-publication:source-doc-04129-nisra-annual-report-and-accounts-2022-23,nisra annual report and accounts 2022 23,approved-source-record,none,external/source metadata only,Approved record uses Browse/source metadata and existing external/source download references; no R2 object is required in this branch.,,,
approved-publication:source-doc-04130-nisra-annual-report-and-accounts-2023-24,nisra annual report and accounts 2023 24,approved-source-record,none,external/source metadata only,Approved record uses Browse/source metadata and existing external/source download references; no R2 object is required in this branch.,,,
approved-publication:source-doc-04131-nisra-annual-report-and-accounts-year-ended-31-march-2021,NISRA Annual Report and Accounts year ended 31 March 2021,approved-source-record,none,external/source metadata only,Approved record uses Browse/source metadata and existing external/source download references; no R2 object is required in this branch.,,,
approved-publication:source-doc-04136-nisra-20-20annual-20report-20and-20accounts-202018-2019,NISRA%20 %20Annual%20Report%20and%20Accounts%202018 2019,approved-source-record,none,external/source metadata only,Approved record uses Browse/source metadata and existing external/source download references; no R2 object is required in this branch.,,,
approved-publication:source-doc-04140-nisra-20annual-20report-20and-20accounts-202016-17,NISRA%20Annual%20Report%20and%20Accounts%202016 17,approved-source-record,none,external/source metadata only,Approved record uses Browse/source metadata and existing external/source download references; no R2 object is required in this branch.,,,
approved-publication:source-doc-04141-nisra-20annual-20report-20and-20accounts-202017-2018,NISRA%20Annual%20Report%20and%20Accounts%202017 2018,approved-source-record,none,external/source metadata only,Approved record uses Browse/source metadata and existing external/source download references; no R2 object is required in this branch.,,,
approved-publication:source-doc-04149-northern-20ireland-20research-20and-20development-20user-20consultation-20-20pub,Northern%20Ireland%20Research%20and%20Development%20User%20Consultation%20 %20Publication,approved-source-record,none,external/source metadata only,Approved record uses Browse/source metadata and existing external/source download references; no R2 object is required in this branch.,,,
approved-publication:source-doc-04150-notice-for-publication-of-sic2007-estimates,notice for publication of sic2007 estimates,approved-source-record,none,external/source metadata only,Approved record uses Browse/source metadata and existing external/source download references; no R2 object is required in this branch.,,,
approved-publication:source-doc-03647-nta103-f-incident-and-injuries-sustained-of-main-road-traffic-collisions-in-prev,NTA103 - Reporting of incident and injuries sustained of main road traffic collisions in previous 12 months,approved-source-record,none,external/source metadata only,Approved record uses Browse/source metadata and existing external/source download references; no R2 object is required in this branch.,,,
approved-publication:source-doc-03653-nta54-reporting-of-road-traffic-collision-to-an-garda-siochanainsurance-company,NTA54 - Reporting of road traffic collision to An Garda Síochána/insurance company,approved-source-record,none,external/source metadata only,Approved record uses Browse/source metadata and existing external/source download references; no R2 object is required in this branch.,,,
approved-publication:source-doc-04151-outcome-of-user-consultation-on-survey-burden-reports,Outcome of User Consultation on Survey Burden Reports,approved-source-record,none,external/source metadata only,Approved record uses Browse/source metadata and existing external/source download references; no R2 object is required in this branch.,,,
approved-publication:source-doc-03108-prompt-payment-reports,Prompt Payment Reports,approved-source-record,none,external/source metadata only,Approved record uses Browse/source metadata and existing external/source download references; no R2 object is required in this branch.,,,
approved-publication:source-doc-06157-commission-for-communications-regulation-comreg,Quarterly Key Data Reports (QDKR) ComReg,approved-source-record,none,external/source metadata only,Approved record uses Browse/source metadata and existing external/source download references; no R2 object is required in this branch.,,,
approved-publication:source-doc-00291-raptor-annual-report-incidents-data,RAPTOR annual report incidents data,approved-source-record,none,external/source metadata only,Approved record uses Browse/source metadata and existing external/source download references; no R2 object is required in this branch.,,,
approved-publication:source-doc-03935-rcd07-proportion-of-crimes-reported-which-have-led-to-charge-or-summons,RCD07 - Proportion of crimes reported which have led to charge or summons,approved-source-record,none,external/source metadata only,Approved record uses Browse/source metadata and existing external/source download references; no R2 object is required in this branch.,,,
approved-publication:source-doc-03936-rcd07-proportion-of-crimes-reported-which-have-led-to-charge-or-summons-under-re,RCD07 - Proportion of crimes reported which have led to charge or summons (Under Reservation),approved-source-record,none,external/source metadata only,Approved record uses Browse/source metadata and existing external/source download references; no R2 object is required in this branch.,,,
approved-publication:source-doc-06171-register-of-bookmaking-offices,Register of bookmaking offices,approved-source-record,none,external/source metadata only,Approved record uses Browse/source metadata and existing external/source download references; no R2 object is required in this branch.,,,
approved-publication:source-doc-06173-register-of-licensed-bookmakers,Register of licensed bookmakers,approved-source-record,none,external/source metadata only,Approved record uses Browse/source metadata and existing external/source download references; no R2 object is required in this branch.,,,
approved-publication:source-doc-06175-register-of-licensed-remote-bookmaking-operations,Register of licensed remote bookmaking operations,approved-source-record,none,external/source metadata only,Approved record uses Browse/source metadata and existing external/source download references; no R2 object is required in this branch.,,,
approved-publication:source-doc-06182-reporting-ireland-s-eu-transactions,Reporting Ireland’s EU transactions,approved-source-record,none,external/source metadata only,Approved record uses Browse/source metadata and existing external/source download references; no R2 object is required in this branch.,,,
approved-publication:source-doc-06187-revenue-annual-reports,Revenue Annual Reports,approved-source-record,none,external/source metadata only,Approved record uses Browse/source metadata and existing external/source download references; no R2 object is required in this branch.,,,
approved-publication:source-doc-06193-ria02-rtb-average-monthly-rent-report,RIA02 - RTB Average Monthly Rent Report,approved-source-record,none,external/source metadata only,Approved record uses Browse/source metadata and existing external/source download references; no R2 object is required in this branch.,,,
approved-publication:source-doc-06194-rih02-rtb-average-monthly-rent-report,RIH02 - RTB Average Monthly Rent Report,approved-source-record,none,external/source metadata only,Approved record uses Browse/source metadata and existing external/source download references; no R2 object is required in this branch.,,,
approved-publication:source-doc-06195-riq02-rtb-average-monthly-rent-report,RIQ02 - RTB Average Monthly Rent Report,approved-source-record,none,external/source metadata only,Approved record uses Browse/source metadata and existing external/source download references; no R2 object is required in this branch.,,,
approved-publication:source-doc-03951-rvso03-crime-incident-reporting-gap-for-recorded-sexual-and-assault-offences,RVSO03 - Crime incident reporting gap for recorded Sexual and Assault offences,approved-source-record,none,external/source metadata only,Approved record uses Browse/source metadata and existing external/source download references; no R2 object is required in this branch.,,,
approved-publication:source-doc-06530-sca34-children-aged-15-who-reported-that-reading-is-one-of-their-favourite-hobbi,SCA34 - Children aged 15 who reported that reading is one of their favourite hobbies,approved-source-record,none,external/source metadata only,Approved record uses Browse/source metadata and existing external/source download references; no R2 object is required in this branch.,,,
approved-publication:source-doc-06679-sensitive-ecosystem-assessment-and-rov-exploration-of-reef-searover-synthesis-re,Sensitive Ecosystem Assessment and ROV Exploration of Reef (SeaRover) Synthesis Report 2020.,approved-source-record,none,external/source metadata only,Approved record uses Browse/source metadata and existing external/source download references; no R2 object is required in this branch.,,,
approved-publication:source-doc-06680-sensitive-ecosystem-assessment-and-rov-exploration-of-reef-survey-report-2017-se,Sensitive Ecosystem Assessment and ROV Exploration of Reef Survey Report 2017 (SeaRover 2017).,approved-source-record,none,external/source metadata only,Approved record uses Browse/source metadata and existing external/source download references; no R2 object is required in this branch.,,,
approved-publication:source-doc-06580-sna-review-reports,SNA Review Reports,approved-source-record,none,external/source metadata only,Approved record uses Browse/source metadata and existing external/source download references; no R2 object is required in this branch.,,,
approved-publication:source-doc-00294-social-housing-construction-projects-status-report-q2-2017,Social Housing Construction Projects - Status Report Q2 2017,approved-source-record,none,external/source metadata only,Approved record uses Browse/source metadata and existing external/source download references; no R2 object is required in this branch.,,,
approved-publication:source-doc-04176-source-data-for-2019-suts-publication,Source data for 2019 SUTS publication,approved-source-record,none,external/source metadata only,Approved record uses Browse/source metadata and existing external/source download references; no R2 object is required in this branch.,,,
approved-publication:source-doc-04177-source-data-for-2019-suts-publication-0,source data for 2019 suts publication 0,approved-source-record,none,external/source metadata only,Approved record uses Browse/source metadata and existing external/source download references; no R2 object is required in this branch.,,,
approved-publication:source-doc-04181-technical-report,technical report,approved-source-record,none,external/source metadata only,Approved record uses Browse/source metadata and existing external/source download references; no R2 object is required in this branch.,,,
approved-publication:source-doc-06628-the-stock-book-2016,The Stock Book 2016,approved-source-record,none,external/source metadata only,Approved record uses Browse/source metadata and existing external/source download references; no R2 object is required in this branch.,,,
approved-publication:source-doc-04192-user-20engagement-20on-20survey-20burden-20reports,User%20Engagement%20on%20Survey%20Burden%20Reports,approved-source-record,none,external/source metadata only,Approved record uses Browse/source metadata and existing external/source download references; no R2 object is required in this branch.,,,
approved-publication:source-doc-04196-vital-20stats-publication-schedule-march-2026,Vital%20Stats Publication Schedule March 2026,approved-source-record,none,external/source metadata only,Approved record uses Browse/source metadata and existing external/source download references; no R2 object is required in this branch.,,,
approved-publication:source-doc-00698-vsd41-n-the-death-certificate-for-deaths-due-to-covid-19-between-march-2020-and-,VSD41 - Number of causes reported on the death certificate for deaths due to COVID-19 between March 2020 and February 2022,approved-source-record,none,external/source metadata only,Approved record uses Browse/source metadata and existing external/source download references; no R2 object is required in this branch.,,,
approved-publication:source-doc-00700-vsd43-ssified-by-other-selected-conditions-reported-on-the-death-certificate-and,VSD43 - Number of deaths due to COVID-19 between March 2020 and February 2022 classified by other selected conditions reported on the death certificate and by age group,approved-source-record,none,external/source metadata only,Approved record uses Browse/source metadata and existing external/source download references; no R2 object is required in this branch.,,,
approved-publication:source-doc-04265-vsu-20user-20survey-20report-2022-2023,VSU%20User%20Survey%20report 2022 2023,approved-source-record,none,external/source metadata only,Approved record uses Browse/source metadata and existing external/source download references; no R2 object is required in this branch.,,,
approved-publication:source-doc-06669-wbb67-households-reporting-problems-with-pollution-from-traffic-or-industry,WBB67 - Households reporting problems with pollution from traffic or industry,approved-source-record,none,external/source metadata only,Approved record uses Browse/source metadata and existing external/source download references; no R2 object is required in this branch.,,,
approved-publication:source-doc-00404-continue-to-make-inroads-an-arts-development-plan-for-kildare-local-authorities-,(Continue to) Make Inroads: An Arts Development Plan for Kildare Local Authorities (2012 - 2016),approved-source-record,none,external/source metadata only,Approved record uses Browse/source metadata and existing external/source download references; no R2 object is required in this branch.,,,
approved-publication:source-doc-03968-14-15-nisra-business-plan,14 15 NISRA Business Plan,approved-source-record,none,external/source metadata only,Approved record uses Browse/source metadata and existing external/source download references; no R2 object is required in this branch.,,,
approved-publication:source-doc-03961-1926-census-combined-part-1,1926-census-combined-part-1,approved-source-record,none,external/source metadata only,Approved record uses Browse/source metadata and existing external/source download references; no R2 object is required in this branch.,,,
approved-publication:source-doc-03962-1926-census-combined-part-2,1926-census-combined-part-2,approved-source-record,none,external/source metadata only,Approved record uses Browse/source metadata and existing external/source download references; no R2 object is required in this branch.,,,
