rowId,title,provider,sourcePageType,proposedPlacement,recommendedNextAction,sourceVisibility,provenanceSummary,downloadSummary,browseTreatment,publicationBlocker
source-doc-00744-northern-ireland-goods-vehicle-operators-licence-records,Northern Ireland Goods Vehicle Operator's Licence Records,Open Data NI,table,Browse/Tables plus Sources,publish table/source now; defer interactive map,browse-visible after approval,Open Data NI,nigvlicences-20230108233010.csv | transitionalwaterbodiesgml.zip | transitionalwaterbodiesshp.zip,Publish as a source/table with downloads and provenance; create interactive PMTiles later only after semantic/geography checks.,semantic/geography staging before map conversion
source-doc-03547-northern-ireland-local-authority-collected-municipal-waste-management-statistics,Northern Ireland Local Authority Collected Municipal Waste Management Statistics,Open Data NI,table,Browse/Tables plus Sources,publish table/source now; defer interactive map,browse-visible after approval,Open Data NI,lac-municipal-waste-timeseries-csv.csv | lac-municipal-waste-timeseries.pdf | transitionalwaterbodiesgml.zip | transitionalwaterbodiesshp.zip,Publish as a source/table with downloads and provenance; create interactive PMTiles later only after semantic/geography checks.,semantic/geography staging before map conversion
source-doc-00745-northern-ireland-road-safety-partnership-2011-2021,Northern Ireland Road Safety Partnership 2011-2019,Open Data NI,table,Browse/Tables plus Sources,publish table/source now; defer interactive map,browse-visible after approval,Open Data NI,transitionalwaterbodiesgml.zip | transitionalwaterbodiesshp.zip | rsp_2011-2019.csv,Publish as a source/table with downloads and provenance; create interactive PMTiles later only after semantic/geography checks.,semantic/geography staging before map conversion
source-doc-00746-northern-ireland-road-safety-partnership-statistics-2020-2024,Northern Ireland Road Safety Partnership statistics 2020-2024,Open Data NI,table,Browse/Tables plus Sources,publish table/source now; defer interactive map,browse-visible after approval,Open Data NI,transitionalwaterbodiesgml.zip | transitionalwaterbodiesshp.zip | rsp_2020-2024_opendata_final.csv,Publish as a source/table with downloads and provenance; create interactive PMTiles later only after semantic/geography checks.,semantic/geography staging before map conversion
source-doc-03552-northern-ireland-water-consented-wastewater-results,Northern Ireland Water - Consented Wastewater Results,Open Data NI,source-reference,Browse/Sources,publish table/source now; defer interactive map,browse-visible after approval,Open Data NI,2024-ni-water-consented-wastewater-results.csv | opendatani-wastewater-results-commentary.pdf | transitionalwaterbodiesgml.zip | transitionalwaterbodiesshp.zip,Publish as a source/table with downloads and provenance; create interactive PMTiles later only after semantic/geography checks.,semantic/geography staging before map conversion
source-doc-06107-performance-of-certain-residential-retrofit-schemes,Performance of certain residential retrofit schemes,data.gov.ie,source-reference,Browse/Sources,publish table/source now; defer interactive map,browse-visible after approval,data.gov.ie,csv | geojson | shapefile | 8-performance-of-certain-residential-retrofit-schemes.pdf,Publish as a source/table with downloads and provenance; create interactive PMTiles later only after semantic/geography checks.,semantic/geography staging before map conversion
source-doc-00001-population-estimates-for-district-electoral-areas-deas-in-northern-ireland,Population Estimates for District Electoral Areas (DEAs) in Northern Ireland,Open Data NI,table,Browse/Tables plus Sources,publish table/source now; defer interactive map,browse-visible after approval,Open Data NI,population-estimates-for-district-electoral-areas-deas-mid-2011-to-mid-2020.csv | transitionalwaterbodiesgml.zip | transitionalwaterbodiesshp.zip,Publish as a source/table with downloads and provenance; create interactive PMTiles later only after semantic/geography checks.,semantic/geography staging before map conversion
source-doc-00402-population-estimates-for-northern-ireland,Population Estimates for Northern Ireland,Open Data NI,table,Browse/Tables plus Sources,publish table/source now; defer interactive map,browse-visible after approval,Open Data NI,transitionalwaterbodiesgml.zip | transitionalwaterbodiesshp.zip | former-26-local-government-districts-by-single-year-of-age-and-gender-mid-1991-to-mid-2020.csv | former-education-and-library-boards-by-single-year-of-age-and-gender-mid-1991-to-mid-2020.csv,Publish as a source/table with downloads and provenance; create interactive PMTiles later only after semantic/geography checks.,semantic/geography staging before map conversion
source-doc-00004-population-estimates-for-super-output-areas-soas-and-electoral-wards-northern-ir,"Population Estimates for Super Output Areas (SOAs) and former Electoral Wards, Northern Ireland",Open Data NI,table,Browse/Tables plus Sources,publish table/source now; defer interactive map,browse-visible after approval,Open Data NI,former-electoral-wards-1992-by-gender-and-broad-age-bands-mid-2001-to-mid-2020.csv | super-output-areas-soas-by-gender-and-broad-age-bands-mid-2001-to-mid-2020.csv | transitionalwaterbodiesgml.zip | transitionalwaterbodiesshp.zip,Publish as a source/table with downloads and provenance; create interactive PMTiles later only after semantic/geography checks.,semantic/geography staging before map conversion
source-doc-00403-population-projections-for-areas-within-northern-ireland-2018-based,Population Projections for areas within Northern Ireland: 2018-based,Open Data NI,table,Browse/Tables plus Sources,publish table/source now; defer interactive map,browse-visible after approval,Open Data NI,transitionalwaterbodiesgml.zip | transitionalwaterbodiesshp.zip | mid-2018-based-population-projections-for-areas-within-northern-ireland-elb.csv | mid-2018-based-population-projections-for-areas-within-northern-ireland-hsct.csv,Publish as a source/table with downloads and provenance; create interactive PMTiles later only after semantic/geography checks.,semantic/geography staging before map conversion
source-doc-02138-derelict-sites-register,Derelict Sites Register,data.gov.ie,source-reference,Browse/Sources,merge as variant or citation for existing record,source/reference only,data.gov.ie,derelict-sites-register-dlr.csv | derelict-sites-register-dlr.geojson | csv | filegdb,Attach to the strongest existing map/source record rather than publishing as a new standalone record.,confirm duplicate versus provider variant
source-doc-06104-parking,Parking,data.gov.ie,table,Browse/Tables plus Sources,merge as variant or citation for existing record,source/reference only,data.gov.ie,dublin-bike-parking.csv | dublin-bike-parking.geojson | dublin-public-cycle-parking-facilities.csv | dublin-public-cycle-parking-facilities.geojson,Attach to the strongest existing map/source record rather than publishing as a new standalone record.,confirm duplicate versus provider variant
source-doc-03514-community-centres,Belfast Community Centres,Open Data NI,table,Browse/Tables plus Sources,probable variant - user approval required,browse-visible after approval,Open Data NI,communitycentresdata.csv | 0 | csv | geojson,Treat as a likely variant/child record if the provider/date/format differs; otherwise reject as duplicate.,duplicate/variant decision
source-doc-00741-drainage-asset,Drainage Assets,Open Data NI,table,Browse/Tables plus Sources,probable variant - user approval required,browse-visible after approval,Open Data NI,Drainage_Assets.csv | Drainage_Assets.xml,Treat as a likely variant/child record if the provider/date/format differs; otherwise reject as duplicate.,duplicate/variant decision
source-doc-05230-applications,"FSC, DAC, Dispensation & Relaxation Applications Data 2020 – Present",data.gov.ie,source-reference,Browse/Sources,probable variant - user approval required,browse-visible after approval,data.gov.ie,8f69dffe26324ba3acc653cf6cb5cf8b_1.geojson | query | query | FeatureServer,Treat as a likely variant/child record if the provider/date/format differs; otherwise reject as duplicate.,duplicate/variant decision
source-doc-00845-health,Health Trust Reference Costs 2014-15,Open Data NI,table,Browse/Tables plus Sources,probable variant - user approval required,browse-visible after approval,Open Data NI,crsdataset.csv | obese-and-overweight-adults-health-survey-northern-ireland.csv | doh-information-asset-register.csv | doh-payments-over-25k-april-2024.csv,Treat as a likely variant/child record if the provider/date/format differs; otherwise reject as duplicate.,duplicate/variant decision
source-doc-03553-report,Open Data Innovation and Outreach Fund Final Report,Open Data NI,book-or-report,Browse/Books plus Sources,probable variant - user approval required,browse-visible after approval,Open Data NI,orp_report_odni_201920.pdf | niw-ppp-reporting-2020-2021.ods | niw-ppp-reporting-operational-costs-2020-2021.ods,Treat as a likely variant/child record if the provider/date/format differs; otherwise reject as duplicate.,duplicate/variant decision
source-doc-04018-cpdjan2026access,CPDJan2026access,NISRA,source-reference,Sources,citation-only source page,source/reference only,NISRA,,Add only as a source/reference page if it is cited by another record; do not create a standalone table or map entry yet.,needs parent citation target
source-doc-04019-cpdjan2026csv,CPDJan2026csv,NISRA,table,Sources,citation-only source page,source/reference only,NISRA,,Add only as a source/reference page if it is cited by another record; do not create a standalone table or map entry yet.,needs parent citation target
source-doc-04020-cpdjan2026txt,CPDJan2026txt,NISRA,source-reference,Sources,citation-only source page,source/reference only,NISRA,,Add only as a source/reference page if it is cited by another record; do not create a standalone table or map entry yet.,needs parent citation target
source-doc-04056-lfs-claimant-count-oct-2021-ods,LFS Claimant Count Oct 2021 ODS,NISRA,source-reference,Sources,citation-only source page,source/reference only,NISRA,,Add only as a source/reference page if it is cited by another record; do not create a standalone table or map entry yet.,needs parent citation target
