patchId,sourceRowId,electionId,tableKind,patchKind,targetPath,applyStatus,approvalBlocker,availableFields,missingRequestedFields,recommendedNextStep
dail-patch-election-source-00010-general-election-2016-count-details-row-23,election-source-00010-general-election-2016-count-details:row:23,dail-eireann__2016-02-26,count-details,candidate-count-and-transfer-provenance,test/metadata/elections-test2/dail-eireann__2016-02-26.json#/results/37/candidates/11/counts/0,hold-pending-candidate-alias-approval,candidate-alias-review,[object Object],turnout; spoiled; electorate; gender,Apply only after the corresponding Dail remaining match recommendation is approved.
dail-patch-election-source-00010-general-election-2016-count-details-row-3744,election-source-00010-general-election-2016-count-details:row:3744,dail-eireann__2016-02-26,count-details,candidate-count-and-transfer-provenance,test/metadata/elections-test2/dail-eireann__2016-02-26.json#/results/36/candidates/7/counts/0,hold-pending-candidate-alias-approval,candidate-alias-review,[object Object],turnout; spoiled; electorate; gender,Apply only after the corresponding Dail remaining match recommendation is approved.
dail-patch-election-source-00010-general-election-2016-count-details-row-3745,election-source-00010-general-election-2016-count-details:row:3745,dail-eireann__2016-02-26,count-details,candidate-count-and-transfer-provenance,test/metadata/elections-test2/dail-eireann__2016-02-26.json#/results/36/candidates/7/counts/3,hold-pending-candidate-alias-approval,candidate-alias-review,[object Object],turnout; spoiled; electorate; gender,Apply only after the corresponding Dail remaining match recommendation is approved.
dail-patch-election-source-00010-general-election-2016-count-details-row-3746,election-source-00010-general-election-2016-count-details:row:3746,dail-eireann__2016-02-26,count-details,candidate-count-and-transfer-provenance,test/metadata/elections-test2/dail-eireann__2016-02-26.json#/results/36/candidates/7/counts/4,hold-pending-candidate-alias-approval,candidate-alias-review,[object Object],turnout; spoiled; electorate; gender,Apply only after the corresponding Dail remaining match recommendation is approved.
dail-patch-election-source-00010-general-election-2016-count-details-row-3747,election-source-00010-general-election-2016-count-details:row:3747,dail-eireann__2016-02-26,count-details,candidate-count-and-transfer-provenance,test/metadata/elections-test2/dail-eireann__2016-02-26.json#/results/36/candidates/7/counts/1,hold-pending-candidate-alias-approval,candidate-alias-review,[object Object],turnout; spoiled; electorate; gender,Apply only after the corresponding Dail remaining match recommendation is approved.
dail-patch-election-source-00010-general-election-2016-count-details-row-3748,election-source-00010-general-election-2016-count-details:row:3748,dail-eireann__2016-02-26,count-details,candidate-count-and-transfer-provenance,test/metadata/elections-test2/dail-eireann__2016-02-26.json#/results/36/candidates/7/counts/2,hold-pending-candidate-alias-approval,candidate-alias-review,[object Object],turnout; spoiled; electorate; gender,Apply only after the corresponding Dail remaining match recommendation is approved.
dail-patch-election-source-00010-general-election-2016-count-details-row-3986,election-source-00010-general-election-2016-count-details:row:3986,dail-eireann__2016-02-26,count-details,candidate-count-and-transfer-provenance,test/metadata/elections-test2/dail-eireann__2016-02-26.json#/results/20/candidates/8/counts/4,hold-pending-candidate-alias-approval,candidate-alias-review,[object Object],turnout; spoiled; electorate; gender,Apply only after the corresponding Dail remaining match recommendation is approved.
dail-patch-election-source-00010-general-election-2016-count-details-row-3987,election-source-00010-general-election-2016-count-details:row:3987,dail-eireann__2016-02-26,count-details,candidate-count-and-transfer-provenance,test/metadata/elections-test2/dail-eireann__2016-02-26.json#/results/20/candidates/8/counts/5,hold-pending-candidate-alias-approval,candidate-alias-review,[object Object],turnout; spoiled; electorate; gender,Apply only after the corresponding Dail remaining match recommendation is approved.
dail-patch-election-source-00010-general-election-2016-count-details-row-3988,election-source-00010-general-election-2016-count-details:row:3988,dail-eireann__2016-02-26,count-details,candidate-count-and-transfer-provenance,test/metadata/elections-test2/dail-eireann__2016-02-26.json#/results/20/candidates/8/counts/6,hold-pending-candidate-alias-approval,candidate-alias-review,[object Object],turnout; spoiled; electorate; gender,Apply only after the corresponding Dail remaining match recommendation is approved.
dail-patch-election-source-00010-general-election-2016-count-details-row-3989,election-source-00010-general-election-2016-count-details:row:3989,dail-eireann__2016-02-26,count-details,candidate-count-and-transfer-provenance,test/metadata/elections-test2/dail-eireann__2016-02-26.json#/results/20/candidates/8/counts/2,hold-pending-candidate-alias-approval,candidate-alias-review,[object Object],turnout; spoiled; electorate; gender,Apply only after the corresponding Dail remaining match recommendation is approved.
dail-patch-election-source-00010-general-election-2016-count-details-row-3990,election-source-00010-general-election-2016-count-details:row:3990,dail-eireann__2016-02-26,count-details,candidate-count-and-transfer-provenance,test/metadata/elections-test2/dail-eireann__2016-02-26.json#/results/20/candidates/8/counts/3,hold-pending-candidate-alias-approval,candidate-alias-review,[object Object],turnout; spoiled; electorate; gender,Apply only after the corresponding Dail remaining match recommendation is approved.
dail-patch-election-source-00010-general-election-2016-count-details-row-3991,election-source-00010-general-election-2016-count-details:row:3991,dail-eireann__2016-02-26,count-details,candidate-count-and-transfer-provenance,test/metadata/elections-test2/dail-eireann__2016-02-26.json#/results/20/candidates/8/counts/0,hold-pending-candidate-alias-approval,candidate-alias-review,[object Object],turnout; spoiled; electorate; gender,Apply only after the corresponding Dail remaining match recommendation is approved.
dail-patch-election-source-00010-general-election-2016-count-details-row-3992,election-source-00010-general-election-2016-count-details:row:3992,dail-eireann__2016-02-26,count-details,candidate-count-and-transfer-provenance,test/metadata/elections-test2/dail-eireann__2016-02-26.json#/results/20/candidates/8/counts/1,hold-pending-candidate-alias-approval,candidate-alias-review,[object Object],turnout; spoiled; electorate; gender,Apply only after the corresponding Dail remaining match recommendation is approved.
dail-patch-election-source-00010-general-election-2016-count-details-row-4008,election-source-00010-general-election-2016-count-details:row:4008,dail-eireann__2016-02-26,count-details,candidate-count-and-transfer-provenance,test/metadata/elections-test2/dail-eireann__2016-02-26.json#/results/8/candidates/15/counts/7,hold-pending-candidate-alias-approval,candidate-alias-review,[object Object],turnout; spoiled; electorate; gender,Apply only after the corresponding Dail remaining match recommendation is approved.
dail-patch-election-source-00010-general-election-2016-count-details-row-4009,election-source-00010-general-election-2016-count-details:row:4009,dail-eireann__2016-02-26,count-details,candidate-count-and-transfer-provenance,test/metadata/elections-test2/dail-eireann__2016-02-26.json#/results/8/candidates/15/counts/8,hold-pending-candidate-alias-approval,candidate-alias-review,[object Object],turnout; spoiled; electorate; gender,Apply only after the corresponding Dail remaining match recommendation is approved.
dail-patch-election-source-00010-general-election-2016-count-details-row-4010,election-source-00010-general-election-2016-count-details:row:4010,dail-eireann__2016-02-26,count-details,candidate-count-and-transfer-provenance,test/metadata/elections-test2/dail-eireann__2016-02-26.json#/results/8/candidates/15/counts/9,hold-pending-candidate-alias-approval,candidate-alias-review,[object Object],turnout; spoiled; electorate; gender,Apply only after the corresponding Dail remaining match recommendation is approved.
dail-patch-election-source-00010-general-election-2016-count-details-row-4011,election-source-00010-general-election-2016-count-details:row:4011,dail-eireann__2016-02-26,count-details,candidate-count-and-transfer-provenance,test/metadata/elections-test2/dail-eireann__2016-02-26.json#/results/8/candidates/15/counts/10,hold-pending-candidate-alias-approval,candidate-alias-review,[object Object],turnout; spoiled; electorate; gender,Apply only after the corresponding Dail remaining match recommendation is approved.
dail-patch-election-source-00010-general-election-2016-count-details-row-4012,election-source-00010-general-election-2016-count-details:row:4012,dail-eireann__2016-02-26,count-details,candidate-count-and-transfer-provenance,test/metadata/elections-test2/dail-eireann__2016-02-26.json#/results/8/candidates/15/counts/0,hold-pending-candidate-alias-approval,candidate-alias-review,[object Object],turnout; spoiled; electorate; gender,Apply only after the corresponding Dail remaining match recommendation is approved.
dail-patch-election-source-00010-general-election-2016-count-details-row-4013,election-source-00010-general-election-2016-count-details:row:4013,dail-eireann__2016-02-26,count-details,candidate-count-and-transfer-provenance,test/metadata/elections-test2/dail-eireann__2016-02-26.json#/results/8/candidates/15/counts/11,hold-pending-candidate-alias-approval,candidate-alias-review,[object Object],turnout; spoiled; electorate; gender,Apply only after the corresponding Dail remaining match recommendation is approved.
dail-patch-election-source-00010-general-election-2016-count-details-row-4014,election-source-00010-general-election-2016-count-details:row:4014,dail-eireann__2016-02-26,count-details,candidate-count-and-transfer-provenance,test/metadata/elections-test2/dail-eireann__2016-02-26.json#/results/8/candidates/15/counts/1,hold-pending-candidate-alias-approval,candidate-alias-review,[object Object],turnout; spoiled; electorate; gender,Apply only after the corresponding Dail remaining match recommendation is approved.
dail-patch-election-source-00010-general-election-2016-count-details-row-4015,election-source-00010-general-election-2016-count-details:row:4015,dail-eireann__2016-02-26,count-details,candidate-count-and-transfer-provenance,test/metadata/elections-test2/dail-eireann__2016-02-26.json#/results/8/candidates/15/counts/2,hold-pending-candidate-alias-approval,candidate-alias-review,[object Object],turnout; spoiled; electorate; gender,Apply only after the corresponding Dail remaining match recommendation is approved.
dail-patch-election-source-00010-general-election-2016-count-details-row-4016,election-source-00010-general-election-2016-count-details:row:4016,dail-eireann__2016-02-26,count-details,candidate-count-and-transfer-provenance,test/metadata/elections-test2/dail-eireann__2016-02-26.json#/results/8/candidates/15/counts/3,hold-pending-candidate-alias-approval,candidate-alias-review,[object Object],turnout; spoiled; electorate; gender,Apply only after the corresponding Dail remaining match recommendation is approved.
dail-patch-election-source-00010-general-election-2016-count-details-row-4017,election-source-00010-general-election-2016-count-details:row:4017,dail-eireann__2016-02-26,count-details,candidate-count-and-transfer-provenance,test/metadata/elections-test2/dail-eireann__2016-02-26.json#/results/8/candidates/15/counts/12,hold-pending-candidate-alias-approval,candidate-alias-review,[object Object],turnout; spoiled; electorate; gender,Apply only after the corresponding Dail remaining match recommendation is approved.
dail-patch-election-source-00010-general-election-2016-count-details-row-4018,election-source-00010-general-election-2016-count-details:row:4018,dail-eireann__2016-02-26,count-details,candidate-count-and-transfer-provenance,test/metadata/elections-test2/dail-eireann__2016-02-26.json#/results/8/candidates/15/counts/4,hold-pending-candidate-alias-approval,candidate-alias-review,[object Object],turnout; spoiled; electorate; gender,Apply only after the corresponding Dail remaining match recommendation is approved.
dail-patch-election-source-00010-general-election-2016-count-details-row-4019,election-source-00010-general-election-2016-count-details:row:4019,dail-eireann__2016-02-26,count-details,candidate-count-and-transfer-provenance,test/metadata/elections-test2/dail-eireann__2016-02-26.json#/results/8/candidates/15/counts/5,hold-pending-candidate-alias-approval,candidate-alias-review,[object Object],turnout; spoiled; electorate; gender,Apply only after the corresponding Dail remaining match recommendation is approved.
dail-patch-election-source-00010-general-election-2016-count-details-row-4020,election-source-00010-general-election-2016-count-details:row:4020,dail-eireann__2016-02-26,count-details,candidate-count-and-transfer-provenance,test/metadata/elections-test2/dail-eireann__2016-02-26.json#/results/8/candidates/15/counts/6,hold-pending-candidate-alias-approval,candidate-alias-review,[object Object],turnout; spoiled; electorate; gender,Apply only after the corresponding Dail remaining match recommendation is approved.
dail-patch-election-source-00010-general-election-2016-count-details-row-4108,election-source-00010-general-election-2016-count-details:row:4108,dail-eireann__2016-02-26,count-details,candidate-count-and-transfer-provenance,test/metadata/elections-test2/dail-eireann__2016-02-26.json#/results/1/candidates/1/counts/0,hold-pending-candidate-alias-approval,candidate-alias-review,[object Object],turnout; spoiled; electorate; gender,Apply only after the corresponding Dail remaining match recommendation is approved.
dail-patch-election-source-00010-general-election-2016-count-details-row-4109,election-source-00010-general-election-2016-count-details:row:4109,dail-eireann__2016-02-26,count-details,candidate-count-and-transfer-provenance,test/metadata/elections-test2/dail-eireann__2016-02-26.json#/results/1/candidates/1/counts/1,hold-pending-candidate-alias-approval,candidate-alias-review,[object Object],turnout; spoiled; electorate; gender,Apply only after the corresponding Dail remaining match recommendation is approved.
dail-patch-election-source-00010-general-election-2016-count-details-row-4110,election-source-00010-general-election-2016-count-details:row:4110,dail-eireann__2016-02-26,count-details,candidate-count-and-transfer-provenance,test/metadata/elections-test2/dail-eireann__2016-02-26.json#/results/1/candidates/1/counts/2,hold-pending-candidate-alias-approval,candidate-alias-review,[object Object],turnout; spoiled; electorate; gender,Apply only after the corresponding Dail remaining match recommendation is approved.
dail-patch-election-source-00010-general-election-2016-count-details-row-4111,election-source-00010-general-election-2016-count-details:row:4111,dail-eireann__2016-02-26,count-details,candidate-count-and-transfer-provenance,test/metadata/elections-test2/dail-eireann__2016-02-26.json#/results/1/candidates/1/counts/3,hold-pending-candidate-alias-approval,candidate-alias-review,[object Object],turnout; spoiled; electorate; gender,Apply only after the corresponding Dail remaining match recommendation is approved.
dail-patch-election-source-00010-general-election-2016-count-details-row-4112,election-source-00010-general-election-2016-count-details:row:4112,dail-eireann__2016-02-26,count-details,candidate-count-and-transfer-provenance,test/metadata/elections-test2/dail-eireann__2016-02-26.json#/results/1/candidates/1/counts/4,hold-pending-candidate-alias-approval,candidate-alias-review,[object Object],turnout; spoiled; electorate; gender,Apply only after the corresponding Dail remaining match recommendation is approved.
dail-patch-election-source-00010-general-election-2016-count-details-row-4113,election-source-00010-general-election-2016-count-details:row:4113,dail-eireann__2016-02-26,count-details,candidate-count-and-transfer-provenance,test/metadata/elections-test2/dail-eireann__2016-02-26.json#/results/1/candidates/1/counts/5,hold-pending-candidate-alias-approval,candidate-alias-review,[object Object],turnout; spoiled; electorate; gender,Apply only after the corresponding Dail remaining match recommendation is approved.
dail-patch-election-source-00010-general-election-2016-count-details-row-4114,election-source-00010-general-election-2016-count-details:row:4114,dail-eireann__2016-02-26,count-details,candidate-count-and-transfer-provenance,test/metadata/elections-test2/dail-eireann__2016-02-26.json#/results/1/candidates/1/counts/6,hold-pending-candidate-alias-approval,candidate-alias-review,[object Object],turnout; spoiled; electorate; gender,Apply only after the corresponding Dail remaining match recommendation is approved.
dail-patch-election-source-00010-general-election-2016-count-details-row-4115,election-source-00010-general-election-2016-count-details:row:4115,dail-eireann__2016-02-26,count-details,candidate-count-and-transfer-provenance,test/metadata/elections-test2/dail-eireann__2016-02-26.json#/results/1/candidates/1/counts/7,hold-pending-candidate-alias-approval,candidate-alias-review,[object Object],turnout; spoiled; electorate; gender,Apply only after the corresponding Dail remaining match recommendation is approved.
dail-patch-election-source-00010-general-election-2016-count-details-row-4116,election-source-00010-general-election-2016-count-details:row:4116,dail-eireann__2016-02-26,count-details,candidate-count-and-transfer-provenance,test/metadata/elections-test2/dail-eireann__2016-02-26.json#/results/1/candidates/1/counts/8,hold-pending-candidate-alias-approval,candidate-alias-review,[object Object],turnout; spoiled; electorate; gender,Apply only after the corresponding Dail remaining match recommendation is approved.
dail-patch-election-source-00010-general-election-2016-count-details-row-4117,election-source-00010-general-election-2016-count-details:row:4117,dail-eireann__2016-02-26,count-details,candidate-count-and-transfer-provenance,test/metadata/elections-test2/dail-eireann__2016-02-26.json#/results/1/candidates/1/counts/9,hold-pending-candidate-alias-approval,candidate-alias-review,[object Object],turnout; spoiled; electorate; gender,Apply only after the corresponding Dail remaining match recommendation is approved.
dail-patch-election-source-00010-general-election-2016-count-details-row-4118,election-source-00010-general-election-2016-count-details:row:4118,dail-eireann__2016-02-26,count-details,candidate-count-and-transfer-provenance,test/metadata/elections-test2/dail-eireann__2016-02-26.json#/results/21/candidates/0/counts/0,hold-pending-candidate-alias-approval,candidate-alias-review,[object Object],turnout; spoiled; electorate; gender,Apply only after the corresponding Dail remaining match recommendation is approved.
dail-patch-election-source-00010-general-election-2016-count-details-row-4119,election-source-00010-general-election-2016-count-details:row:4119,dail-eireann__2016-02-26,count-details,candidate-count-and-transfer-provenance,test/metadata/elections-test2/dail-eireann__2016-02-26.json#/results/21/candidates/0/counts/1,hold-pending-candidate-alias-approval,candidate-alias-review,[object Object],turnout; spoiled; electorate; gender,Apply only after the corresponding Dail remaining match recommendation is approved.
dail-patch-election-source-00010-general-election-2016-count-details-row-4120,election-source-00010-general-election-2016-count-details:row:4120,dail-eireann__2016-02-26,count-details,candidate-count-and-transfer-provenance,test/metadata/elections-test2/dail-eireann__2016-02-26.json#/results/21/candidates/0/counts/2,hold-pending-candidate-alias-approval,candidate-alias-review,[object Object],turnout; spoiled; electorate; gender,Apply only after the corresponding Dail remaining match recommendation is approved.
dail-patch-election-source-00010-general-election-2016-count-details-row-4121,election-source-00010-general-election-2016-count-details:row:4121,dail-eireann__2016-02-26,count-details,candidate-count-and-transfer-provenance,test/metadata/elections-test2/dail-eireann__2016-02-26.json#/results/21/candidates/0/counts/8,hold-pending-candidate-alias-approval,candidate-alias-review,[object Object],turnout; spoiled; electorate; gender,Apply only after the corresponding Dail remaining match recommendation is approved.
dail-patch-election-source-00010-general-election-2016-count-details-row-4122,election-source-00010-general-election-2016-count-details:row:4122,dail-eireann__2016-02-26,count-details,candidate-count-and-transfer-provenance,test/metadata/elections-test2/dail-eireann__2016-02-26.json#/results/21/candidates/0/counts/3,hold-pending-candidate-alias-approval,candidate-alias-review,[object Object],turnout; spoiled; electorate; gender,Apply only after the corresponding Dail remaining match recommendation is approved.
dail-patch-election-source-00010-general-election-2016-count-details-row-4123,election-source-00010-general-election-2016-count-details:row:4123,dail-eireann__2016-02-26,count-details,candidate-count-and-transfer-provenance,test/metadata/elections-test2/dail-eireann__2016-02-26.json#/results/21/candidates/0/counts/4,hold-pending-candidate-alias-approval,candidate-alias-review,[object Object],turnout; spoiled; electorate; gender,Apply only after the corresponding Dail remaining match recommendation is approved.
dail-patch-election-source-00010-general-election-2016-count-details-row-4124,election-source-00010-general-election-2016-count-details:row:4124,dail-eireann__2016-02-26,count-details,candidate-count-and-transfer-provenance,test/metadata/elections-test2/dail-eireann__2016-02-26.json#/results/21/candidates/0/counts/9,hold-pending-candidate-alias-approval,candidate-alias-review,[object Object],turnout; spoiled; electorate; gender,Apply only after the corresponding Dail remaining match recommendation is approved.
dail-patch-election-source-00010-general-election-2016-count-details-row-4125,election-source-00010-general-election-2016-count-details:row:4125,dail-eireann__2016-02-26,count-details,candidate-count-and-transfer-provenance,test/metadata/elections-test2/dail-eireann__2016-02-26.json#/results/21/candidates/0/counts/10,hold-pending-candidate-alias-approval,candidate-alias-review,[object Object],turnout; spoiled; electorate; gender,Apply only after the corresponding Dail remaining match recommendation is approved.
dail-patch-election-source-00010-general-election-2016-count-details-row-4126,election-source-00010-general-election-2016-count-details:row:4126,dail-eireann__2016-02-26,count-details,candidate-count-and-transfer-provenance,test/metadata/elections-test2/dail-eireann__2016-02-26.json#/results/21/candidates/0/counts/5,hold-pending-candidate-alias-approval,candidate-alias-review,[object Object],turnout; spoiled; electorate; gender,Apply only after the corresponding Dail remaining match recommendation is approved.
dail-patch-election-source-00010-general-election-2016-count-details-row-4127,election-source-00010-general-election-2016-count-details:row:4127,dail-eireann__2016-02-26,count-details,candidate-count-and-transfer-provenance,test/metadata/elections-test2/dail-eireann__2016-02-26.json#/results/21/candidates/0/counts/6,hold-pending-candidate-alias-approval,candidate-alias-review,[object Object],turnout; spoiled; electorate; gender,Apply only after the corresponding Dail remaining match recommendation is approved.
dail-patch-election-source-00010-general-election-2016-count-details-row-4128,election-source-00010-general-election-2016-count-details:row:4128,dail-eireann__2016-02-26,count-details,candidate-count-and-transfer-provenance,test/metadata/elections-test2/dail-eireann__2016-02-26.json#/results/21/candidates/0/counts/11,hold-pending-candidate-alias-approval,candidate-alias-review,[object Object],turnout; spoiled; electorate; gender,Apply only after the corresponding Dail remaining match recommendation is approved.
dail-patch-election-source-00010-general-election-2016-count-details-row-4129,election-source-00010-general-election-2016-count-details:row:4129,dail-eireann__2016-02-26,count-details,candidate-count-and-transfer-provenance,test/metadata/elections-test2/dail-eireann__2016-02-26.json#/results/21/candidates/0/counts/7,hold-pending-candidate-alias-approval,candidate-alias-review,[object Object],turnout; spoiled; electorate; gender,Apply only after the corresponding Dail remaining match recommendation is approved.
dail-patch-election-source-00010-general-election-2016-count-details-row-4130,election-source-00010-general-election-2016-count-details:row:4130,dail-eireann__2016-02-26,count-details,candidate-count-and-transfer-provenance,test/metadata/elections-test2/dail-eireann__2016-02-26.json#/results/21/candidates/0/counts/12,hold-pending-candidate-alias-approval,candidate-alias-review,[object Object],turnout; spoiled; electorate; gender,Apply only after the corresponding Dail remaining match recommendation is approved.
dail-patch-election-source-00010-general-election-2016-count-details-row-4131,election-source-00010-general-election-2016-count-details:row:4131,dail-eireann__2016-02-26,count-details,candidate-count-and-transfer-provenance,test/metadata/elections-test2/dail-eireann__2016-02-26.json#/results/21/candidates/0/counts/13,hold-pending-candidate-alias-approval,candidate-alias-review,[object Object],turnout; spoiled; electorate; gender,Apply only after the corresponding Dail remaining match recommendation is approved.
dail-patch-election-source-00010-general-election-2016-count-details-row-4132,election-source-00010-general-election-2016-count-details:row:4132,dail-eireann__2016-02-26,count-details,candidate-count-and-transfer-provenance,test/metadata/elections-test2/dail-eireann__2016-02-26.json#/results/24/candidates/2/counts/0,hold-pending-candidate-alias-approval,candidate-alias-review,[object Object],turnout; spoiled; electorate; gender,Apply only after the corresponding Dail remaining match recommendation is approved.
dail-patch-election-source-00010-general-election-2016-count-details-row-4133,election-source-00010-general-election-2016-count-details:row:4133,dail-eireann__2016-02-26,count-details,candidate-count-and-transfer-provenance,test/metadata/elections-test2/dail-eireann__2016-02-26.json#/results/24/candidates/2/counts/1,hold-pending-candidate-alias-approval,candidate-alias-review,[object Object],turnout; spoiled; electorate; gender,Apply only after the corresponding Dail remaining match recommendation is approved.
dail-patch-election-source-00010-general-election-2016-count-details-row-4134,election-source-00010-general-election-2016-count-details:row:4134,dail-eireann__2016-02-26,count-details,candidate-count-and-transfer-provenance,test/metadata/elections-test2/dail-eireann__2016-02-26.json#/results/24/candidates/2/counts/2,hold-pending-candidate-alias-approval,candidate-alias-review,[object Object],turnout; spoiled; electorate; gender,Apply only after the corresponding Dail remaining match recommendation is approved.
dail-patch-election-source-00010-general-election-2016-count-details-row-4135,election-source-00010-general-election-2016-count-details:row:4135,dail-eireann__2016-02-26,count-details,candidate-count-and-transfer-provenance,test/metadata/elections-test2/dail-eireann__2016-02-26.json#/results/24/candidates/2/counts/3,hold-pending-candidate-alias-approval,candidate-alias-review,[object Object],turnout; spoiled; electorate; gender,Apply only after the corresponding Dail remaining match recommendation is approved.
dail-patch-election-source-00010-general-election-2016-count-details-row-4136,election-source-00010-general-election-2016-count-details:row:4136,dail-eireann__2016-02-26,count-details,candidate-count-and-transfer-provenance,test/metadata/elections-test2/dail-eireann__2016-02-26.json#/results/24/candidates/2/counts/4,hold-pending-candidate-alias-approval,candidate-alias-review,[object Object],turnout; spoiled; electorate; gender,Apply only after the corresponding Dail remaining match recommendation is approved.
dail-patch-election-source-00010-general-election-2016-count-details-row-4137,election-source-00010-general-election-2016-count-details:row:4137,dail-eireann__2016-02-26,count-details,candidate-count-and-transfer-provenance,test/metadata/elections-test2/dail-eireann__2016-02-26.json#/results/24/candidates/2/counts/5,hold-pending-candidate-alias-approval,candidate-alias-review,[object Object],turnout; spoiled; electorate; gender,Apply only after the corresponding Dail remaining match recommendation is approved.
dail-patch-election-source-00010-general-election-2016-count-details-row-4149,election-source-00010-general-election-2016-count-details:row:4149,dail-eireann__2016-02-26,count-details,candidate-count-and-transfer-provenance,test/metadata/elections-test2/dail-eireann__2016-02-26.json#/results/6/candidates/3/counts/0,hold-pending-candidate-alias-approval,candidate-alias-review,[object Object],turnout; spoiled; electorate; gender,Apply only after the corresponding Dail remaining match recommendation is approved.
