constituency,candidate,party,incumbent,first_prefs,pct,elected
EAST LONDONDERRY,Caoimhe Archibald,Sinn Féin,True,6931,15.26,True
EAST LONDONDERRY,Sinn Féin newcomer 1,Sinn Féin,False,4499,9.9,False
EAST LONDONDERRY,UUP newcomer 1,UUP,False,4068,8.95,True
EAST LONDONDERRY,Cara Hunter,SDLP,True,6217,13.69,True
EAST LONDONDERRY,Alliance newcomer 1,Alliance,False,2468,5.43,False
EAST LONDONDERRY,TUV newcomer 1,TUV,False,4537,9.99,False
EAST LONDONDERRY,Green newcomer 1,Green,False,628,1.38,False
EAST LONDONDERRY,PBP newcomer 1,PBP,False,429,0.95,False
EAST LONDONDERRY,Aontú newcomer 1,Aontú,False,2771,6.1,False
EAST LONDONDERRY,Claire Sugden,Independent,True,1883,4.15,False
EAST LONDONDERRY,Other newcomer 1,Other,False,339,0.75,False
FERMANAGH AND SOUTH TYRONE,Deborah Erskine,DUP,True,7512,13.39,True
FERMANAGH AND SOUTH TYRONE,Jemma Dolan,Sinn Féin,True,7701,13.73,False
FERMANAGH AND SOUTH TYRONE,Colm Gildernew,Sinn Féin,True,7701,13.73,True
FERMANAGH AND SOUTH TYRONE,Áine Murphy,Sinn Féin,True,7701,13.73,True
FERMANAGH AND SOUTH TYRONE,Diana Armstrong,UUP,True,10279,18.32,True
FERMANAGH AND SOUTH TYRONE,SDLP newcomer 1,SDLP,False,5685,10.13,True
FERMANAGH AND SOUTH TYRONE,Alliance newcomer 1,Alliance,False,1745,3.11,False
FERMANAGH AND SOUTH TYRONE,TUV newcomer 1,TUV,False,4532,8.08,False
FERMANAGH AND SOUTH TYRONE,Green newcomer 1,Green,False,570,1.02,False
FERMANAGH AND SOUTH TYRONE,PBP newcomer 1,PBP,False,113,0.2,False
FERMANAGH AND SOUTH TYRONE,Aontú newcomer 1,Aontú,False,2188,3.9,False
FERMANAGH AND SOUTH TYRONE,Independent newcomer 1,Independent,False,175,0.31,False
FERMANAGH AND SOUTH TYRONE,Other newcomer 1,Other,False,198,0.35,False
FOYLE,Julie Middleton,DUP,True,2736,6.52,False
FOYLE,Padraig Delargy,Sinn Féin,True,5873,14.0,True
FOYLE,Ciara Ferguson,Sinn Féin,True,5873,14.0,True
FOYLE,UUP newcomer 1,UUP,False,3538,8.44,True
FOYLE,Mark Durkan,SDLP,True,7678,18.31,True
FOYLE,Sinéad McLaughlin,SDLP,True,7678,18.31,True
FOYLE,Alliance newcomer 1,Alliance,False,1201,2.86,False
FOYLE,TUV newcomer 1,TUV,False,569,1.36,False
FOYLE,Green newcomer 1,Green,False,297,0.71,False
FOYLE,PBP newcomer 1,PBP,False,2434,5.8,False
FOYLE,Aontú newcomer 1,Aontú,False,3646,8.69,False
FOYLE,Independent newcomer 1,Independent,False,208,0.5,False
FOYLE,Other newcomer 1,Other,False,209,0.5,False
LAGAN VALLEY,Emma Little Pengelly,DUP,True,7846,14.51,True
LAGAN VALLEY,Paul Givan,DUP,True,7846,14.51,True
LAGAN VALLEY,Sinn Féin newcomer 1,Sinn Féin,False,3341,6.18,False
LAGAN VALLEY,Robbie Butler,UUP,True,8576,15.86,True
LAGAN VALLEY,UUP newcomer 1,UUP,False,5566,10.3,True
LAGAN VALLEY,SDLP newcomer 1,SDLP,False,5394,9.98,True
LAGAN VALLEY,Michelle Guy,Alliance,True,4124,7.63,False
LAGAN VALLEY,David Honeyford,Alliance,True,4124,7.63,False
LAGAN VALLEY,TUV newcomer 1,TUV,False,5486,10.15,False
LAGAN VALLEY,Green newcomer 1,Green,False,1066,1.97,False
LAGAN VALLEY,PBP newcomer 1,PBP,False,300,0.56,False
LAGAN VALLEY,Aontú newcomer 1,Aontú,False,180,0.33,False
LAGAN VALLEY,Independent newcomer 1,Independent,False,205,0.38,False
LAGAN VALLEY,Other newcomer 1,Other,False,3,0.0,False
MID ULSTER,Keith Buchanan,DUP,True,7189,14.41,True
MID ULSTER,Michelle O'Neill,Sinn Féin,True,7636,15.3,True
MID ULSTER,Emma Sheerin,Sinn Féin,True,7636,15.3,True
MID ULSTER,Linda Dillon,Sinn Féin,True,7636,15.3,True
MID ULSTER,UUP newcomer 1,UUP,False,3288,6.59,False
MID ULSTER,SDLP newcomer 1,SDLP,False,6415,12.86,True
MID ULSTER,Alliance newcomer 1,Alliance,False,1430,2.87,False
MID ULSTER,TUV newcomer 1,TUV,False,5210,10.44,False
MID ULSTER,Green newcomer 1,Green,False,219,0.44,False
MID ULSTER,PBP newcomer 1,PBP,False,183,0.37,False
MID ULSTER,Aontú newcomer 1,Aontú,False,2759,5.53,False
MID ULSTER,Independent newcomer 1,Independent,False,249,0.5,False
MID ULSTER,Other newcomer 1,Other,False,42,0.08,False
NEWRY AND ARMAGH,Gareth Wilson,DUP,True,5209,10.34,True
NEWRY AND ARMAGH,Aoife Finnegan,Sinn Féin,True,7387,14.67,True
NEWRY AND ARMAGH,Cathal Boylan,Sinn Féin,True,7387,14.67,True
NEWRY AND ARMAGH,Liz Kimmins,Sinn Féin,True,7387,14.67,True
NEWRY AND ARMAGH,UUP newcomer 1,UUP,False,3938,7.82,False
NEWRY AND ARMAGH,Justin McNulty,SDLP,True,7108,14.11,True
NEWRY AND ARMAGH,Alliance newcomer 1,Alliance,False,2011,3.99,False
NEWRY AND ARMAGH,TUV newcomer 1,TUV,False,6334,12.58,False
NEWRY AND ARMAGH,Green newcomer 1,Green,False,477,0.95,False
NEWRY AND ARMAGH,PBP newcomer 1,PBP,False,6,0.01,False
NEWRY AND ARMAGH,Aontú newcomer 1,Aontú,False,2271,4.51,False
NEWRY AND ARMAGH,Independent newcomer 1,Independent,False,801,1.59,False
NEWRY AND ARMAGH,Other newcomer 1,Other,False,45,0.09,False
NORTH ANTRIM,Paul Frew,DUP,True,9122,20.14,True
NORTH ANTRIM,Philip McGuigan,Sinn Féin,True,7572,16.72,True
NORTH ANTRIM,Jon Burrows,UUP,True,6365,14.05,True
NORTH ANTRIM,UUP newcomer 1,UUP,False,4132,9.12,True
NORTH ANTRIM,SDLP newcomer 1,SDLP,False,2122,4.69,False
NORTH ANTRIM,Sian Mulholland,Alliance,True,2741,6.05,False
NORTH ANTRIM,Timothy Gaston,TUV,True,7707,17.02,True
NORTH ANTRIM,TUV newcomer 1,TUV,False,5003,11.05,False
NORTH ANTRIM,Green newcomer 1,Green,False,511,1.13,False
NORTH ANTRIM,PBP newcomer 1,PBP,False,0,0.0,False
NORTH ANTRIM,Aontú newcomer 1,Aontú,False,0,0.0,False
NORTH ANTRIM,Independent newcomer 1,Independent,False,17,0.04,False
NORTH ANTRIM,Other newcomer 1,Other,False,0,0.0,False
NORTH DOWN,Peter Martin,DUP,True,4929,10.35,True
NORTH DOWN,Stephen Dunne,DUP,True,4929,10.35,True
NORTH DOWN,Sinn Féin newcomer 1,Sinn Féin,False,879,1.84,False
NORTH DOWN,Alan Chambers,UUP,True,9512,19.97,True
NORTH DOWN,SDLP newcomer 1,SDLP,False,1350,2.83,False
NORTH DOWN,Andrew Muir,Alliance,True,5866,12.31,True
NORTH DOWN,Connie Egan,Alliance,True,5866,12.31,True
NORTH DOWN,TUV newcomer 1,TUV,False,3370,7.07,False
NORTH DOWN,Green newcomer 1,Green,False,6530,13.71,False
NORTH DOWN,PBP newcomer 1,PBP,False,58,0.12,False
NORTH DOWN,Aontú newcomer 1,Aontú,False,0,0.0,False
NORTH DOWN,Independent newcomer 1,Independent,False,4213,8.84,False
NORTH DOWN,Other newcomer 1,Other,False,141,0.3,False
SOUTH ANTRIM,Pam Cameron,DUP,True,4991,10.58,False
SOUTH ANTRIM,Trevor Clarke,DUP,True,4991,10.58,True
SOUTH ANTRIM,Declan Kearney,Sinn Féin,True,8422,17.85,True
SOUTH ANTRIM,Steve Aiken,UUP,True,6370,13.5,True
SOUTH ANTRIM,UUP newcomer 1,UUP,False,4135,8.76,False
SOUTH ANTRIM,SDLP newcomer 1,SDLP,False,4178,8.85,False
SOUTH ANTRIM,John Blair,Alliance,True,4991,10.58,True
SOUTH ANTRIM,TUV newcomer 1,TUV,False,6378,13.52,True
SOUTH ANTRIM,Green newcomer 1,Green,False,913,1.93,False
SOUTH ANTRIM,PBP newcomer 1,PBP,False,278,0.59,False
SOUTH ANTRIM,Aontú newcomer 1,Aontú,False,1462,3.1,False
SOUTH ANTRIM,Independent newcomer 1,Independent,False,82,0.17,False
SOUTH ANTRIM,Other newcomer 1,Other,False,2,0.0,False
SOUTH DOWN,Diane Forsythe,DUP,True,4863,9.78,True
SOUTH DOWN,Sinéad Ennis,Sinn Féin,True,7498,15.09,True
SOUTH DOWN,Cathy Mason,Sinn Féin,True,7498,15.09,True
SOUTH DOWN,Sinn Féin newcomer 1,Sinn Féin,False,4867,9.79,False
SOUTH DOWN,UUP newcomer 1,UUP,False,3346,6.73,False
SOUTH DOWN,Colin McGrath,SDLP,True,10366,20.86,True
SOUTH DOWN,Andrew McMurray,Alliance,True,3820,7.69,True
SOUTH DOWN,TUV newcomer 1,TUV,False,4238,8.53,False
SOUTH DOWN,Green newcomer 1,Green,False,630,1.27,False
SOUTH DOWN,PBP newcomer 1,PBP,False,195,0.39,False
SOUTH DOWN,Aontú newcomer 1,Aontú,False,2333,4.7,False
SOUTH DOWN,Independent newcomer 1,Independent,False,43,0.09,False
SOUTH DOWN,Other newcomer 1,Other,False,1,0.0,False
STRANGFORD,Michelle McIlveen,DUP,True,5954,13.9,False
STRANGFORD,Harry Harvey,DUP,True,5954,13.9,True
STRANGFORD,Sinn Féin newcomer 1,Sinn Féin,False,3289,7.68,False
STRANGFORD,UUP newcomer 1,UUP,False,7653,17.86,True
STRANGFORD,SDLP newcomer 1,SDLP,False,4358,10.17,True
STRANGFORD,Nick Mathison,Alliance,True,6704,15.65,True
STRANGFORD,TUV newcomer 1,TUV,False,7337,17.13,True
STRANGFORD,Green newcomer 1,Green,False,1299,3.03,False
STRANGFORD,PBP newcomer 1,PBP,False,16,0.04,False
STRANGFORD,Aontú newcomer 1,Aontú,False,245,0.57,False
STRANGFORD,Independent newcomer 1,Independent,False,33,0.08,False
STRANGFORD,Other newcomer 1,Other,False,0,0.0,False
UPPER BANN,Jonathan Buckley,DUP,True,5844,11.23,True
UPPER BANN,Diane Dodds,DUP,True,5844,11.23,True
UPPER BANN,John O'Dowd,Sinn Féin,True,9008,17.32,True
UPPER BANN,Sinn Féin newcomer 1,Sinn Féin,False,5847,11.24,True
UPPER BANN,UUP newcomer 1,UUP,False,3845,7.39,False
UPPER BANN,SDLP newcomer 1,SDLP,False,3856,7.41,False
UPPER BANN,Eóin Tennyson,Alliance,True,3915,7.53,True
UPPER BANN,TUV newcomer 1,TUV,False,5962,11.46,False
UPPER BANN,Green newcomer 1,Green,False,722,1.39,False
UPPER BANN,PBP newcomer 1,PBP,False,0,0.0,False
UPPER BANN,Aontú newcomer 1,Aontú,False,1172,2.25,False
UPPER BANN,Doug Beattie,Independent,True,5959,11.46,False
UPPER BANN,Other newcomer 1,Other,False,42,0.08,False
WEST TYRONE,Tom Buchanan,DUP,True,5525,11.53,True
WEST TYRONE,Nicola Brogan,Sinn Féin,True,7819,16.31,True
WEST TYRONE,Declan McAleer,Sinn Féin,True,7819,16.31,True
WEST TYRONE,Sinn Féin newcomer 1,Sinn Féin,False,5075,10.59,False
WEST TYRONE,UUP newcomer 1,UUP,False,2550,5.32,False
WEST TYRONE,Daniel McCrossan,SDLP,True,7962,16.61,True
WEST TYRONE,Alliance newcomer 1,Alliance,False,2026,4.23,False
WEST TYRONE,TUV newcomer 1,TUV,False,6106,12.74,True
WEST TYRONE,Green newcomer 1,Green,False,427,0.89,False
WEST TYRONE,PBP newcomer 1,PBP,False,389,0.81,False
WEST TYRONE,Aontú newcomer 1,Aontú,False,1622,3.38,False
WEST TYRONE,Independent newcomer 1,Independent,False,546,1.14,False
WEST TYRONE,Other newcomer 1,Other,False,62,0.13,False
