rowNumber,sourceGroup,provider,dataset,file,bytes,coverage,confidence,theme,roiScore,duplicateGroupSize,recommendedAction,recommendedPlacement,needsUserDecision,iaItem,rawViewport,cleanedBundle,evidence,url,raw
16,data.gov.ie,"Department of Climate, Energy and the Environment",atlantic-herring-spawning-ground1,shapefile,10539,not-found-in-site-manifests,none,environment-water-geology,68,1,new-interactive-or-source-candidate,Browse map if geometry is useful at national/local scale; otherwise IA-backed source/download record,maybe,civgraph-data-gov-ie-raw-sources,download-only raw source; converted MapLibre layer if approved,no R2/CDN cleaned bundle until structured query/map/chart use is approved,,,"Department of Climate, Energy and the Environment\atlantic-herring-spawning-ground1\shapefile"
17,data.gov.ie,"Department of Climate, Energy and the Environment",atlantic-mackerel-nursery-grounds1,shapefile,2684027,not-found-in-site-manifests,none,environment-water-geology,68,1,new-interactive-or-source-candidate,Browse map if geometry is useful at national/local scale; otherwise IA-backed source/download record,maybe,civgraph-data-gov-ie-raw-sources,download-only raw source; converted MapLibre layer if approved,no R2/CDN cleaned bundle until structured query/map/chart use is approved,,,"Department of Climate, Energy and the Environment\atlantic-mackerel-nursery-grounds1\shapefile"
18,data.gov.ie,"Department of Climate, Energy and the Environment",atlantic-mackerel-spawning-amp-nursery-grounds,shapefile,4875,not-found-in-site-manifests,none,environment-water-geology,68,1,new-interactive-or-source-candidate,Browse map if geometry is useful at national/local scale; otherwise IA-backed source/download record,maybe,civgraph-data-gov-ie-raw-sources,download-only raw source; converted MapLibre layer if approved,no R2/CDN cleaned bundle until structured query/map/chart use is approved,,,"Department of Climate, Energy and the Environment\atlantic-mackerel-spawning-amp-nursery-grounds\shapefile"
19,data.gov.ie,"Department of Climate, Energy and the Environment",atlantic-mackerel-spawning-ground1,shapefile,5308,not-found-in-site-manifests,none,environment-water-geology,68,1,new-interactive-or-source-candidate,Browse map if geometry is useful at national/local scale; otherwise IA-backed source/download record,maybe,civgraph-data-gov-ie-raw-sources,download-only raw source; converted MapLibre layer if approved,no R2/CDN cleaned bundle until structured query/map/chart use is approved,,,"Department of Climate, Energy and the Environment\atlantic-mackerel-spawning-ground1\shapefile"
20,data.gov.ie,"Department of Climate, Energy and the Environment",atlantic-marine-energy-test-site1,shapefile,6816,not-found-in-site-manifests,none,environment-water-geology,68,1,new-interactive-or-source-candidate,Browse map if geometry is useful at national/local scale; otherwise IA-backed source/download record,maybe,civgraph-data-gov-ie-raw-sources,download-only raw source; converted MapLibre layer if approved,no R2/CDN cleaned bundle until structured query/map/chart use is approved,,,"Department of Climate, Energy and the Environment\atlantic-marine-energy-test-site1\shapefile"
21,data.gov.ie,"Department of Climate, Energy and the Environment",bathing-water-quality1,shapefile,9581,not-found-in-site-manifests,none,environment-water-geology,68,1,new-interactive-or-source-candidate,Browse map if geometry is useful at national/local scale; otherwise IA-backed source/download record,maybe,civgraph-data-gov-ie-raw-sources,download-only raw source; converted MapLibre layer if approved,no R2/CDN cleaned bundle until structured query/map/chart use is approved,,,"Department of Climate, Energy and the Environment\bathing-water-quality1\shapefile"
22,data.gov.ie,"Department of Climate, Energy and the Environment",benthic-broad-habitat-type1,shapefile,224348906,not-found-in-site-manifests,none,environment-water-geology,68,1,new-interactive-or-source-candidate,Browse map if geometry is useful at national/local scale; otherwise IA-backed source/download record,maybe,civgraph-data-gov-ie-raw-sources,download-only raw source; converted MapLibre layer if approved,no R2/CDN cleaned bundle until structured query/map/chart use is approved,,,"Department of Climate, Energy and the Environment\benthic-broad-habitat-type1\shapefile"
23,data.gov.ie,"Department of Climate, Energy and the Environment",benthic-broad-habitat-type3,shapefile,224377300,not-found-in-site-manifests,none,environment-water-geology,68,1,new-interactive-or-source-candidate,Browse map if geometry is useful at national/local scale; otherwise IA-backed source/download record,maybe,civgraph-data-gov-ie-raw-sources,download-only raw source; converted MapLibre layer if approved,no R2/CDN cleaned bundle until structured query/map/chart use is approved,,,"Department of Climate, Energy and the Environment\benthic-broad-habitat-type3\shapefile"
24,data.gov.ie,"Department of Climate, Energy and the Environment",bivalve-production-areas1,shapefile,2193150,not-found-in-site-manifests,none,environment-water-geology,68,1,new-interactive-or-source-candidate,Browse map if geometry is useful at national/local scale; otherwise IA-backed source/download record,maybe,civgraph-data-gov-ie-raw-sources,download-only raw source; converted MapLibre layer if approved,no R2/CDN cleaned bundle until structured query/map/chart use is approved,,,"Department of Climate, Energy and the Environment\bivalve-production-areas1\shapefile"
25,data.gov.ie,"Department of Climate, Energy and the Environment",black-belly-angler-monk-nursery-grounds1,shapefile,18369,not-found-in-site-manifests,none,environment-water-geology,68,1,new-interactive-or-source-candidate,Browse map if geometry is useful at national/local scale; otherwise IA-backed source/download record,maybe,civgraph-data-gov-ie-raw-sources,download-only raw source; converted MapLibre layer if approved,no R2/CDN cleaned bundle until structured query/map/chart use is approved,,,"Department of Climate, Energy and the Environment\black-belly-angler-monk-nursery-grounds1\shapefile"
26,data.gov.ie,"Department of Climate, Energy and the Environment",blue-whiting-nursery-grounds1,shapefile,4880,not-found-in-site-manifests,none,environment-water-geology,68,1,new-interactive-or-source-candidate,Browse map if geometry is useful at national/local scale; otherwise IA-backed source/download record,maybe,civgraph-data-gov-ie-raw-sources,download-only raw source; converted MapLibre layer if approved,no R2/CDN cleaned bundle until structured query/map/chart use is approved,,,"Department of Climate, Energy and the Environment\blue-whiting-nursery-grounds1\shapefile"
27,data.gov.ie,"Department of Climate, Energy and the Environment",blue-whiting-spawning-amp-nursery-grounds,shapefile,4777,not-found-in-site-manifests,none,environment-water-geology,68,1,new-interactive-or-source-candidate,Browse map if geometry is useful at national/local scale; otherwise IA-backed source/download record,maybe,civgraph-data-gov-ie-raw-sources,download-only raw source; converted MapLibre layer if approved,no R2/CDN cleaned bundle until structured query/map/chart use is approved,,,"Department of Climate, Energy and the Environment\blue-whiting-spawning-amp-nursery-grounds\shapefile"
28,data.gov.ie,"Department of Climate, Energy and the Environment",blue-whiting-spawning-ground1,shapefile,4367,not-found-in-site-manifests,none,environment-water-geology,68,1,new-interactive-or-source-candidate,Browse map if geometry is useful at national/local scale; otherwise IA-backed source/download record,maybe,civgraph-data-gov-ie-raw-sources,download-only raw source; converted MapLibre layer if approved,no R2/CDN cleaned bundle until structured query/map/chart use is approved,,,"Department of Climate, Energy and the Environment\blue-whiting-spawning-ground1\shapefile"
29,data.gov.ie,"Department of Climate, Energy and the Environment",bottlenose-dolphin-distribution1,shapefile,19721,not-found-in-site-manifests,none,environment-water-geology,68,1,new-interactive-or-source-candidate,Browse map if geometry is useful at national/local scale; otherwise IA-backed source/download record,maybe,civgraph-data-gov-ie-raw-sources,download-only raw source; converted MapLibre layer if approved,no R2/CDN cleaned bundle until structured query/map/chart use is approved,,,"Department of Climate, Energy and the Environment\bottlenose-dolphin-distribution1\shapefile"
30,data.gov.ie,"Department of Climate, Energy and the Environment",bottlenose-dolphin-range1,shapefile,26659,not-found-in-site-manifests,none,environment-water-geology,68,1,new-interactive-or-source-candidate,Browse map if geometry is useful at national/local scale; otherwise IA-backed source/download record,maybe,civgraph-data-gov-ie-raw-sources,download-only raw source; converted MapLibre layer if approved,no R2/CDN cleaned bundle until structured query/map/chart use is approved,,,"Department of Climate, Energy and the Environment\bottlenose-dolphin-range1\shapefile"
31,data.gov.ie,"Department of Climate, Energy and the Environment",bottom-trawl-fishing1,shapefile,322579,not-found-in-site-manifests,none,environment-water-geology,68,1,new-interactive-or-source-candidate,Browse map if geometry is useful at national/local scale; otherwise IA-backed source/download record,maybe,civgraph-data-gov-ie-raw-sources,download-only raw source; converted MapLibre layer if approved,no R2/CDN cleaned bundle until structured query/map/chart use is approved,,,"Department of Climate, Energy and the Environment\bottom-trawl-fishing1\shapefile"
32,data.gov.ie,"Department of Climate, Energy and the Environment",cargo-and-tanker-vessel-density,shapefile,6415831,not-found-in-site-manifests,none,environment-water-geology,68,1,new-interactive-or-source-candidate,Browse map if geometry is useful at national/local scale; otherwise IA-backed source/download record,maybe,civgraph-data-gov-ie-raw-sources,download-only raw source; converted MapLibre layer if approved,no R2/CDN cleaned bundle until structured query/map/chart use is approved,,,"Department of Climate, Energy and the Environment\cargo-and-tanker-vessel-density\shapefile"
33,data.gov.ie,"Department of Climate, Energy and the Environment",causeway-coastal-route1,shapefile,95111,not-found-in-site-manifests,none,environment-water-geology,68,1,new-interactive-or-source-candidate,Browse map if geometry is useful at national/local scale; otherwise IA-backed source/download record,maybe,civgraph-data-gov-ie-raw-sources,download-only raw source; converted MapLibre layer if approved,no R2/CDN cleaned bundle until structured query/map/chart use is approved,,,"Department of Climate, Energy and the Environment\causeway-coastal-route1\shapefile"
34,data.gov.ie,"Department of Climate, Energy and the Environment",ch-21-sailingdensitypoly,shapefile,4624921,not-found-in-site-manifests,none,environment-water-geology,68,1,new-interactive-or-source-candidate,Browse map if geometry is useful at national/local scale; otherwise IA-backed source/download record,maybe,civgraph-data-gov-ie-raw-sources,download-only raw source; converted MapLibre layer if approved,no R2/CDN cleaned bundle until structured query/map/chart use is approved,,,"Department of Climate, Energy and the Environment\ch-21-sailingdensitypoly\shapefile"
35,data.gov.ie,"Department of Climate, Energy and the Environment",ch-5-8-carbon-sequestration-polygons,shapefile,5935073,not-found-in-site-manifests,none,environment-water-geology,68,1,new-interactive-or-source-candidate,Browse map if geometry is useful at national/local scale; otherwise IA-backed source/download record,maybe,civgraph-data-gov-ie-raw-sources,download-only raw source; converted MapLibre layer if approved,no R2/CDN cleaned bundle until structured query/map/chart use is approved,,,"Department of Climate, Energy and the Environment\ch-5-8-carbon-sequestration-polygons\shapefile"
36,data.gov.ie,"Department of Climate, Energy and the Environment",charter-angling-skipper-activity-area2,shapefile,14008,not-found-in-site-manifests,none,environment-water-geology,68,1,new-interactive-or-source-candidate,Browse map if geometry is useful at national/local scale; otherwise IA-backed source/download record,maybe,civgraph-data-gov-ie-raw-sources,download-only raw source; converted MapLibre layer if approved,no R2/CDN cleaned bundle until structured query/map/chart use is approved,,,"Department of Climate, Energy and the Environment\charter-angling-skipper-activity-area2\shapefile"
37,data.gov.ie,"Department of Climate, Energy and the Environment",climate-change2,shapefile,8169,not-found-in-site-manifests,none,environment-water-geology,68,1,new-interactive-or-source-candidate,Browse map if geometry is useful at national/local scale; otherwise IA-backed source/download record,maybe,civgraph-data-gov-ie-raw-sources,download-only raw source; converted MapLibre layer if approved,no R2/CDN cleaned bundle until structured query/map/chart use is approved,,,"Department of Climate, Energy and the Environment\climate-change2\shapefile"
38,data.gov.ie,"Department of Climate, Energy and the Environment",coastal-built-heritage-sites1,shapefile,19743,not-found-in-site-manifests,none,environment-water-geology,68,1,new-interactive-or-source-candidate,Browse map if geometry is useful at national/local scale; otherwise IA-backed source/download record,maybe,civgraph-data-gov-ie-raw-sources,download-only raw source; converted MapLibre layer if approved,no R2/CDN cleaned bundle until structured query/map/chart use is approved,,,"Department of Climate, Energy and the Environment\coastal-built-heritage-sites1\shapefile"
39,data.gov.ie,"Department of Climate, Energy and the Environment",coastal-unesco-world-heritage-sites1,shapefile,6421,probable-interactive-or-geospatial,medium,environment-water-geology,75,1,review-probable-duplicate-or-variant,compare geometry/provider/date against likely parent; merge as variant if materially different,maybe,civgraph-data-gov-ie-raw-sources,download-only raw source; converted MapLibre layer if approved,R2/CDN only if variant gets a converted tile/query bundle,map-detail:designated-whs,,"Department of Climate, Energy and the Environment\coastal-unesco-world-heritage-sites1\shapefile"
40,data.gov.ie,"Department of Climate, Energy and the Environment",coastal-water-quality3,shapefile,4547673,not-found-in-site-manifests,none,environment-water-geology,68,1,new-interactive-or-source-candidate,Browse map if geometry is useful at national/local scale; otherwise IA-backed source/download record,maybe,civgraph-data-gov-ie-raw-sources,download-only raw source; converted MapLibre layer if approved,no R2/CDN cleaned bundle until structured query/map/chart use is approved,,,"Department of Climate, Energy and the Environment\coastal-water-quality3\shapefile"
41,data.gov.ie,"Department of Climate, Energy and the Environment",cod-nursery-grounds1,shapefile,2620276,not-found-in-site-manifests,none,environment-water-geology,68,1,new-interactive-or-source-candidate,Browse map if geometry is useful at national/local scale; otherwise IA-backed source/download record,maybe,civgraph-data-gov-ie-raw-sources,download-only raw source; converted MapLibre layer if approved,no R2/CDN cleaned bundle until structured query/map/chart use is approved,,,"Department of Climate, Energy and the Environment\cod-nursery-grounds1\shapefile"
42,data.gov.ie,"Department of Climate, Energy and the Environment",cod-spawning-amp-nursery-grounds,shapefile,66791,not-found-in-site-manifests,none,environment-water-geology,68,1,new-interactive-or-source-candidate,Browse map if geometry is useful at national/local scale; otherwise IA-backed source/download record,maybe,civgraph-data-gov-ie-raw-sources,download-only raw source; converted MapLibre layer if approved,no R2/CDN cleaned bundle until structured query/map/chart use is approved,,,"Department of Climate, Energy and the Environment\cod-spawning-amp-nursery-grounds\shapefile"
43,data.gov.ie,"Department of Climate, Energy and the Environment",cod-spawning-ground1,shapefile,71131,not-found-in-site-manifests,none,environment-water-geology,68,1,new-interactive-or-source-candidate,Browse map if geometry is useful at national/local scale; otherwise IA-backed source/download record,maybe,civgraph-data-gov-ie-raw-sources,download-only raw source; converted MapLibre layer if approved,no R2/CDN cleaned bundle until structured query/map/chart use is approved,,,"Department of Climate, Energy and the Environment\cod-spawning-ground1\shapefile"
44,data.gov.ie,"Department of Climate, Energy and the Environment",commissioners-of-irish-lights-aids-to-navigation,shapefile,9190,not-found-in-site-manifests,none,environment-water-geology,68,1,new-interactive-or-source-candidate,Browse map if geometry is useful at national/local scale; otherwise IA-backed source/download record,maybe,civgraph-data-gov-ie-raw-sources,download-only raw source; converted MapLibre layer if approved,no R2/CDN cleaned bundle until structured query/map/chart use is approved,,,"Department of Climate, Energy and the Environment\commissioners-of-irish-lights-aids-to-navigation\shapefile"
45,data.gov.ie,"Department of Climate, Energy and the Environment",common-dolphin-distribution1,shapefile,18969,not-found-in-site-manifests,none,environment-water-geology,68,1,new-interactive-or-source-candidate,Browse map if geometry is useful at national/local scale; otherwise IA-backed source/download record,maybe,civgraph-data-gov-ie-raw-sources,download-only raw source; converted MapLibre layer if approved,no R2/CDN cleaned bundle until structured query/map/chart use is approved,,,"Department of Climate, Energy and the Environment\common-dolphin-distribution1\shapefile"
46,data.gov.ie,"Department of Climate, Energy and the Environment",common-dolphin-range1,shapefile,26504,not-found-in-site-manifests,none,environment-water-geology,68,1,new-interactive-or-source-candidate,Browse map if geometry is useful at national/local scale; otherwise IA-backed source/download record,maybe,civgraph-data-gov-ie-raw-sources,download-only raw source; converted MapLibre layer if approved,no R2/CDN cleaned bundle until structured query/map/chart use is approved,,,"Department of Climate, Energy and the Environment\common-dolphin-range1\shapefile"
47,data.gov.ie,"Department of Climate, Energy and the Environment",current-authorisations2,shapefile,57221,not-found-in-site-manifests,none,environment-water-geology,68,1,new-interactive-or-source-candidate,Browse map if geometry is useful at national/local scale; otherwise IA-backed source/download record,maybe,civgraph-data-gov-ie-raw-sources,download-only raw source; converted MapLibre layer if approved,no R2/CDN cleaned bundle until structured query/map/chart use is approved,,,"Department of Climate, Energy and the Environment\current-authorisations2\shapefile"
48,data.gov.ie,"Department of Climate, Energy and the Environment",currently-designated-continental-shelf-boundary2,shapefile,7165,not-found-in-site-manifests,none,administrative-boundaries,95,1,new-interactive-map-candidate-high-priority,Browse maps plus MapLibre conversion after geometry validation,no,civgraph-data-gov-ie-raw-sources,download-only raw source; converted MapLibre layer if approved,R2/CDN only for generated PMTiles/metadata after conversion; raw file stays IA-hotlinked,,,"Department of Climate, Energy and the Environment\currently-designated-continental-shelf-boundary2\shapefile"
49,data.gov.ie,"Department of Climate, Energy and the Environment",danger-and-restricted-areas-that-coincide-with-marine-or-coastal-areas-only1,shapefile,106945,not-found-in-site-manifests,none,environment-water-geology,68,1,new-interactive-or-source-candidate,Browse map if geometry is useful at national/local scale; otherwise IA-backed source/download record,maybe,civgraph-data-gov-ie-raw-sources,download-only raw source; converted MapLibre layer if approved,no R2/CDN cleaned bundle until structured query/map/chart use is approved,,,"Department of Climate, Energy and the Environment\danger-and-restricted-areas-that-coincide-with-marine-or-coastal-areas-only1\shapefile"
50,data.gov.ie,"Department of Climate, Energy and the Environment",dhlgh-foreshore-offshore-renewable-energy-data1,shapefile,1692186,not-found-in-site-manifests,none,environment-water-geology,68,1,new-interactive-or-source-candidate,Browse map if geometry is useful at national/local scale; otherwise IA-backed source/download record,maybe,civgraph-data-gov-ie-raw-sources,download-only raw source; converted MapLibre layer if approved,no R2/CDN cleaned bundle until structured query/map/chart use is approved,,,"Department of Climate, Energy and the Environment\dhlgh-foreshore-offshore-renewable-energy-data1\shapefile"
51,data.gov.ie,"Department of Climate, Energy and the Environment",discovery-point1,shapefile,12101,not-found-in-site-manifests,none,environment-water-geology,68,1,new-interactive-or-source-candidate,Browse map if geometry is useful at national/local scale; otherwise IA-backed source/download record,maybe,civgraph-data-gov-ie-raw-sources,download-only raw source; converted MapLibre layer if approved,no R2/CDN cleaned bundle until structured query/map/chart use is approved,,,"Department of Climate, Energy and the Environment\discovery-point1\shapefile"
52,data.gov.ie,"Department of Climate, Energy and the Environment",dmaps-proposal-boundary,shapefile,1662225,not-found-in-site-manifests,none,administrative-boundaries,95,1,new-interactive-map-candidate-high-priority,Browse maps plus MapLibre conversion after geometry validation,no,civgraph-data-gov-ie-raw-sources,download-only raw source; converted MapLibre layer if approved,R2/CDN only for generated PMTiles/metadata after conversion; raw file stays IA-hotlinked,,,"Department of Climate, Energy and the Environment\dmaps-proposal-boundary\shapefile"
53,data.gov.ie,"Department of Climate, Energy and the Environment",dredge-fishing1,shapefile,713918,not-found-in-site-manifests,none,environment-water-geology,68,1,new-interactive-or-source-candidate,Browse map if geometry is useful at national/local scale; otherwise IA-backed source/download record,maybe,civgraph-data-gov-ie-raw-sources,download-only raw source; converted MapLibre layer if approved,no R2/CDN cleaned bundle until structured query/map/chart use is approved,,,"Department of Climate, Energy and the Environment\dredge-fishing1\shapefile"
54,data.gov.ie,"Department of Climate, Energy and the Environment",dublin-bay-biosphere-marine-zones1,shapefile,317865,not-found-in-site-manifests,none,environment-water-geology,68,1,new-interactive-or-source-candidate,Browse map if geometry is useful at national/local scale; otherwise IA-backed source/download record,maybe,civgraph-data-gov-ie-raw-sources,download-only raw source; converted MapLibre layer if approved,no R2/CDN cleaned bundle until structured query/map/chart use is approved,,,"Department of Climate, Energy and the Environment\dublin-bay-biosphere-marine-zones1\shapefile"
55,data.gov.ie,"Department of Climate, Energy and the Environment",dune1,shapefile,3044559,not-found-in-site-manifests,none,environment-water-geology,68,1,new-interactive-or-source-candidate,Browse map if geometry is useful at national/local scale; otherwise IA-backed source/download record,maybe,civgraph-data-gov-ie-raw-sources,download-only raw source; converted MapLibre layer if approved,no R2/CDN cleaned bundle until structured query/map/chart use is approved,,,"Department of Climate, Energy and the Environment\dune1\shapefile"
56,data.gov.ie,"Department of Climate, Energy and the Environment",dune3,shapefile,3072953,not-found-in-site-manifests,none,environment-water-geology,68,1,new-interactive-or-source-candidate,Browse map if geometry is useful at national/local scale; otherwise IA-backed source/download record,maybe,civgraph-data-gov-ie-raw-sources,download-only raw source; converted MapLibre layer if approved,no R2/CDN cleaned bundle until structured query/map/chart use is approved,,,"Department of Climate, Energy and the Environment\dune3\shapefile"
57,data.gov.ie,"Department of Climate, Energy and the Environment",electoral-districts-with-marine-related-businesses,shapefile,27079382,not-found-in-site-manifests,none,electoral-geography,95,1,new-interactive-map-candidate-high-priority,Browse maps plus MapLibre conversion after geometry validation,no,civgraph-data-gov-ie-raw-sources,download-only raw source; converted MapLibre layer if approved,R2/CDN only for generated PMTiles/metadata after conversion; raw file stays IA-hotlinked,,,"Department of Climate, Energy and the Environment\electoral-districts-with-marine-related-businesses\shapefile"
58,data.gov.ie,"Department of Climate, Energy and the Environment",energy-and-buoy-infrastructure1,shapefile,6769,not-found-in-site-manifests,none,environment-water-geology,68,1,new-interactive-or-source-candidate,Browse map if geometry is useful at national/local scale; otherwise IA-backed source/download record,maybe,civgraph-data-gov-ie-raw-sources,download-only raw source; converted MapLibre layer if approved,no R2/CDN cleaned bundle until structured query/map/chart use is approved,,,"Department of Climate, Energy and the Environment\energy-and-buoy-infrastructure1\shapefile"
