DZ21,con,catholic_bg_pct,persuadable,swing_halfwidth
N20000100,SOUTH ANTRIM,4.2,47.1,14.1
N20000101,SOUTH ANTRIM,3.0,47.1,14.1
N20000102,SOUTH ANTRIM,7.1,47.1,14.1
N20000103,SOUTH ANTRIM,7.2,47.1,14.1
N20000104,SOUTH ANTRIM,4.5,47.1,14.1
N20000105,SOUTH ANTRIM,7.5,47.1,14.1
N20000106,SOUTH ANTRIM,7.0,47.1,14.1
N20000107,SOUTH ANTRIM,12.0,47.1,14.1
N20000108,SOUTH ANTRIM,7.0,47.1,14.1
N20000109,SOUTH ANTRIM,4.0,47.1,14.1
N20000110,SOUTH ANTRIM,3.6,47.1,14.1
N20000111,SOUTH ANTRIM,3.6,47.1,14.1
N20000112,SOUTH ANTRIM,6.9,47.1,14.1
N20000113,SOUTH ANTRIM,5.5,47.1,14.1
N20000114,SOUTH ANTRIM,3.8,47.1,14.1
N20000115,SOUTH ANTRIM,5.7,47.1,14.1
N20000116,SOUTH ANTRIM,7.5,47.1,14.1
N20000117,SOUTH ANTRIM,3.4,47.1,14.1
N20000118,SOUTH ANTRIM,3.3,47.1,14.1
N20000119,SOUTH ANTRIM,2.6,47.1,14.1
N20000120,SOUTH ANTRIM,2.6,47.1,14.1
N20000121,SOUTH ANTRIM,6.9,47.1,14.1
N20000122,SOUTH ANTRIM,4.3,47.1,14.1
N20000123,SOUTH ANTRIM,6.1,47.1,14.1
N20000124,SOUTH ANTRIM,10.1,47.1,14.1
N20000125,SOUTH ANTRIM,6.6,47.1,14.1
N20000126,EAST ANTRIM,16.6,46.0,13.8
N20000127,SOUTH ANTRIM,4.3,47.1,14.1
N20000128,EAST ANTRIM,14.8,46.0,13.8
N20000129,SOUTH ANTRIM,6.2,47.1,14.1
N20000130,SOUTH ANTRIM,7.8,47.1,14.1
N20000131,SOUTH ANTRIM,7.2,47.1,14.1
N20000132,EAST ANTRIM,23.4,46.0,13.8
N20000133,EAST ANTRIM,13.9,46.0,13.8
N20000134,EAST ANTRIM,23.9,46.0,13.8
N20000135,SOUTH ANTRIM,16.3,47.1,14.1
N20000136,SOUTH ANTRIM,9.1,47.1,14.1
N20000137,EAST ANTRIM,6.5,46.0,13.8
N20000138,EAST ANTRIM,4.8,46.0,13.8
N20000139,SOUTH ANTRIM,8.0,47.1,14.1
N20000140,EAST ANTRIM,31.0,46.0,13.8
N20000141,SOUTH ANTRIM,18.4,47.1,14.1
N20000143,EAST ANTRIM,21.3,46.0,13.8
N20000144,SOUTH ANTRIM,14.0,47.1,14.1
N20000145,SOUTH ANTRIM,6.2,47.1,14.1
N20000146,EAST ANTRIM,5.4,46.0,13.8
N20000149,EAST ANTRIM,20.6,46.0,13.8
N20000150,EAST ANTRIM,2.4,46.0,13.8
N20000151,SOUTH ANTRIM,12.2,47.1,14.1
N20000152,EAST ANTRIM,26.1,46.0,13.8
N20000153,EAST ANTRIM,2.4,46.0,13.8
N20000154,SOUTH ANTRIM,4.0,47.1,14.1
N20000156,SOUTH ANTRIM,14.3,47.1,14.1
N20000157,SOUTH ANTRIM,17.0,47.1,14.1
N20000158,EAST ANTRIM,18.8,46.0,13.8
N20000159,EAST ANTRIM,2.9,46.0,13.8
N20000160,EAST ANTRIM,26.9,46.0,13.8
N20000161,EAST ANTRIM,26.0,46.0,13.8
N20000162,EAST ANTRIM,19.6,46.0,13.8
N20000163,EAST ANTRIM,19.1,46.0,13.8
N20000164,BELFAST NORTH,29.3,49.2,14.8
N20000165,BELFAST NORTH,8.8,49.2,14.8
N20000166,EAST ANTRIM,23.6,46.0,13.8
N20000167,EAST ANTRIM,23.6,46.0,13.8
N20000168,BELFAST NORTH,6.2,49.2,14.8
N20000169,EAST ANTRIM,58.3,46.0,13.8
N20000170,BELFAST NORTH,7.9,49.2,14.8
N20000171,EAST ANTRIM,14.6,46.0,13.8
N20000172,EAST ANTRIM,41.2,46.0,13.8
N20000173,BELFAST NORTH,44.1,49.2,14.8
N20000174,BELFAST NORTH,2.1,49.2,14.8
N20000175,BELFAST NORTH,22.7,49.2,14.8
N20000176,BELFAST NORTH,9.5,49.2,14.8
N20000177,EAST ANTRIM,51.0,46.0,13.8
N20000178,BELFAST NORTH,53.5,49.2,14.8
N20000179,BELFAST NORTH,14.0,49.2,14.8
N20000180,BELFAST NORTH,2.3,49.2,14.8
N20000181,BELFAST NORTH,6.4,49.2,14.8
N20000182,BELFAST NORTH,3.9,49.2,14.8
N20000183,BELFAST NORTH,5.7,49.2,14.8
N20000184,BELFAST NORTH,3.7,49.2,14.8
N20000185,BELFAST NORTH,10.2,49.2,14.8
N20000186,BELFAST NORTH,30.0,49.2,14.8
N20000187,BELFAST NORTH,3.0,49.2,14.8
N20000188,BELFAST NORTH,21.6,49.2,14.8
N20000189,BELFAST NORTH,2.0,49.2,14.8
N20000190,BELFAST NORTH,6.9,49.2,14.8
N20000191,BELFAST NORTH,6.6,49.2,14.8
N20000193,BELFAST NORTH,4.3,49.2,14.8
N20000194,BELFAST NORTH,3.9,49.2,14.8
N20000196,BELFAST NORTH,6.1,49.2,14.8
N20000197,BELFAST NORTH,7.9,49.2,14.8
N20000198,BELFAST NORTH,5.8,49.2,14.8
N20000200,BELFAST NORTH,6.8,49.2,14.8
N20000201,BELFAST NORTH,40.3,49.2,14.8
N20000203,BELFAST NORTH,35.4,49.2,14.8
N20000204,BELFAST NORTH,33.2,49.2,14.8
N20000205,BELFAST NORTH,21.1,49.2,14.8
N20000206,BELFAST NORTH,22.7,49.2,14.8
N20000207,BELFAST NORTH,87.6,49.2,14.8
N20000208,BELFAST NORTH,79.0,49.2,14.8
N20000209,BELFAST NORTH,86.1,49.2,14.8
N20000210,BELFAST NORTH,85.5,49.2,14.8
N20000211,SOUTH ANTRIM,29.8,47.1,14.1
N20000212,SOUTH ANTRIM,5.8,47.1,14.1
N20000214,SOUTH ANTRIM,10.6,47.1,14.1
N20000215,SOUTH ANTRIM,26.8,47.1,14.1
N20000216,SOUTH ANTRIM,13.5,47.1,14.1
N20000217,SOUTH ANTRIM,17.6,47.1,14.1
N20000218,SOUTH ANTRIM,17.0,47.1,14.1
N20000219,SOUTH ANTRIM,45.6,47.1,14.1
N20000220,SOUTH ANTRIM,19.7,47.1,14.1
N20000221,SOUTH ANTRIM,16.9,47.1,14.1
N20000222,BELFAST NORTH,20.2,49.2,14.8
N20000223,SOUTH ANTRIM,27.4,47.1,14.1
N20000224,SOUTH ANTRIM,36.8,47.1,14.1
N20000225,BELFAST NORTH,12.2,49.2,14.8
N20000226,SOUTH ANTRIM,27.4,47.1,14.1
N20000227,BELFAST NORTH,32.9,49.2,14.8
N20000228,BELFAST NORTH,16.5,49.2,14.8
N20000229,BELFAST NORTH,12.7,49.2,14.8
N20000230,BELFAST NORTH,31.2,49.2,14.8
N20000231,BELFAST NORTH,44.6,49.2,14.8
N20000232,BELFAST NORTH,51.2,49.2,14.8
N20000233,BELFAST NORTH,53.9,49.2,14.8
N20000234,BELFAST NORTH,55.6,49.2,14.8
N20000235,BELFAST NORTH,44.6,49.2,14.8
N20000236,BELFAST NORTH,37.0,49.2,14.8
N20000237,BELFAST NORTH,31.1,49.2,14.8
N20000238,BELFAST NORTH,67.7,49.2,14.8
N20000239,BELFAST NORTH,42.5,49.2,14.8
N20000240,BELFAST NORTH,57.1,49.2,14.8
N20000241,BELFAST NORTH,28.9,49.2,14.8
N20000242,BELFAST NORTH,23.8,49.2,14.8
N20000243,BELFAST NORTH,72.5,49.2,14.8
N20000244,BELFAST NORTH,76.4,49.2,14.8
N20000245,BELFAST NORTH,88.9,49.2,14.8
N20000246,BELFAST NORTH,77.4,49.2,14.8
N20000247,BELFAST NORTH,67.9,49.2,14.8
N20000249,BELFAST NORTH,82.8,49.2,14.8
N20000250,BELFAST NORTH,85.0,49.2,14.8
N20000251,SOUTH ANTRIM,85.0,47.1,14.1
N20000252,BELFAST NORTH,82.3,49.2,14.8
N20000254,BELFAST NORTH,80.0,49.2,14.8
N20000255,BELFAST NORTH,83.6,49.2,14.8
N20000256,BELFAST NORTH,81.9,49.2,14.8
N20000257,SOUTH ANTRIM,16.7,47.1,14.1
N20000258,SOUTH ANTRIM,13.6,47.1,14.1
N20000259,SOUTH ANTRIM,12.2,47.1,14.1
N20000260,SOUTH ANTRIM,16.8,47.1,14.1
N20000261,SOUTH ANTRIM,9.0,47.1,14.1
N20000262,SOUTH ANTRIM,14.2,47.1,14.1
N20000263,SOUTH ANTRIM,18.0,47.1,14.1
N20000264,SOUTH ANTRIM,28.3,47.1,14.1
N20000265,SOUTH ANTRIM,35.6,47.1,14.1
N20000266,SOUTH ANTRIM,17.4,47.1,14.1
N20000267,SOUTH ANTRIM,61.0,47.1,14.1
N20000268,SOUTH ANTRIM,29.7,47.1,14.1
N20000270,SOUTH ANTRIM,68.4,47.1,14.1
N20000271,SOUTH ANTRIM,57.3,47.1,14.1
N20000272,SOUTH ANTRIM,65.9,47.1,14.1
N20000273,SOUTH ANTRIM,79.2,47.1,14.1
N20000274,SOUTH ANTRIM,11.0,47.1,14.1
N20000275,SOUTH ANTRIM,61.7,47.1,14.1
N20000276,SOUTH ANTRIM,68.3,47.1,14.1
N20000277,SOUTH ANTRIM,88.6,47.1,14.1
N20000278,SOUTH ANTRIM,17.0,47.1,14.1
N20000279,SOUTH ANTRIM,24.0,47.1,14.1
N20000280,SOUTH ANTRIM,15.4,47.1,14.1
N20000282,SOUTH ANTRIM,54.5,47.1,14.1
N20000283,SOUTH ANTRIM,75.4,47.1,14.1
N20000284,SOUTH ANTRIM,79.8,47.1,14.1
N20000285,SOUTH ANTRIM,34.5,47.1,14.1
N20000286,SOUTH ANTRIM,86.1,47.1,14.1
N20000287,SOUTH ANTRIM,89.1,47.1,14.1
N20000288,SOUTH ANTRIM,63.4,47.1,14.1
N20000289,SOUTH ANTRIM,74.4,47.1,14.1
N20000290,SOUTH ANTRIM,70.9,47.1,14.1
N20000291,SOUTH ANTRIM,67.9,47.1,14.1
N20000292,SOUTH ANTRIM,87.0,47.1,14.1
N20000293,SOUTH ANTRIM,59.8,47.1,14.1
N20000294,SOUTH ANTRIM,88.9,47.1,14.1
N20000295,NEWRY AND ARMAGH,62.5,49.4,14.8
N20000296,NEWRY AND ARMAGH,54.6,49.4,14.8
N20000297,NEWRY AND ARMAGH,87.6,49.4,14.8
N20000298,NEWRY AND ARMAGH,90.3,49.4,14.8
N20000299,NEWRY AND ARMAGH,68.5,49.4,14.8
N20000300,NEWRY AND ARMAGH,84.9,49.4,14.8
N20000301,NEWRY AND ARMAGH,76.3,49.4,14.8
N20000303,NEWRY AND ARMAGH,92.3,49.4,14.8
N20000304,NEWRY AND ARMAGH,60.7,49.4,14.8
N20000305,NEWRY AND ARMAGH,24.3,49.4,14.8
N20000306,NEWRY AND ARMAGH,51.9,49.4,14.8
N20000307,NEWRY AND ARMAGH,50.3,49.4,14.8
N20000308,NEWRY AND ARMAGH,50.3,49.4,14.8
N20000310,NEWRY AND ARMAGH,59.5,49.4,14.8
N20000311,NEWRY AND ARMAGH,62.4,49.4,14.8
N20000312,NEWRY AND ARMAGH,78.5,49.4,14.8
N20000313,NEWRY AND ARMAGH,71.1,49.4,14.8
N20000314,NEWRY AND ARMAGH,25.5,49.4,14.8
N20000315,NEWRY AND ARMAGH,43.9,49.4,14.8
N20000316,NEWRY AND ARMAGH,82.9,49.4,14.8
N20000317,NEWRY AND ARMAGH,86.7,49.4,14.8
N20000318,NEWRY AND ARMAGH,87.7,49.4,14.8
N20000319,NEWRY AND ARMAGH,71.1,49.4,14.8
N20000320,NEWRY AND ARMAGH,27.6,49.4,14.8
N20000321,NEWRY AND ARMAGH,92.7,49.4,14.8
N20000322,NEWRY AND ARMAGH,91.4,49.4,14.8
N20000323,NEWRY AND ARMAGH,75.7,49.4,14.8
N20000324,NEWRY AND ARMAGH,48.1,49.4,14.8
N20000325,NEWRY AND ARMAGH,47.9,49.4,14.8
N20000326,NEWRY AND ARMAGH,9.4,49.4,14.8
N20000328,NEWRY AND ARMAGH,52.2,49.4,14.8
N20000329,NEWRY AND ARMAGH,88.5,49.4,14.8
N20000330,NEWRY AND ARMAGH,84.2,49.4,14.8
N20000331,NEWRY AND ARMAGH,84.7,49.4,14.8
N20000332,NEWRY AND ARMAGH,58.6,49.4,14.8
N20000334,NEWRY AND ARMAGH,53.5,49.4,14.8
N20000335,NEWRY AND ARMAGH,83.7,49.4,14.8
N20000336,NEWRY AND ARMAGH,65.8,49.4,14.8
N20000337,NEWRY AND ARMAGH,67.4,49.4,14.8
N20000338,NEWRY AND ARMAGH,25.7,49.4,14.8
N20000339,NEWRY AND ARMAGH,65.2,49.4,14.8
N20000340,NEWRY AND ARMAGH,32.4,49.4,14.8
N20000341,NEWRY AND ARMAGH,71.7,49.4,14.8
N20000342,NEWRY AND ARMAGH,87.8,49.4,14.8
N20000343,NEWRY AND ARMAGH,54.3,49.4,14.8
N20000344,NEWRY AND ARMAGH,55.7,49.4,14.8
N20000346,NEWRY AND ARMAGH,65.5,49.4,14.8
N20000348,NEWRY AND ARMAGH,89.1,49.4,14.8
N20000350,NEWRY AND ARMAGH,91.4,49.4,14.8
N20000351,NEWRY AND ARMAGH,87.0,49.4,14.8
N20000352,NEWRY AND ARMAGH,83.9,49.4,14.8
N20000353,NEWRY AND ARMAGH,84.9,49.4,14.8
N20000354,NEWRY AND ARMAGH,78.6,49.4,14.8
N20000355,NEWRY AND ARMAGH,94.3,49.4,14.8
N20000356,UPPER BANN,53.2,48.0,14.4
N20000357,FERMANAGH AND SOUTH TYRONE,6.5,48.3,14.5
N20000358,UPPER BANN,36.9,48.0,14.4
N20000360,UPPER BANN,47.9,48.0,14.4
N20000361,FERMANAGH AND SOUTH TYRONE,63.2,48.3,14.5
N20000362,FERMANAGH AND SOUTH TYRONE,20.3,48.3,14.5
N20000364,UPPER BANN,33.6,48.0,14.4
N20000366,UPPER BANN,23.9,48.0,14.4
N20000367,NEWRY AND ARMAGH,40.9,49.4,14.8
N20000368,UPPER BANN,15.6,48.0,14.4
N20000371,UPPER BANN,90.1,48.0,14.4
N20000372,UPPER BANN,89.6,48.0,14.4
N20000373,UPPER BANN,92.7,48.0,14.4
N20000375,UPPER BANN,85.7,48.0,14.4
N20000377,UPPER BANN,30.5,48.0,14.4
N20000378,UPPER BANN,94.0,48.0,14.4
N20000379,UPPER BANN,79.6,48.0,14.4
N20000380,UPPER BANN,72.0,48.0,14.4
N20000381,UPPER BANN,84.2,48.0,14.4
N20000382,UPPER BANN,75.1,48.0,14.4
N20000383,UPPER BANN,29.0,48.0,14.4
N20000384,UPPER BANN,11.1,48.0,14.4
N20000385,UPPER BANN,12.9,48.0,14.4
N20000386,UPPER BANN,78.3,48.0,14.4
N20000387,UPPER BANN,11.8,48.0,14.4
N20000388,UPPER BANN,11.3,48.0,14.4
N20000389,UPPER BANN,17.1,48.0,14.4
N20000390,UPPER BANN,17.8,48.0,14.4
N20000392,UPPER BANN,9.3,48.0,14.4
N20000393,UPPER BANN,25.8,48.0,14.4
N20000395,UPPER BANN,42.4,48.0,14.4
N20000396,UPPER BANN,10.6,48.0,14.4
N20000397,UPPER BANN,3.9,48.0,14.4
N20000398,UPPER BANN,31.7,48.0,14.4
N20000400,UPPER BANN,42.5,48.0,14.4
N20000401,NEWRY AND ARMAGH,69.2,49.4,14.8
N20000402,UPPER BANN,16.8,48.0,14.4
N20000403,UPPER BANN,40.7,48.0,14.4
N20000404,UPPER BANN,17.7,48.0,14.4
N20000405,UPPER BANN,29.0,48.0,14.4
N20000407,UPPER BANN,14.5,48.0,14.4
N20000408,NEWRY AND ARMAGH,20.5,49.4,14.8
N20000409,UPPER BANN,5.7,48.0,14.4
N20000410,UPPER BANN,16.4,48.0,14.4
N20000411,UPPER BANN,37.1,48.0,14.4
N20000412,UPPER BANN,20.0,48.0,14.4
N20000413,UPPER BANN,23.6,48.0,14.4
N20000414,UPPER BANN,19.0,48.0,14.4
N20000415,UPPER BANN,19.2,48.0,14.4
N20000416,NEWRY AND ARMAGH,33.3,49.4,14.8
N20000417,UPPER BANN,8.5,48.0,14.4
N20000418,NEWRY AND ARMAGH,38.1,49.4,14.8
N20000419,UPPER BANN,23.4,48.0,14.4
N20000420,UPPER BANN,18.0,48.0,14.4
N20000422,UPPER BANN,77.6,48.0,14.4
N20000423,UPPER BANN,93.0,48.0,14.4
N20000424,UPPER BANN,82.4,48.0,14.4
N20000425,UPPER BANN,78.7,48.0,14.4
N20000426,UPPER BANN,95.8,48.0,14.4
N20000427,UPPER BANN,92.9,48.0,14.4
N20000428,UPPER BANN,91.7,48.0,14.4
N20000429,UPPER BANN,91.5,48.0,14.4
N20000430,UPPER BANN,22.6,48.0,14.4
N20000431,UPPER BANN,90.7,48.0,14.4
N20000432,UPPER BANN,92.4,48.0,14.4
N20000433,UPPER BANN,61.5,48.0,14.4
N20000434,UPPER BANN,54.8,48.0,14.4
N20000435,UPPER BANN,75.7,48.0,14.4
N20000436,UPPER BANN,60.3,48.0,14.4
N20000437,UPPER BANN,55.6,48.0,14.4
N20000438,UPPER BANN,51.7,48.0,14.4
N20000439,UPPER BANN,91.5,48.0,14.4
N20000440,UPPER BANN,20.5,48.0,14.4
N20000441,UPPER BANN,70.2,48.0,14.4
N20000442,UPPER BANN,76.5,48.0,14.4
N20000443,UPPER BANN,37.1,48.0,14.4
N20000444,UPPER BANN,53.6,48.0,14.4
N20000445,UPPER BANN,65.9,48.0,14.4
N20000446,UPPER BANN,33.6,48.0,14.4
N20000447,UPPER BANN,42.8,48.0,14.4
N20000448,UPPER BANN,84.5,48.0,14.4
N20000449,UPPER BANN,79.4,48.0,14.4
N20000450,UPPER BANN,8.6,48.0,14.4
N20000451,UPPER BANN,26.1,48.0,14.4
N20000452,UPPER BANN,82.6,48.0,14.4
N20000453,UPPER BANN,81.3,48.0,14.4
N20000454,UPPER BANN,80.1,48.0,14.4
N20000455,UPPER BANN,22.8,48.0,14.4
N20000456,UPPER BANN,14.2,48.0,14.4
N20000457,UPPER BANN,14.0,48.0,14.4
N20000458,UPPER BANN,41.4,48.0,14.4
N20000459,UPPER BANN,18.4,48.0,14.4
N20000460,UPPER BANN,18.8,48.0,14.4
N20000461,UPPER BANN,16.7,48.0,14.4
N20000462,UPPER BANN,8.8,48.0,14.4
N20000463,UPPER BANN,7.3,48.0,14.4
N20000464,UPPER BANN,14.0,48.0,14.4
N20000465,UPPER BANN,47.2,48.0,14.4
N20000466,UPPER BANN,8.2,48.0,14.4
N20000467,UPPER BANN,47.2,48.0,14.4
N20000468,UPPER BANN,17.2,48.0,14.4
N20000469,UPPER BANN,10.4,48.0,14.4
N20000470,UPPER BANN,8.7,48.0,14.4
N20000472,UPPER BANN,12.8,48.0,14.4
N20000473,UPPER BANN,30.7,48.0,14.4
N20000474,UPPER BANN,15.6,48.0,14.4
N20000475,UPPER BANN,9.4,48.0,14.4
N20000476,UPPER BANN,79.7,48.0,14.4
N20000477,UPPER BANN,89.4,48.0,14.4
N20000478,UPPER BANN,80.6,48.0,14.4
N20000481,UPPER BANN,91.9,48.0,14.4
N20000482,UPPER BANN,59.9,48.0,14.4
N20000483,UPPER BANN,93.8,48.0,14.4
N20000484,UPPER BANN,93.0,48.0,14.4
N20000488,UPPER BANN,54.8,48.0,14.4
N20000489,UPPER BANN,96.6,48.0,14.4
N20000490,UPPER BANN,94.9,48.0,14.4
N20000492,UPPER BANN,96.6,48.0,14.4
N20000493,UPPER BANN,95.0,48.0,14.4
N20000494,UPPER BANN,95.6,48.0,14.4
N20000495,UPPER BANN,94.9,48.0,14.4
N20000496,UPPER BANN,87.5,48.0,14.4
N20000498,UPPER BANN,68.3,48.0,14.4
N20000500,UPPER BANN,82.0,48.0,14.4
N20000501,UPPER BANN,24.0,48.0,14.4
N20000502,UPPER BANN,31.6,48.0,14.4
N20000503,UPPER BANN,94.4,48.0,14.4
N20000504,UPPER BANN,76.8,48.0,14.4
N20000505,UPPER BANN,86.9,48.0,14.4
N20000506,UPPER BANN,78.6,48.0,14.4
N20000507,UPPER BANN,29.8,48.0,14.4
N20000508,UPPER BANN,85.0,48.0,14.4
N20000509,UPPER BANN,82.1,48.0,14.4
N20000510,UPPER BANN,12.3,48.0,14.4
N20000512,UPPER BANN,73.1,48.0,14.4
N20000513,UPPER BANN,36.5,48.0,14.4
N20000514,UPPER BANN,22.6,48.0,14.4
N20000515,UPPER BANN,36.9,48.0,14.4
N20000516,UPPER BANN,86.6,48.0,14.4
N20000517,UPPER BANN,7.0,48.0,14.4
N20000518,UPPER BANN,6.0,48.0,14.4
N20000519,UPPER BANN,14.1,48.0,14.4
N20000520,UPPER BANN,7.0,48.0,14.4
N20000521,UPPER BANN,32.8,48.0,14.4
N20000522,UPPER BANN,92.2,48.0,14.4
N20000523,UPPER BANN,13.6,48.0,14.4
N20000524,UPPER BANN,75.7,48.0,14.4
N20000526,UPPER BANN,18.2,48.0,14.4
N20000527,UPPER BANN,31.0,48.0,14.4
N20000528,UPPER BANN,93.5,48.0,14.4
N20000529,UPPER BANN,18.8,48.0,14.4
N20000530,UPPER BANN,92.7,48.0,14.4
N20000531,UPPER BANN,8.5,48.0,14.4
N20000532,UPPER BANN,87.4,48.0,14.4
N20000533,UPPER BANN,12.3,48.0,14.4
N20000534,UPPER BANN,23.0,48.0,14.4
N20000535,UPPER BANN,80.2,48.0,14.4
N20000536,UPPER BANN,82.9,48.0,14.4
N20000537,UPPER BANN,8.0,48.0,14.4
N20000538,UPPER BANN,90.1,48.0,14.4
N20000539,UPPER BANN,14.3,48.0,14.4
N20000540,UPPER BANN,20.7,48.0,14.4
N20000542,UPPER BANN,13.8,48.0,14.4
N20000543,UPPER BANN,94.4,48.0,14.4
N20000544,UPPER BANN,9.6,48.0,14.4
N20000545,UPPER BANN,7.0,48.0,14.4
N20000546,UPPER BANN,18.3,48.0,14.4
N20000547,UPPER BANN,13.4,48.0,14.4
N20000548,UPPER BANN,12.2,48.0,14.4
N20000549,UPPER BANN,8.2,48.0,14.4
N20000550,UPPER BANN,18.6,48.0,14.4
N20000551,UPPER BANN,9.2,48.0,14.4
N20000552,UPPER BANN,8.7,48.0,14.4
N20000553,UPPER BANN,11.9,48.0,14.4
N20000554,UPPER BANN,11.4,48.0,14.4
N20000555,UPPER BANN,5.1,48.0,14.4
N20000556,UPPER BANN,12.7,48.0,14.4
N20000557,UPPER BANN,6.1,48.0,14.4
N20000558,UPPER BANN,9.9,48.0,14.4
N20000559,UPPER BANN,5.9,48.0,14.4
