DZ21,ten_owner,ten_social,ten_private
N20001640,0.807,0.044,0.148
N20001641,0.812,0.069,0.119
N20001642,0.354,0.399,0.247
N20001643,0.815,0.048,0.137
N20001644,0.73,0.043,0.228
N20001645,0.737,0.062,0.201
N20001646,0.664,0.136,0.2
N20001647,0.728,0.12,0.152
N20001648,0.881,0.008,0.111
N20001649,0.785,0.118,0.097
N20001650,0.796,0.102,0.102
N20001651,0.569,0.167,0.264
N20001652,0.74,0.106,0.154
N20001653,0.834,0.0,0.166
N20001654,0.357,0.452,0.191
N20001655,0.807,0.018,0.175
N20001656,0.729,0.018,0.254
N20001657,0.614,0.014,0.371
N20001658,0.831,0.046,0.123
N20001659,0.578,0.121,0.302
N20001660,0.695,0.027,0.278
N20001661,0.459,0.145,0.395
N20001662,0.284,0.56,0.155
N20001663,0.376,0.451,0.173
N20001664,0.653,0.193,0.153
N20001665,0.733,0.058,0.209
N20001666,0.76,0.098,0.142
N20001667,0.71,0.097,0.193
N20001668,0.81,0.035,0.156
N20001669,0.574,0.21,0.215
N20001670,0.853,0.054,0.093
N20001671,0.492,0.316,0.192
N20001672,0.668,0.203,0.129
N20001673,0.834,0.051,0.115
N20001674,0.838,0.066,0.096
N20001675,0.818,0.019,0.164
N20001676,0.77,0.103,0.127
N20001677,0.544,0.141,0.315
N20001678,0.832,0.022,0.147
N20001679,0.683,0.144,0.173
N20001680,0.793,0.028,0.18
N20001681,0.645,0.148,0.208
N20001682,0.599,0.12,0.281
N20001683,0.828,0.063,0.108
N20001684,0.832,0.012,0.156
N20001685,0.81,0.079,0.111
N20001686,0.895,0.004,0.102
N20001687,0.59,0.106,0.304
N20001688,0.69,0.024,0.286
N20001689,0.808,0.0,0.192
N20001690,0.609,0.115,0.276
N20001691,0.704,0.106,0.19
N20001692,0.837,0.012,0.151
N20001693,0.292,0.556,0.152
N20001694,0.389,0.174,0.438
N20001695,0.399,0.419,0.182
N20001696,0.801,0.004,0.195
N20001697,0.8,0.005,0.195
N20001698,0.305,0.082,0.613
N20001699,0.734,0.03,0.236
N20001700,0.251,0.474,0.275
N20001701,0.078,0.819,0.104
N20001702,0.663,0.071,0.266
N20001703,0.349,0.425,0.226
N20001704,0.617,0.182,0.201
N20001705,0.815,0.079,0.106
N20001706,0.628,0.147,0.225
N20001707,0.481,0.351,0.168
N20001708,0.76,0.0,0.24
N20001709,0.702,0.0,0.298
N20001710,0.835,0.007,0.158
N20001711,0.902,0.0,0.098
N20001712,0.788,0.067,0.145
N20001713,0.73,0.045,0.225
N20001714,0.847,0.007,0.147
N20001715,0.834,0.014,0.152
N20001716,0.866,0.032,0.102
N20001717,0.794,0.15,0.056
N20001718,0.545,0.306,0.149
N20001719,0.754,0.104,0.142
N20001720,0.84,0.043,0.117
N20001721,0.69,0.082,0.229
N20001722,0.937,0.024,0.04
N20001723,0.601,0.153,0.247
N20001724,0.685,0.049,0.266
N20001725,0.903,0.005,0.092
N20001726,0.854,0.033,0.113
N20001727,0.875,0.016,0.109
N20001728,0.48,0.347,0.173
N20001729,0.581,0.148,0.271
N20001730,0.83,0.02,0.15
N20001731,0.838,0.022,0.14
N20001732,0.361,0.105,0.534
N20001733,0.937,0.0,0.063
N20001734,0.427,0.452,0.121
N20001735,0.646,0.062,0.292
N20001736,0.488,0.256,0.256
N20001737,0.46,0.373,0.168
N20001738,0.583,0.133,0.283
N20001739,0.614,0.254,0.132
N20001740,0.718,0.063,0.218
N20001741,0.209,0.592,0.199
N20001742,0.457,0.426,0.117
N20001743,0.026,0.161,0.813
N20001744,0.29,0.609,0.101
N20001745,0.268,0.465,0.268
N20001746,0.5,0.305,0.195
N20001747,0.291,0.582,0.127
N20001748,0.46,0.146,0.394
N20001749,0.145,0.764,0.091
N20001750,0.077,0.68,0.243
N20001751,0.373,0.332,0.295
N20001752,0.121,0.78,0.098
N20001753,0.488,0.385,0.127
N20001754,0.203,0.614,0.183
N20001755,0.282,0.617,0.102
N20001756,0.066,0.419,0.515
N20001757,0.13,0.804,0.065
N20001758,0.312,0.534,0.154
N20001759,0.224,0.668,0.107
N20001760,0.335,0.524,0.142
N20001761,0.404,0.153,0.443
N20001762,0.444,0.408,0.148
N20001763,0.073,0.798,0.13
N20001764,0.549,0.198,0.253
N20001765,0.436,0.441,0.123
N20001766,0.201,0.598,0.201
N20001767,0.78,0.075,0.146
N20001768,0.533,0.319,0.148
N20001769,0.918,0.009,0.073
N20001770,0.324,0.529,0.148
N20001771,0.94,0.0,0.06
N20001772,0.909,0.011,0.08
N20001773,0.314,0.525,0.162
N20001774,0.256,0.623,0.121
N20001775,0.333,0.408,0.259
N20001776,0.9,0.014,0.086
N20001777,0.82,0.027,0.153
N20001778,0.894,0.005,0.101
N20001779,0.224,0.68,0.097
N20001780,0.627,0.224,0.149
N20001781,0.648,0.185,0.167
N20001782,0.161,0.795,0.045
N20001783,0.882,0.0,0.118
N20001784,0.5,0.095,0.405
N20001785,0.847,0.011,0.143
N20001786,0.055,0.865,0.08
N20001787,0.363,0.476,0.161
N20001788,0.888,0.004,0.108
N20001789,0.237,0.428,0.335
N20001790,0.589,0.033,0.378
N20001791,0.437,0.21,0.353
N20001792,0.944,0.009,0.047
N20001793,0.18,0.393,0.427
N20001794,0.282,0.225,0.493
N20001795,0.521,0.167,0.312
N20001796,0.528,0.255,0.216
N20001797,0.244,0.07,0.687
N20001798,0.199,0.349,0.452
N20001799,0.401,0.097,0.502
N20001800,0.457,0.099,0.444
N20001801,0.245,0.027,0.729
N20001802,0.074,0.579,0.347
N20001803,0.899,0.013,0.088
N20001804,0.884,0.007,0.109
N20001805,0.912,0.004,0.083
N20001806,0.866,0.004,0.13
N20001807,0.925,0.005,0.07
N20001808,0.054,0.031,0.915
N20001809,0.159,0.771,0.07
N20001810,0.74,0.015,0.245
N20001811,0.022,0.948,0.03
N20001812,0.782,0.048,0.17
N20001813,0.041,0.928,0.032
N20001814,0.754,0.011,0.235
N20001815,0.039,0.9,0.061
N20001816,0.751,0.015,0.234
N20001817,0.193,0.7,0.107
N20001818,0.042,0.905,0.054
N20001819,0.433,0.482,0.085
N20001820,0.898,0.034,0.068
N20001821,0.347,0.591,0.062
N20001822,0.301,0.612,0.087
N20001823,0.037,0.883,0.08
N20001824,0.99,0.0,0.01
N20001825,0.252,0.622,0.126
N20001826,0.259,0.642,0.099
N20001827,0.277,0.607,0.116
N20001828,0.072,0.856,0.072
N20001829,0.385,0.512,0.102
N20001830,0.281,0.547,0.172
N20001831,0.296,0.571,0.133
N20001832,0.189,0.704,0.107
N20001833,0.315,0.339,0.345
N20001834,0.904,0.0,0.096
N20001835,0.275,0.626,0.099
N20001836,0.438,0.412,0.151
N20001837,0.302,0.556,0.143
N20001838,0.313,0.512,0.175
N20001839,0.82,0.007,0.173
N20001840,0.852,0.022,0.126
N20001841,0.266,0.586,0.148
N20001842,0.452,0.429,0.119
N20001843,0.452,0.311,0.237
N20001844,0.871,0.012,0.118
N20001845,0.517,0.323,0.16
N20001846,0.559,0.276,0.164
N20001847,0.62,0.185,0.196
N20001848,0.519,0.307,0.174
N20001849,0.888,0.0,0.112
N20001850,0.917,0.0,0.083
N20001851,0.693,0.021,0.286
N20001852,0.751,0.107,0.142
N20001853,0.244,0.567,0.189
N20001854,0.808,0.009,0.182
N20001855,0.747,0.011,0.242
N20001856,0.283,0.567,0.15
N20001857,0.264,0.59,0.146
N20001858,0.663,0.006,0.331
N20001859,0.533,0.042,0.425
N20001860,0.586,0.339,0.075
N20001861,0.527,0.02,0.453
N20001862,0.792,0.012,0.197
N20001863,0.484,0.276,0.24
N20001864,0.201,0.687,0.112
N20001865,0.556,0.009,0.436
N20001866,0.374,0.068,0.558
N20001867,0.648,0.0,0.352
N20001868,0.441,0.446,0.113
N20001869,0.397,0.366,0.237
N20001870,0.105,0.494,0.401
N20001871,0.835,0.008,0.157
N20001872,0.84,0.009,0.151
N20001873,0.726,0.03,0.244
N20001874,0.385,0.13,0.486
N20001875,0.746,0.004,0.251
N20001876,0.57,0.245,0.186
N20001877,0.31,0.108,0.582
N20001878,0.749,0.045,0.207
N20001879,0.83,0.0,0.17
N20001880,0.414,0.253,0.333
N20001881,0.541,0.07,0.389
N20001882,0.452,0.142,0.406
N20001883,0.277,0.101,0.622
N20001884,0.71,0.007,0.283
N20001885,0.468,0.392,0.141
N20001886,0.266,0.652,0.082
N20001887,0.32,0.421,0.259
N20001888,0.774,0.008,0.218
N20001889,0.774,0.021,0.205
N20001890,0.438,0.311,0.251
N20001891,0.704,0.009,0.287
N20001892,0.269,0.583,0.148
N20001893,0.564,0.215,0.221
N20001894,0.639,0.017,0.344
N20001895,0.897,0.004,0.099
N20001896,0.895,0.03,0.075
N20001897,0.869,0.006,0.125
N20001898,0.856,0.05,0.094
N20001899,0.926,0.005,0.069
N20001900,0.935,0.0,0.065
N20001901,0.813,0.01,0.177
N20001902,0.765,0.0,0.235
N20001903,0.406,0.432,0.161
N20001904,0.863,0.005,0.133
N20001905,0.317,0.528,0.156
N20001906,0.259,0.529,0.212
N20001907,0.842,0.013,0.145
N20001908,0.807,0.028,0.166
N20001909,0.241,0.586,0.173
N20001910,0.652,0.196,0.152
N20001911,0.341,0.075,0.584
N20001912,0.545,0.27,0.185
N20001913,0.718,0.153,0.129
N20001914,0.398,0.412,0.19
N20001915,0.78,0.121,0.099
N20001916,0.655,0.074,0.27
N20001917,0.905,0.021,0.074
N20001918,0.842,0.025,0.133
N20001919,0.771,0.024,0.204
N20001920,0.851,0.074,0.074
N20001921,0.776,0.099,0.126
N20001922,0.843,0.038,0.119
N20001923,0.874,0.005,0.121
N20001924,0.625,0.19,0.185
N20001925,0.907,0.005,0.088
N20001926,0.933,0.0,0.067
N20001927,0.825,0.042,0.133
N20001928,0.882,0.0,0.118
N20001929,0.887,0.012,0.101
N20001930,0.695,0.102,0.203
N20001931,0.615,0.231,0.154
N20001932,0.915,0.009,0.076
N20001933,0.536,0.234,0.23
N20001934,0.684,0.064,0.252
N20001935,0.835,0.028,0.137
N20001936,0.794,0.034,0.172
N20001937,0.847,0.053,0.1
N20001938,0.808,0.007,0.185
N20001939,0.611,0.111,0.278
N20001940,0.713,0.157,0.13
N20001941,0.893,0.02,0.087
N20001942,0.748,0.01,0.243
N20001943,0.492,0.225,0.283
N20001944,0.552,0.253,0.195
N20001945,0.837,0.021,0.142
N20001946,0.656,0.142,0.201
N20001947,0.741,0.104,0.156
N20001948,0.842,0.025,0.133
N20001949,0.842,0.031,0.127
N20001950,0.826,0.073,0.101
N20001951,0.825,0.023,0.152
N20001952,0.403,0.355,0.242
N20001953,0.68,0.089,0.231
N20001954,0.869,0.014,0.118
N20001955,0.817,0.004,0.179
N20001956,0.898,0.0,0.102
N20001957,0.481,0.241,0.278
N20001958,0.5,0.254,0.246
N20001959,0.855,0.027,0.118
N20001960,0.776,0.006,0.217
N20001961,0.808,0.032,0.16
N20001962,0.753,0.005,0.242
N20001963,0.653,0.174,0.174
N20001964,0.721,0.014,0.264
N20001965,0.29,0.071,0.639
N20001966,0.784,0.035,0.182
N20001967,0.668,0.023,0.308
N20001968,0.718,0.085,0.197
N20001969,0.267,0.342,0.391
N20001970,0.764,0.031,0.205
N20001971,0.856,0.037,0.107
N20001972,0.228,0.35,0.422
N20001973,0.152,0.657,0.191
N20001974,0.736,0.096,0.169
N20001975,0.386,0.446,0.168
N20001976,0.527,0.24,0.233
N20001977,0.355,0.429,0.216
N20001978,0.455,0.312,0.233
N20001979,0.478,0.264,0.259
N20001980,0.608,0.181,0.211
N20001981,0.794,0.064,0.142
N20001982,0.269,0.57,0.161
N20001983,0.411,0.411,0.179
N20001984,0.248,0.54,0.213
N20001985,0.246,0.371,0.383
N20001986,0.857,0.004,0.139
N20001987,0.822,0.004,0.175
N20001988,0.854,0.029,0.117
N20001989,0.867,0.017,0.117
N20001990,0.87,0.022,0.108
N20001991,0.796,0.036,0.168
N20001992,0.714,0.136,0.149
N20001993,0.481,0.315,0.204
N20001994,0.792,0.022,0.185
N20001995,0.742,0.049,0.209
N20001996,0.506,0.018,0.476
N20001997,0.85,0.0,0.15
N20001998,0.627,0.048,0.325
N20001999,0.674,0.132,0.194
N20002000,0.552,0.205,0.243
N20002001,0.58,0.306,0.114
N20002002,0.419,0.111,0.47
N20002003,0.315,0.515,0.169
N20002004,0.591,0.228,0.181
N20002005,0.81,0.031,0.159
N20002006,0.878,0.026,0.097
N20002007,0.576,0.245,0.18
N20002008,0.875,0.004,0.121
N20002009,0.421,0.257,0.322
N20002010,0.392,0.44,0.167
N20002011,0.508,0.324,0.168
N20002012,0.349,0.392,0.259
N20002013,0.542,0.174,0.285
N20002014,0.702,0.076,0.222
N20002015,0.791,0.015,0.194
N20002016,0.427,0.159,0.414
N20002017,0.722,0.042,0.236
N20002018,0.623,0.007,0.37
N20002019,0.886,0.006,0.108
N20002020,0.375,0.384,0.241
N20002021,0.413,0.199,0.388
N20002022,0.766,0.02,0.215
N20002023,0.883,0.005,0.112
N20002024,0.833,0.034,0.133
N20002025,0.816,0.012,0.172
N20002026,0.867,0.036,0.097
N20002027,0.542,0.201,0.257
N20002028,0.845,0.015,0.14
N20002029,0.835,0.009,0.156
N20002030,0.86,0.0,0.14
N20002031,0.866,0.004,0.13
N20002032,0.884,0.0,0.116
N20002033,0.892,0.0,0.108
N20002034,0.642,0.182,0.176
N20002035,0.567,0.155,0.278
N20002036,0.658,0.114,0.228
N20002037,0.798,0.028,0.174
N20002038,0.877,0.0,0.123
N20002039,0.878,0.008,0.114
N20002040,0.718,0.024,0.258
N20002041,0.791,0.019,0.19
N20002042,0.323,0.426,0.251
N20002043,0.414,0.232,0.354
N20002044,0.865,0.042,0.094
N20002045,0.377,0.349,0.274
N20002046,0.775,0.019,0.205
N20002047,0.676,0.006,0.318
N20002048,0.846,0.042,0.112
N20002049,0.539,0.228,0.233
N20002050,0.852,0.006,0.142
N20002051,0.801,0.023,0.176
N20002052,0.822,0.042,0.136
N20002053,0.626,0.156,0.218
N20002054,0.332,0.317,0.351
N20002055,0.799,0.037,0.164
N20002056,0.799,0.016,0.185
N20002057,0.845,0.008,0.147
N20002058,0.849,0.0,0.151
N20002059,0.64,0.084,0.275
N20002060,0.635,0.148,0.217
N20002061,0.847,0.003,0.15
N20002062,0.812,0.005,0.183
N20002063,0.829,0.028,0.143
N20002064,0.916,0.0,0.084
N20002065,0.844,0.03,0.125
N20002066,0.736,0.078,0.185
N20002067,0.825,0.016,0.158
N20002068,0.714,0.114,0.171
N20002069,0.807,0.015,0.178
N20002070,0.8,0.012,0.188
N20002071,0.796,0.05,0.154
N20002072,0.835,0.0,0.165
N20002073,0.833,0.012,0.155
N20002074,0.863,0.0,0.138
N20002075,0.787,0.032,0.181
N20002076,0.808,0.005,0.187
N20002077,0.604,0.134,0.261
N20002078,0.852,0.006,0.142
N20002079,0.832,0.012,0.156
N20002080,0.81,0.006,0.184
N20002081,0.81,0.005,0.186
N20002082,0.861,0.0,0.139
N20002083,0.844,0.0,0.156
N20002084,0.863,0.02,0.118
N20002085,0.888,0.02,0.092
N20002086,0.392,0.455,0.154
N20002087,0.612,0.009,0.379
N20002088,0.722,0.102,0.176
N20002089,0.363,0.507,0.13
N20002090,0.787,0.011,0.202
N20002091,0.561,0.209,0.23
N20002092,0.438,0.229,0.333
N20002093,0.657,0.053,0.29
N20002094,0.742,0.008,0.25
N20002095,0.579,0.171,0.25
N20002096,0.382,0.277,0.34
N20002097,0.711,0.112,0.178
N20002098,0.346,0.201,0.454
N20002099,0.885,0.006,0.109
N20002100,0.876,0.005,0.118
N20002101,0.422,0.216,0.362
N20002102,0.46,0.14,0.4
N20002103,0.447,0.246,0.307
N20002104,0.611,0.027,0.362
N20002105,0.277,0.283,0.439
N20002106,0.386,0.433,0.181
N20002107,0.113,0.35,0.538
N20002108,0.585,0.13,0.285
N20002109,0.871,0.018,0.11
N20002110,0.575,0.157,0.268
N20002111,0.889,0.014,0.097
N20002112,0.761,0.0,0.239
N20002113,0.882,0.0,0.118
N20002114,0.759,0.019,0.222
N20002115,0.863,0.0,0.137
N20002116,0.442,0.358,0.199
N20002117,0.701,0.113,0.186
N20002118,0.824,0.033,0.144
N20002119,0.618,0.077,0.304
N20002120,0.721,0.05,0.23
N20002121,0.823,0.009,0.168
N20002122,0.844,0.004,0.152
N20002123,0.781,0.028,0.191
N20002124,0.569,0.202,0.23
N20002125,0.847,0.015,0.138
N20002126,0.56,0.198,0.243
N20002127,0.732,0.004,0.264
N20002128,0.8,0.006,0.194
N20002129,0.863,0.009,0.128
N20002130,0.874,0.013,0.113
N20002131,0.462,0.344,0.195
N20002132,0.747,0.006,0.247
N20002133,0.63,0.014,0.355
N20002134,0.486,0.223,0.291
N20002135,0.805,0.06,0.134
N20002136,0.207,0.595,0.198
N20002137,0.694,0.017,0.288
N20002138,0.312,0.422,0.266
N20002139,0.896,0.004,0.1
N20002140,0.657,0.164,0.179
N20002141,0.711,0.052,0.237
N20002142,0.857,0.02,0.122
N20002143,0.853,0.005,0.142
N20002144,0.858,0.009,0.133
N20002145,0.874,0.0,0.126
N20002146,0.545,0.23,0.225
N20002147,0.814,0.0,0.186
N20002148,0.868,0.0,0.132
N20002149,0.35,0.355,0.294
N20002150,0.869,0.015,0.117
N20002151,0.878,0.01,0.112
N20002152,0.676,0.11,0.214
N20002153,0.869,0.005,0.126
N20002154,0.535,0.209,0.256
N20002155,0.856,0.005,0.139
N20002156,0.875,0.01,0.115
N20002157,0.901,0.0,0.099
N20002158,0.812,0.022,0.167
N20002159,0.812,0.045,0.143
N20002160,0.804,0.008,0.188
N20002161,0.848,0.018,0.135
N20002162,0.804,0.026,0.17
N20002163,0.785,0.056,0.16
N20002164,0.79,0.007,0.203
N20002165,0.898,0.0,0.102
N20002166,0.537,0.174,0.289
N20002167,0.323,0.431,0.246
N20002168,0.851,0.012,0.137
N20002169,0.616,0.099,0.285
N20002170,0.295,0.384,0.321
N20002171,0.547,0.197,0.256
N20002172,0.395,0.198,0.407
N20002173,0.848,0.01,0.141
N20002174,0.851,0.018,0.131
N20002175,0.875,0.0,0.125
N20002176,0.834,0.0,0.166
N20002177,0.848,0.0,0.152
N20002178,0.688,0.101,0.211
N20002179,0.854,0.035,0.111
N20002180,0.815,0.005,0.18
N20002181,0.579,0.031,0.39
N20002182,0.73,0.013,0.257
N20002183,0.188,0.616,0.196
N20002184,0.222,0.477,0.301
N20002185,0.475,0.231,0.294
N20002186,0.754,0.023,0.223
N20002187,0.766,0.0,0.234
N20002188,0.383,0.267,0.35
N20002189,0.826,0.008,0.167
N20002190,0.518,0.118,0.364
N20002191,0.329,0.431,0.24
N20002192,0.354,0.286,0.361
N20002193,0.672,0.038,0.291
N20002194,0.388,0.393,0.219
N20002195,0.198,0.042,0.759
N20002196,0.816,0.039,0.145
N20002197,0.405,0.324,0.272
N20002198,0.234,0.252,0.514
N20002199,0.27,0.129,0.601
N20002200,0.416,0.185,0.399
N20002201,0.862,0.0,0.138
N20002202,0.471,0.272,0.257
N20002203,0.566,0.308,0.126
N20002204,0.366,0.291,0.343
N20002205,0.348,0.292,0.36
N20002206,0.391,0.16,0.449
N20002207,0.465,0.283,0.251
N20002208,0.477,0.167,0.356
N20002209,0.821,0.006,0.173
N20002210,0.742,0.011,0.247
N20002211,0.76,0.013,0.227
N20002212,0.277,0.41,0.313
N20002213,0.597,0.017,0.385
N20002214,0.687,0.0,0.313
N20002215,0.497,0.071,0.431
N20002216,0.717,0.094,0.189
N20002217,0.902,0.0,0.098
N20002218,0.709,0.026,0.265
N20002219,0.694,0.018,0.288
N20002220,0.809,0.027,0.165
N20002221,0.837,0.02,0.143
N20002222,0.584,0.104,0.312
N20002223,0.698,0.099,0.203
N20002224,0.905,0.0,0.095
N20002225,0.743,0.006,0.251
N20002226,0.93,0.0,0.07
N20002227,0.932,0.0,0.068
N20002228,0.889,0.006,0.105
N20002229,0.743,0.059,0.197
N20002230,0.853,0.033,0.113
N20002231,0.855,0.0,0.145
N20002232,0.893,0.013,0.093
N20002233,0.655,0.084,0.261
N20002234,0.86,0.0,0.14
N20002235,0.767,0.0,0.233
N20002236,0.551,0.035,0.414
N20002237,0.723,0.051,0.226
N20002238,0.669,0.012,0.319
N20002239,0.93,0.0,0.07
N20002240,0.894,0.005,0.101
N20002241,0.594,0.18,0.226
N20002242,0.8,0.114,0.086
N20002243,0.825,0.0,0.175
N20002244,0.629,0.081,0.29
N20002245,0.806,0.016,0.179
N20002246,0.824,0.021,0.154
N20002247,0.467,0.125,0.408
N20002248,0.847,0.024,0.129
N20002249,0.866,0.005,0.129
N20002250,0.846,0.016,0.137
N20002251,0.826,0.064,0.11
N20002252,0.422,0.236,0.342
N20002253,0.628,0.019,0.353
N20002254,0.697,0.018,0.285
N20002255,0.408,0.369,0.223
N20002256,0.838,0.02,0.141
N20002257,0.86,0.045,0.094
N20002258,0.74,0.148,0.112
N20002259,0.933,0.0,0.067
N20002260,0.846,0.095,0.059
N20002261,0.89,0.0,0.11
N20002262,0.915,0.005,0.08
N20002263,0.596,0.127,0.276
N20002264,0.915,0.005,0.08
N20002265,0.468,0.17,0.362
N20002266,0.912,0.0,0.088
N20002267,0.561,0.122,0.317
N20002268,0.874,0.011,0.116
N20002269,0.606,0.182,0.212
N20002270,0.631,0.123,0.246
N20002271,0.914,0.006,0.08
N20002272,0.766,0.004,0.23
N20002273,0.872,0.0,0.128
N20002274,0.882,0.0,0.118
N20002275,0.902,0.0,0.098
N20002276,0.904,0.023,0.073
N20002277,0.892,0.033,0.075
N20002278,0.849,0.081,0.07
N20002279,0.71,0.007,0.283
N20002280,0.92,0.006,0.074
N20002281,0.852,0.007,0.141
N20002282,0.63,0.216,0.154
N20002283,0.526,0.241,0.233
N20002284,0.892,0.0,0.108
N20002285,0.864,0.009,0.126
N20002286,0.956,0.0,0.044
N20002287,0.858,0.03,0.112
N20002288,0.865,0.003,0.131
N20002289,0.887,0.017,0.096
N20002290,0.892,0.006,0.102
N20002291,0.592,0.191,0.217
N20002292,0.829,0.071,0.1
N20002293,0.885,0.018,0.097
N20002294,0.909,0.005,0.086
N20002295,0.888,0.018,0.094
N20002296,0.89,0.008,0.102
N20002297,0.891,0.023,0.086
N20002298,0.953,0.006,0.041
N20002299,0.938,0.006,0.056
N20002300,0.842,0.03,0.129
N20002301,0.908,0.008,0.085
N20002302,0.908,0.017,0.075
N20002303,0.859,0.01,0.131
N20002304,0.806,0.045,0.148
N20002305,0.96,0.0,0.04
N20002306,0.806,0.009,0.185
N20002307,0.975,0.008,0.017
N20002308,0.841,0.02,0.139
N20002309,0.868,0.009,0.124
N20002310,0.971,0.004,0.025
N20002311,0.882,0.013,0.105
N20002312,0.837,0.047,0.116
N20002313,0.915,0.005,0.08
N20002314,0.763,0.018,0.219
N20002315,0.689,0.132,0.179
N20002316,0.719,0.137,0.144
N20002317,0.893,0.0,0.107
N20002318,0.869,0.025,0.107
N20002319,0.796,0.04,0.164
N20002320,0.957,0.0,0.043
N20002321,0.922,0.0,0.078
N20002322,0.959,0.0,0.041
N20002323,0.883,0.015,0.102
N20002324,0.887,0.024,0.089
N20002325,0.871,0.056,0.073
N20002326,0.938,0.01,0.052
N20002327,0.903,0.013,0.084
N20002328,0.926,0.0,0.074
N20002329,0.433,0.486,0.082
N20002330,0.884,0.0,0.116
N20002331,0.025,0.917,0.058
N20002332,0.586,0.281,0.133
N20002333,0.898,0.0,0.102
N20002334,0.17,0.748,0.081
N20002335,0.023,0.925,0.052
N20002336,0.898,0.009,0.093
N20002337,0.91,0.0,0.09
N20002338,0.957,0.0,0.043
N20002339,0.887,0.006,0.107
N20002340,0.295,0.566,0.139
N20002341,0.608,0.288,0.104
N20002342,0.892,0.052,0.056
N20002343,0.893,0.0,0.107
N20002344,0.925,0.004,0.071
N20002345,0.393,0.437,0.169
N20002346,0.68,0.014,0.306
N20002347,0.426,0.434,0.14
N20002348,0.71,0.176,0.114
N20002349,0.914,0.014,0.072
N20002350,0.789,0.019,0.192
N20002351,0.692,0.117,0.192
N20002352,0.769,0.078,0.153
N20002353,0.714,0.115,0.172
N20002354,0.42,0.408,0.172
N20002355,0.548,0.317,0.135
N20002356,0.42,0.305,0.274
N20002357,0.741,0.093,0.167
N20002358,0.786,0.013,0.201
N20002359,0.248,0.624,0.128
N20002360,0.82,0.005,0.175
N20002361,0.47,0.409,0.121
N20002362,0.5,0.257,0.243
N20002363,0.498,0.257,0.245
N20002364,0.447,0.388,0.165
N20002365,0.263,0.669,0.068
N20002366,0.602,0.146,0.252
N20002367,0.634,0.215,0.152
N20002368,0.178,0.699,0.123
N20002369,0.667,0.058,0.276
N20002370,0.32,0.594,0.086
N20002371,0.174,0.681,0.145
N20002372,0.861,0.0,0.139
N20002373,0.374,0.483,0.143
N20002374,0.265,0.637,0.098
N20002375,0.391,0.497,0.113
N20002376,0.221,0.616,0.163
N20002377,0.884,0.012,0.104
N20002378,0.918,0.025,0.057
N20002379,0.436,0.398,0.166
N20002380,0.425,0.425,0.151
N20002381,0.652,0.245,0.103
N20002382,0.594,0.264,0.142
N20002383,0.159,0.54,0.302
N20002384,0.505,0.37,0.125
N20002385,0.924,0.004,0.072
N20002386,0.629,0.262,0.109
N20002387,0.524,0.21,0.266
N20002388,0.297,0.552,0.151
N20002389,0.735,0.0,0.265
N20002390,0.955,0.012,0.033
N20002391,0.905,0.0,0.095
N20002392,0.968,0.0,0.032
N20002393,0.908,0.0,0.092
N20002394,0.579,0.288,0.133
N20002395,0.935,0.018,0.048
N20002396,0.931,0.0,0.069
N20002397,0.684,0.101,0.215
N20002398,0.537,0.287,0.177
N20002399,0.94,0.0,0.06
N20002400,0.676,0.135,0.189
N20002401,0.667,0.214,0.119
N20002402,0.661,0.011,0.328
N20002403,0.82,0.024,0.156
N20002404,0.714,0.009,0.278
N20002405,0.815,0.015,0.17
N20002406,0.928,0.005,0.068
N20002407,0.688,0.156,0.156
N20002408,0.934,0.012,0.053
N20002409,0.327,0.597,0.077
N20002410,0.86,0.0,0.14
N20002411,0.541,0.21,0.249
N20002412,0.698,0.196,0.106
N20002413,0.757,0.029,0.213
N20002414,0.554,0.181,0.265
N20002415,0.521,0.273,0.206
N20002416,0.856,0.011,0.134
N20002417,0.908,0.005,0.087
N20002418,0.502,0.116,0.382
N20002419,0.504,0.007,0.489
N20002420,0.54,0.272,0.187
N20002421,0.164,0.532,0.303
N20002422,0.321,0.43,0.248
N20002423,0.441,0.401,0.158
N20002424,0.915,0.0,0.085
N20002425,0.879,0.065,0.056
N20002426,0.866,0.0,0.134
N20002427,0.807,0.106,0.087
N20002428,0.725,0.059,0.216
N20002429,0.45,0.446,0.104
N20002430,0.925,0.025,0.05
N20002431,0.395,0.455,0.15
N20002432,0.242,0.564,0.194
N20002433,0.937,0.0,0.063
N20002434,0.7,0.225,0.075
N20002435,0.884,0.0,0.116
N20002436,0.912,0.005,0.083
N20002437,0.918,0.012,0.07
N20002438,0.881,0.0,0.119
N20002439,0.892,0.011,0.097
N20002440,0.78,0.139,0.081
N20002441,0.92,0.0,0.08
N20002442,0.916,0.0,0.084
N20002443,0.963,0.0,0.037
N20002444,0.896,0.005,0.099
N20002445,0.864,0.019,0.117
N20002446,0.898,0.0,0.102
N20002447,0.91,0.032,0.059
N20002448,0.785,0.09,0.125
N20002449,0.952,0.01,0.038
N20002450,0.924,0.005,0.071
N20002451,0.838,0.018,0.145
N20002452,0.956,0.005,0.038
N20002453,0.871,0.0,0.129
N20002454,0.667,0.067,0.267
N20002455,0.743,0.061,0.196
N20002456,0.754,0.109,0.137
N20002457,0.815,0.0,0.185
N20002458,0.953,0.0,0.047
N20002459,0.866,0.005,0.13
N20002460,0.667,0.016,0.318
N20002461,0.726,0.111,0.163
