id,title,provider,bestMatchScore,bestMatchCandidateTitle,titleJaccard,autoDecision,reason
already-on-site-review:539,Community-Scale River Flood Extents - High-End Future Scenario,data.gov.ie,0.43,NIFM River Flood Extents ? Current Scenario,0.364,escalate,"partial title overlap (jaccard 0.36) in ""hold-low-confidence-variant-review"" — signals ambiguous"
already-on-site-review:540,Community-Scale River Flood Extents - Mid-Range Future Scenario,data.gov.ie,0.43,NIFM River Flood Extents ? Current Scenario,0.364,escalate,"partial title overlap (jaccard 0.36) in ""hold-low-confidence-variant-review"" — signals ambiguous"
already-on-site-review:867,Parks,data.gov.ie,0.43,Skateboard Parks (DCC),0.333,escalate,"partial title overlap (jaccard 0.33) in ""hold-low-confidence-variant-review"" — signals ambiguous"
already-on-site-review:503,Wexford Fire Stations,data.gov.ie,0.43,Fire Stations (DCC),0.500,escalate,"partial title overlap (jaccard 0.50) in ""hold-low-confidence-variant-review"" — signals ambiguous"
already-on-site-review:1091,National Coastal Flood Depths 2021 - High End Future Scenario,data.gov.ie,0.43,National Coastal Flood Extents 2021 ? Current Scenario,0.400,escalate,"partial title overlap (jaccard 0.40) in ""hold-low-confidence-variant-review"" — signals ambiguous"
already-on-site-review:1094,National Coastal Flood Depths 2021 - Mid-Range Future Scenario,data.gov.ie,0.43,National Coastal Flood Extents 2021 ? Current Scenario,0.400,escalate,"partial title overlap (jaccard 0.40) in ""hold-low-confidence-variant-review"" — signals ambiguous"
already-on-site-review:303,Accessible Parking Spaces SDCC,data.gov.ie,0.42,Bicycle Parking Stands (SDCC),0.333,escalate,"partial title overlap (jaccard 0.33) in ""hold-low-confidence-variant-review"" — signals ambiguous"
already-on-site-review:802,Community-Scale Flood Model Nodes - Current Scenario,data.gov.ie,0.42,National Coastal Flood Extents 2021 ? Current Scenario,0.300,escalate,"partial title overlap (jaccard 0.30) in ""hold-low-confidence-variant-review"" — signals ambiguous"
already-on-site-review:270,Northern Ireland River Segments,Open Data NI,0.42,NIEA River Segments,0.400,escalate,"partial title overlap (jaccard 0.40) in ""hold-low-confidence-variant-review"" — signals ambiguous"
already-on-site-review:276,River and Lake Monitoring Points 2024,Open Data NI,0.42,WFD River & Lake Monitoring Sites ? 2nd Cycle,0.375,escalate,"partial title overlap (jaccard 0.38) in ""hold-low-confidence-variant-review"" — signals ambiguous"
already-on-site-review:700,Water Framework Directive 2nd Cycle Interim Status,Open Data NI,0.41,WFD River Water Bodies ? 2nd Cycle,0.300,escalate,"partial title overlap (jaccard 0.30) in ""hold-low-confidence-variant-review"" — signals ambiguous"
already-on-site-review:1085,INSPIRE Water Framework Directive Register of Protected Areas - Groundwater bodies for Drinking Water,data.gov.ie,0.41,Groundwater Drinking-Water Protected Areas (DWPAs),0.455,escalate,"partial title overlap (jaccard 0.45) in ""hold-context-overlap"" — signals ambiguous"
already-on-site-review:787,"Bedrock Boreholes 1:100,000 Ireland (ROI) ITM (Unverified)",data.gov.ie,0.40,"Bedrock Boreholes 1:50,000 (ROI)",0.500,escalate,"partial title overlap (jaccard 0.50) in ""hold-low-confidence-variant-review"" — signals ambiguous"
already-on-site-review:766,GDA Cycle Network Survey 2013,data.gov.ie,0.40,Belfast Cycle Network,0.400,escalate,"partial title overlap (jaccard 0.40) in ""hold-low-confidence-variant-review"" — signals ambiguous"
already-on-site-review:1092,National Coastal Flood Depths 2021 - High+ End Future Scenario,data.gov.ie,0.40,National Coastal Flood Extents 2021 ? Current Scenario,0.400,escalate,"partial title overlap (jaccard 0.40) in ""hold-low-confidence-variant-review"" — signals ambiguous"
already-on-site-review:1093,National Coastal Flood Depths 2021 - High++ End Future Scenario,data.gov.ie,0.40,National Coastal Flood Extents 2021 ? Current Scenario,0.400,escalate,"partial title overlap (jaccard 0.40) in ""hold-low-confidence-variant-review"" — signals ambiguous"
already-on-site-review:1086,INSPIRE Water Framework Directive Register of Protected Areas - Surface Water Bodies for Drinking Water - HVD,data.gov.ie,0.39,Surface Drinking-Water Protected Areas,0.455,escalate,"partial title overlap (jaccard 0.45) in ""hold-context-overlap"" — signals ambiguous"
already-on-site-review:137,Co. Wicklow Polling Stations,data.gov.ie,0.38,EONI Polling Stations,0.400,escalate,"partial title overlap (jaccard 0.40) in ""hold-low-confidence-variant-review"" — signals ambiguous"
already-on-site-review:336,Co. Wicklow Protected Structures,data.gov.ie,0.38,Protected Structures (DLR),0.400,escalate,"partial title overlap (jaccard 0.40) in ""hold-low-confidence-variant-review"" — signals ambiguous"
already-on-site-review:401,Landscape Character Types,data.gov.ie,0.38,Landscape Character Areas (LCA),0.400,escalate,"partial title overlap (jaccard 0.40) in ""hold-low-confidence-variant-review"" — signals ambiguous"
already-on-site-review:530,Museums Collections Archives,data.gov.ie,0.38,Museums And Archives (DCC),0.500,escalate,"partial title overlap (jaccard 0.50) in ""hold-low-confidence-variant-review"" — signals ambiguous"
already-on-site-review:513,Wicklow Fire Stations,data.gov.ie,0.38,Fire Stations (DCC),0.500,escalate,"partial title overlap (jaccard 0.50) in ""hold-low-confidence-variant-review"" — signals ambiguous"
already-on-site-review:969,Greater Dublin Area Cycle Infrastructure,data.gov.ie,0.38,Dublin Metropolitan Area Existing Protected Cycle Infrastructure 2025 (DCC),0.444,escalate,"partial title overlap (jaccard 0.44) in ""hold-low-confidence-variant-review"" — signals ambiguous"
already-on-site-review:785,Art in the Parks - A Guide to Sculpture in Parks DCC,data.gov.ie,0.36,Skateboard Parks (DCC),0.333,escalate,"partial title overlap (jaccard 0.33) in ""hold-low-confidence-variant-review"" — signals ambiguous"
already-on-site-review:609,Belfast Lough Network Contribution,Open Data NI,0.36,Belfast Cycle Network,0.400,escalate,"partial title overlap (jaccard 0.40) in ""hold-low-confidence-variant-review"" — signals ambiguous"
already-on-site-review:522,Development Planning DCC,data.gov.ie,0.36,Development Plan 2022 2028 (DCC),0.500,escalate,"partial title overlap (jaccard 0.50) in ""hold-low-confidence-variant-review"" — signals ambiguous"
already-on-site-review:496,Use Zoning Objectives,data.gov.ie,0.36,Dlr Development Plan 2016 2022 Zoning Objectives (DLR),0.333,escalate,"partial title overlap (jaccard 0.33) in ""hold-low-confidence-variant-review"" — signals ambiguous"
already-on-site-review:1087,INSPIRE WFD Register of Protected Areas - Groundwater bodies for Drinking Water,data.gov.ie,0.35,Groundwater Drinking-Water Protected Areas (DWPAs),0.500,escalate,"partial title overlap (jaccard 0.50) in ""hold-low-confidence-variant-review"" — signals ambiguous"
