id,title,provider,flagReason,fetchStatus,rightsStatus,currentProviderUrl,suggestedNextStep
already-on-site-review:989,tellus-mag-tmi-merc,Tellus airborne standalone,no-provider-url,no-provider-url,manual-review-no-provider-url,,Locate a public canonical provider URL and rights statement before mirroring; confirm the source is redistributable.
already-on-site-review:990,tellus-mag-tmi-rgba,Tellus airborne standalone,no-provider-url,no-provider-url,manual-review-no-provider-url,,Locate a public canonical provider URL and rights statement before mirroring; confirm the source is redistributable.
already-on-site-review:991,tellus-rad-k-merc,Tellus airborne standalone,no-provider-url,no-provider-url,manual-review-no-provider-url,,Locate a public canonical provider URL and rights statement before mirroring; confirm the source is redistributable.
already-on-site-review:992,tellus-rad-k-rgba,Tellus airborne standalone,no-provider-url,no-provider-url,manual-review-no-provider-url,,Locate a public canonical provider URL and rights statement before mirroring; confirm the source is redistributable.
already-on-site-review:993,tellus-rad-th-merc,Tellus airborne standalone,no-provider-url,no-provider-url,manual-review-no-provider-url,,Locate a public canonical provider URL and rights statement before mirroring; confirm the source is redistributable.
already-on-site-review:994,tellus-rad-th-rgba,Tellus airborne standalone,no-provider-url,no-provider-url,manual-review-no-provider-url,,Locate a public canonical provider URL and rights statement before mirroring; confirm the source is redistributable.
already-on-site-review:995,tellus-rad-total-merc,Tellus airborne standalone,no-provider-url,no-provider-url,manual-review-no-provider-url,,Locate a public canonical provider URL and rights statement before mirroring; confirm the source is redistributable.
already-on-site-review:996,tellus-rad-total-rgba,Tellus airborne standalone,no-provider-url,no-provider-url,manual-review-no-provider-url,,Locate a public canonical provider URL and rights statement before mirroring; confirm the source is redistributable.
already-on-site-review:997,tellus-rad-u-merc,Tellus airborne standalone,no-provider-url,no-provider-url,manual-review-no-provider-url,,Locate a public canonical provider URL and rights statement before mirroring; confirm the source is redistributable.
already-on-site-review:998,tellus-rad-u-rgba,Tellus airborne standalone,no-provider-url,no-provider-url,manual-review-no-provider-url,,Locate a public canonical provider URL and rights statement before mirroring; confirm the source is redistributable.
already-on-site-review:1005,Public Cycle Parking Stands DCC,data.gov.ie,fetch-failed-http-403,http-403,manual-review-fetch-failed,https://data.gov.ie/dataset/dcc_public_cycle_parking_stands,"Provider URL returned http-403: re-check URL / find current landing page; re-fetch licence; if permanently gone, treat as unverified and hold."
already-on-site-review:1070,census-2011,Local standalone source,local-source-no-provider-url,no-provider-url,blocked-local-source-rights-review,,Local standalone source: identify the upstream public provider + licence; do not mirror/convert until rights are established.
already-on-site-review:1071,census-2021,Local standalone source,local-source-no-provider-url,no-provider-url,blocked-local-source-rights-review,,Local standalone source: identify the upstream public provider + licence; do not mirror/convert until rights are established.
already-on-site-review:1072,Irish Digitised Boundaries-20260208T232437Z-1-001,Local standalone source,local-source-no-provider-url,no-provider-url,blocked-local-source-rights-review,,Local standalone source: identify the upstream public provider + licence; do not mirror/convert until rights are established.
already-on-site-review:1103,CatchmentsDataPackage_June2022,Local standalone source,local-source-no-provider-url,no-provider-url,blocked-local-source-rights-review,,Local standalone source: identify the upstream public provider + licence; do not mirror/convert until rights are established.
already-on-site-review:1112,Tellus_Electromagnetics_ESRIGRID,Tellus airborne standalone,no-provider-url,no-provider-url,manual-review-no-provider-url,,Locate a public canonical provider URL and rights statement before mirroring; confirm the source is redistributable.
already-on-site-review:1113,Tellus_Magnetics_ESRIGRID,Tellus airborne standalone,no-provider-url,no-provider-url,manual-review-no-provider-url,,Locate a public canonical provider URL and rights statement before mirroring; confirm the source is redistributable.
already-on-site-review:1114,Tellus_Radiometrics_ESRIGRID,Tellus airborne standalone,no-provider-url,no-provider-url,manual-review-no-provider-url,,Locate a public canonical provider URL and rights statement before mirroring; confirm the source is redistributable.
medium-priority-residual:medium-prep:2-irish-election-source-enrichment-data:constituencyboundariesungeneralised-national-electoral-boundaries-2023-2568859868331602633:00001,ConstituencyBoundariesUngeneralised_National_Electoral_Boundaries_2023_-2568859868331602633,Local standalone source,local-source-no-provider-url,no-provider-url,blocked-local-source-rights-review,,Local standalone source: identify the upstream public provider + licence; do not mirror/convert until rights are established.
medium-priority-residual:medium-prep:5-local-authority-planning-property-open-data-layers:greystones-delgany-kilcoole-local-planning-framework-boundary-adopted-2026:00108,Greystones-Delgany & Kilcoole Local Planning Framework Boundary (Adopted 2026),data.gov.ie,licence-unspecified,ok,manual-review-licence-unspecified,https://data.gov.ie/dataset/greystones-delgany-kilcoole-local-planning-framework-boundary-adopted-2026,Licence not stated at source: contact provider or inspect dataset terms page to obtain an explicit licence before publishing.
medium-priority-residual:medium-prep:2-irish-election-source-enrichment-data:constituency-boundaries-ungeneralised-2017-1490744149365444377:00136,Constituency_Boundaries_Ungeneralised_2017_-1490744149365444377,Local standalone source,local-source-no-provider-url,no-provider-url,blocked-local-source-rights-review,,Local standalone source: identify the upstream public provider + licence; do not mirror/convert until rights are established.
medium-priority-residual:medium-prep:2-irish-election-source-enrichment-data:constituency-boundaries-ungeneralised-8061739424892011697:00137,Constituency_Boundaries_Ungeneralised_8061739424892011697,Local standalone source,local-source-no-provider-url,no-provider-url,blocked-local-source-rights-review,,Local standalone source: identify the upstream public provider + licence; do not mirror/convert until rights are established.
medium-priority-residual:medium-prep:3-authoritative-boundary-variants-from-tailte-osi-open-data-ni-nisra:local-electoral-areas-2019-sdcc:00143,Local Electoral Areas 2019 SDCC,data.gov.ie,fetch-failed-http-404,http-404,manual-review-fetch-failed,https://data.gov.ie/dataset/local-electoral-areas-2019-sdcc,"Provider URL returned http-404: re-check URL / find current landing page; re-fetch licence; if permanently gone, treat as unverified and hold."
medium-priority-residual:medium-prep:5-local-authority-planning-property-open-data-layers:f-users-planningtech-planning-gis-cdp-23-29-shapefiles-chapter-13-landscape-character-areas:00299,Kildare Landscape Character 23-29,data.gov.ie,fetch-failed-http-403,http-403,manual-review-fetch-failed,https://data.gov.ie/dataset/f-users-planningtech-planning-gis-cdp-23-29-shapefiles-chapter-13-landscape-character-areas,"Provider URL returned http-403: re-check URL / find current landing page; re-fetch licence; if permanently gone, treat as unverified and hold."
medium-priority-residual:medium-prep:2-irish-election-source-enrichment-data:polling-stations:00310,polling_stations,EONI standalone,no-provider-url,no-provider-url,manual-review-no-provider-url,,Locate a public canonical provider URL and rights statement before mirroring; confirm the source is redistributable.
medium-priority-residual:medium-prep:5-local-authority-planning-property-open-data-layers:nature-reserves-cdp-2022-2028:00642,Nature Reserves (CDP 2022 - 2028),data.gov.ie,licence-unspecified,ok,manual-review-licence-unspecified,https://data.gov.ie/dataset/nature-reserves-cdp-2022-2028,Licence not stated at source: contact provider or inspect dataset terms page to obtain an explicit licence before publishing.
medium-priority-residual:medium-prep:5-local-authority-planning-property-open-data-layers:newbridge-house-visitors-fcc2:00644,Newbridge House Visitors FCC,data.gov.ie,fetch-failed-http-404,http-404,manual-review-fetch-failed,https://data.gov.ie/dataset/newbridge-house-visitors-fcc2,"Provider URL returned http-404: re-check URL / find current landing page; re-fetch licence; if permanently gone, treat as unverified and hold."
medium-priority-residual:medium-prep:5-local-authority-planning-property-open-data-layers:parking-fines-2025-sdcc:00653,Parking Fines 2025 SDCC,data.gov.ie,fetch-failed-http-404,http-404,manual-review-fetch-failed,https://data.gov.ie/dataset/parking-fines-2025-sdcc,"Provider URL returned http-404: re-check URL / find current landing page; re-fetch licence; if permanently gone, treat as unverified and hold."
medium-priority-residual:medium-prep:5-local-authority-planning-property-open-data-layers:wicklow-landscape-category-cdp-2022-2028:00850,Wicklow Landscape Category (CDP 2022 - 2028),data.gov.ie,licence-unspecified,ok,manual-review-licence-unspecified,https://data.gov.ie/dataset/wicklow-landscape-category-cdp-2022-2028,Licence not stated at source: contact provider or inspect dataset terms page to obtain an explicit licence before publishing.
medium-priority-residual:medium-prep:5-local-authority-planning-property-open-data-layers:dublin-public-cycle-parking-facilities:01076,Dublin Public Cycle Parking Facilities,data.gov.ie,fetch-failed-http-403,http-403,manual-review-fetch-failed,https://data.gov.ie/dataset/dublin-public-cycle-parking-facilities,"Provider URL returned http-403: re-check URL / find current landing page; re-fetch licence; if permanently gone, treat as unverified and hold."
medium-priority-residual:medium-prep:5-local-authority-planning-property-open-data-layers:dcc-public-cycle-parking-stands:01716,Public Cycle Parking Stands DCC,data.gov.ie,fetch-failed-http-403,http-403,manual-review-fetch-failed,https://data.gov.ie/dataset/dcc_public_cycle_parking_stands,"Provider URL returned http-403: re-check URL / find current landing page; re-fetch licence; if permanently gone, treat as unverified and hold."
medium-priority-residual:medium-prep:3-authoritative-boundary-variants-from-tailte-osi-open-data-ni-nisra:irish-digitised-boundaries-20260208t232437z-1-001:02117,Irish Digitised Boundaries-20260208T232437Z-1-001,Local standalone source,local-source-no-provider-url,no-provider-url,blocked-local-source-rights-review,,Local standalone source: identify the upstream public provider + licence; do not mirror/convert until rights are established.
medium-priority-residual:medium-prep:3-authoritative-boundary-variants-from-tailte-osi-open-data-ni-nisra:electoral-divisions-1986-2019:02118,Electoral Divisions 1986-2019,Local standalone source,local-source-no-provider-url,no-provider-url,blocked-local-source-rights-review,,Local standalone source: identify the upstream public provider + licence; do not mirror/convert until rights are established.
runtime-conversion-candidate:medium-prep:2-irish-election-source-enrichment-data:constituencyboundariesungeneralised-national-electoral-boundaries-2023-2568859868331602633:00001,ConstituencyBoundariesUngeneralised_National_Electoral_Boundaries_2023_-2568859868331602633,Local standalone source,local-source-no-provider-url,no-provider-url,blocked-local-source-rights-review,,Local standalone source: identify the upstream public provider + licence; do not mirror/convert until rights are established.
runtime-conversion-candidate:medium-prep:4-open-data-ni-boundary-and-statistical-geography-files:osni-open-data-largescale-boundaries-local-government-districts-1993:00011,OSNI Open Data - Largescale Boundaries - Local Government Districts (1993),Open Data NI,licence-unspecified,ok,manual-review-licence-unspecified,https://admin.opendatani.gov.uk/dataset/osni-open-data-largescale-boundaries-local-government-districts-1993,Licence not stated at source: contact provider or inspect dataset terms page to obtain an explicit licence before publishing.
runtime-conversion-candidate:medium-prep:5-local-authority-planning-property-open-data-layers:greystones-delgany-kilcoole-local-planning-framework-boundary-adopted-2026:00108,Greystones-Delgany & Kilcoole Local Planning Framework Boundary (Adopted 2026),data.gov.ie,licence-unspecified,ok,manual-review-licence-unspecified,https://data.gov.ie/dataset/greystones-delgany-kilcoole-local-planning-framework-boundary-adopted-2026,Licence not stated at source: contact provider or inspect dataset terms page to obtain an explicit licence before publishing.
runtime-conversion-candidate:medium-prep:2-irish-election-source-enrichment-data:constituency-boundaries-ungeneralised-2017-1490744149365444377:00136,Constituency_Boundaries_Ungeneralised_2017_-1490744149365444377,Local standalone source,local-source-no-provider-url,no-provider-url,blocked-local-source-rights-review,,Local standalone source: identify the upstream public provider + licence; do not mirror/convert until rights are established.
runtime-conversion-candidate:medium-prep:2-irish-election-source-enrichment-data:constituency-boundaries-ungeneralised-8061739424892011697:00137,Constituency_Boundaries_Ungeneralised_8061739424892011697,Local standalone source,local-source-no-provider-url,no-provider-url,blocked-local-source-rights-review,,Local standalone source: identify the upstream public provider + licence; do not mirror/convert until rights are established.
runtime-conversion-candidate:medium-prep:3-authoritative-boundary-variants-from-tailte-osi-open-data-ni-nisra:local-electoral-areas-2019-sdcc:00143,Local Electoral Areas 2019 SDCC,data.gov.ie,fetch-failed-http-404,http-404,manual-review-fetch-failed,https://data.gov.ie/dataset/local-electoral-areas-2019-sdcc,"Provider URL returned http-404: re-check URL / find current landing page; re-fetch licence; if permanently gone, treat as unverified and hold."
runtime-conversion-candidate:medium-prep:2-irish-election-source-enrichment-data:polling-stations:00310,polling_stations,EONI standalone,no-provider-url,no-provider-url,manual-review-no-provider-url,,Locate a public canonical provider URL and rights statement before mirroring; confirm the source is redistributable.
runtime-conversion-candidate:medium-prep:5-local-authority-planning-property-open-data-layers:nature-reserves-cdp-2022-2028:00642,Nature Reserves (CDP 2022 - 2028),data.gov.ie,licence-unspecified,ok,manual-review-licence-unspecified,https://data.gov.ie/dataset/nature-reserves-cdp-2022-2028,Licence not stated at source: contact provider or inspect dataset terms page to obtain an explicit licence before publishing.
runtime-conversion-candidate:medium-prep:5-local-authority-planning-property-open-data-layers:wicklow-landscape-category-cdp-2022-2028:00850,Wicklow Landscape Category (CDP 2022 - 2028),data.gov.ie,licence-unspecified,ok,manual-review-licence-unspecified,https://data.gov.ie/dataset/wicklow-landscape-category-cdp-2022-2028,Licence not stated at source: contact provider or inspect dataset terms page to obtain an explicit licence before publishing.
