batchId,provider,topic,proposedAction,proposedPlacement,count,readyCount,residualReviewCount,averageConfidence,sampleIds,recommendation
batch:data-gov-ie__source-data__enrich-existing-source,data.gov.ie,source-data,enrich-existing-source,Existing Browse/Books/Tables source metadata,39,38,1,50,medium-prep:3-authoritative-boundary-variants-from-tailte-osi-open-data-ni-nisra:local-electoral-areas:00144; medium-prep:5-local-authority-planning-property-open-data-layers:administrative-area-dlr:00149; medium-prep:5-local-authority-planning-property-open-data-layers:access-points-to-main-parks-dlr:00360; medium-prep:5-local-authority-planning-property-open-data-layers:burial-grounds-dlr:00435; medium-prep:5-local-authority-planning-property-open-data-layers:coco-markets-dlr:00460; medium-prep:5-local-authority-planning-property-open-data-layers:council-allotments-dlr:00474,Source/provenance record or enrichment candidate; no map conversion required by default.
batch:data-gov-ie__election__enrich-existing-source,data.gov.ie,election,enrich-existing-source,Existing Browse/Books/Tables source metadata,36,0,36,45,medium-prep:2-irish-election-source-enrichment-data:referendum-on-the-eight-amendment-of-the-constitution-bill-1982:01579; medium-prep:2-irish-election-source-enrichment-data:referendum-on-the-eleventh-amendment-of-the-constitution-bill1992:01580; medium-prep:2-irish-election-source-enrichment-data:referendum-on-the-fifteenth-amendment-of-the-constitution-bill-1995:01581; medium-prep:2-irish-election-source-enrichment-data:referendum-on-the-fifth-amendment-of-the-constitution-bill-1972:01582; medium-prep:2-irish-election-source-enrichment-data:referendum-on-the-fourteenth-amendment-of-the-constitution-bill-1992:01583; medium-prep:2-irish-election-source-enrichment-data:referendum-on-the-fourth-amendment-of-the-constitution-bill-1972:01584,Source/provenance record or enrichment candidate; no map conversion required by default.
batch:data-gov-ie__election__new-interactive-map,data.gov.ie,election,new-interactive-map,Books/Tables/Sources source/download record,29,0,29,60,medium-prep:2-irish-election-source-enrichment-data:dail-constituencies-2013-sdcc1:00101; medium-prep:2-irish-election-source-enrichment-data:polling-stations-for-general-election-2024-fcc3:00120; medium-prep:2-irish-election-source-enrichment-data:polling-stations-presidential-election-2025-fcc:00121; medium-prep:2-irish-election-source-enrichment-data:constituency-local-election-balbriggan-2014fcc2:00146; medium-prep:2-irish-election-source-enrichment-data:constituency-local-election-howthmalahide-2014-fcc2:00147; medium-prep:2-irish-election-source-enrichment-data:constituency-local-election-swords-20144:00148,Candidate new map layer; requires conversion and final topic placement approval.
batch:open-data-ni__boundary__source-download-only,Open Data NI,boundary,source-download-only,Books/Tables/Sources source/download record,29,16,13,58,medium-prep:4-open-data-ni-boundary-and-statistical-geography-files:settlement-boundary-data:01004; medium-prep:3-authoritative-boundary-variants-from-tailte-osi-open-data-ni-nisra:fodc-townland-signage-c-u-roads:01149; medium-prep:3-authoritative-boundary-variants-from-tailte-osi-open-data-ni-nisra:fodc-road-signage:01150; medium-prep:4-open-data-ni-boundary-and-statistical-geography-files:boundary15:01266; medium-prep:4-open-data-ni-boundary-and-statistical-geography-files:boundary16:01267; medium-prep:4-open-data-ni-boundary-and-statistical-geography-files:boundary16-1:01268,Source/provenance record or enrichment candidate; no map conversion required by default.
batch:data-gov-ie__boundary__local-authority-batch-review,data.gov.ie,boundary,local-authority-batch-review,Books/Tables/Sources source/download record,25,2,23,60,medium-prep:5-local-authority-planning-property-open-data-layers:burren-national-park-boundary-map:00094; medium-prep:5-local-authority-planning-property-open-data-layers:cdp2022-development-boundaries:00095; medium-prep:5-local-authority-planning-property-open-data-layers:connemara-national-park-boundary-map:00096; medium-prep:5-local-authority-planning-property-open-data-layers:county-boundaryfcc2:00097; medium-prep:5-local-authority-planning-property-open-data-layers:county-development-plan-2025-2031-land-use-zoning-boundaries:00098; medium-prep:5-local-authority-planning-property-open-data-layers:county-development-plan-2025-2031-settlement-envelope-boundaries:00099,Batch by council/provider; approve only non-duplicate and materially different layers.
batch:open-data-ni__boundary__variant-child-map,Open Data NI,boundary,variant-child-map,Maps > boundary/geography variant,24,10,14,45,medium-prep:4-open-data-ni-boundary-and-statistical-geography-files:bcni2018:00002; medium-prep:4-open-data-ni-boundary-and-statistical-geography-files:coastal-flood-boundary-extreme-sea-levels-2018-ni-extract-irish-grid-projection:00003; medium-prep:4-open-data-ni-boundary-and-statistical-geography-files:department-of-health-trust-boundaries:00004; medium-prep:4-open-data-ni-boundary-and-statistical-geography-files:mid-ulster-council-district-electoral-areas2:00005; medium-prep:4-open-data-ni-boundary-and-statistical-geography-files:osni-open-data-50k-boundaries-district-electoral-areas-1993:00006; medium-prep:4-open-data-ni-boundary-and-statistical-geography-files:osni-open-data-50k-boundaries-local-government-districts-1993:00007,Prepare as child/variant candidate; compare geometry/source lineage before conversion.
batch:open-data-ni__source-data__source-download-only,Open Data NI,source-data,source-download-only,Books/Tables/Sources source/download record,24,0,24,59,medium-prep:4-open-data-ni-boundary-and-statistical-geography-files:osni-opendata-parliamentary-constituencies-2023-belfast-east:01278; medium-prep:4-open-data-ni-boundary-and-statistical-geography-files:osni-opendata-parliamentary-constituencies-2023-belfast-north:01279; medium-prep:4-open-data-ni-boundary-and-statistical-geography-files:osni-opendata-parliamentary-constituencies-2023-belfast-south-and-mid-down:01280; medium-prep:4-open-data-ni-boundary-and-statistical-geography-files:osni-opendata-parliamentary-constituencies-2023-belfast-west:01281; medium-prep:4-open-data-ni-boundary-and-statistical-geography-files:osni-opendata-parliamentary-constituencies-2023-east-antrim:01282; medium-prep:4-open-data-ni-boundary-and-statistical-geography-files:osni-opendata-parliamentary-constituencies-2023-east-londonderry:01283,Source/provenance record or enrichment candidate; no map conversion required by default.
batch:data-gov-ie__transport-public-asset__enrich-existing-source,data.gov.ie,transport-public-asset,enrich-existing-source,Existing Browse/Books/Tables source metadata,16,16,0,50,medium-prep:5-local-authority-planning-property-open-data-layers:bicycle-maintenance-stands-dlr:00410; medium-prep:5-local-authority-planning-property-open-data-layers:bicycle-parking-stands-dlr:00412; medium-prep:5-local-authority-planning-property-open-data-layers:bicycle-parking-stands-sdcc:00413; medium-prep:5-local-authority-planning-property-open-data-layers:bicycle-parking-stands-sdcc2:00414; medium-prep:5-local-authority-planning-property-open-data-layers:bridges-dlr:00429; medium-prep:5-local-authority-planning-property-open-data-layers:public-art-dlr:00681,Source/provenance record or enrichment candidate; no map conversion required by default.
batch:open-data-ni__planning-property__local-authority-batch-review,Open Data NI,planning-property,local-authority-batch-review,Books/Tables/Sources source/download record,16,15,1,56,medium-prep:5-local-authority-planning-property-open-data-layers:government-land-and-property-assets:00905; medium-prep:5-local-authority-planning-property-open-data-layers:complaints-and-mp-mla-correspondence-received-by-land-property-services-2016-2021:01954; medium-prep:5-local-authority-planning-property-open-data-layers:complaints-and-mp-mla-correspondence-received-by-land-property-services-2022-2023:01955; medium-prep:5-local-authority-planning-property-open-data-layers:complaints-and-mp-mla-correspondence-received-by-land-property-services-2023-2024:01956; medium-prep:5-local-authority-planning-property-open-data-layers:complaints-and-mp-mla-correspondence-received-by-land-property-services-2024-2025:01957; medium-prep:5-local-authority-planning-property-open-data-layers:information-requests-lps-2016-2017:01960,Batch by council/provider; approve only non-duplicate and materially different layers.
batch:open-data-ni__source-data__variant-child-map,Open Data NI,source-data,variant-child-map,Maps > boundary/geography variant,14,0,14,45,medium-prep:4-open-data-ni-boundary-and-statistical-geography-files:osni-opendata-gazetteer-streetnames:00311; medium-prep:4-open-data-ni-boundary-and-statistical-geography-files:2003-ortho-osni2:00892; medium-prep:4-open-data-ni-boundary-and-statistical-geography-files:2004-ortho-osni2:00893; medium-prep:4-open-data-ni-boundary-and-statistical-geography-files:2005-ortho-osni2:00894; medium-prep:4-open-data-ni-boundary-and-statistical-geography-files:2006-ortho-osni2:00895; medium-prep:4-open-data-ni-boundary-and-statistical-geography-files:2007-ortho-osni2:00896,Prepare as child/variant candidate; compare geometry/source lineage before conversion.
batch:open-data-ni__transport-public-asset__transport-public-asset-batch-review,Open Data NI,transport-public-asset,transport-public-asset-batch-review,Books/Tables/Sources source/download record,14,13,1,59,medium-prep:7-transport-roads-infrastructure-public-assets:carriageway-details:01729; medium-prep:7-transport-roads-infrastructure-public-assets:drainage-asset:01730; medium-prep:7-transport-roads-infrastructure-public-assets:greater-beflast-area-park-and-ride-sites:01731; medium-prep:7-transport-roads-infrastructure-public-assets:highway-network:01732; medium-prep:7-transport-roads-infrastructure-public-assets:northern-ireland-goods-vehicle-operators-licence-records:01733; medium-prep:7-transport-roads-infrastructure-public-assets:northern-ireland-road-safety-partnership-2011-2021:01734,Lower-priority public asset/infrastructure batch; prefer stable layers over operational feeds.
batch:data-gov-ie__planning-property__hold-special-format,data.gov.ie,planning-property,hold-special-format,Books/Tables/Sources source/download record,12,0,12,45,medium-prep:5-local-authority-planning-property-open-data-layers:planning-application-points5:00116; medium-prep:5-local-authority-planning-property-open-data-layers:planning-application-sites5:00117; medium-prep:5-local-authority-planning-property-open-data-layers:planning-exemptions-local-authorities:00118; medium-prep:5-local-authority-planning-property-open-data-layers:planning-exemptions-settlements:00119; medium-prep:5-local-authority-planning-property-open-data-layers:planning-application-points-roscommon6:00300; medium-prep:5-local-authority-planning-property-open-data-layers:planning-register:00302,Hold for size/format decision; likely IA/download-only or derived R2/CDN preview.
batch:data-gov-ie__boundary__variant-child-map,data.gov.ie,boundary,variant-child-map,Maps > boundary/geography variant,11,11,0,45,medium-prep:3-authoritative-boundary-variants-from-tailte-osi-open-data-ni-nisra:district-electoral-divisions-boundaries:00103; medium-prep:3-authoritative-boundary-variants-from-tailte-osi-open-data-ni-nisra:ed-boundaries-dlr:00104; medium-prep:3-authoritative-boundary-variants-from-tailte-osi-open-data-ni-nisra:townland-boundaries:00129; medium-prep:3-authoritative-boundary-variants-from-tailte-osi-open-data-ni-nisra:townlands-2015-sdcc1:00131; medium-prep:3-authoritative-boundary-variants-from-tailte-osi-open-data-ni-nisra:townlands-in-fcc3:00132; medium-prep:3-authoritative-boundary-variants-from-tailte-osi-open-data-ni-nisra:townlandsfcc2:00133,Prepare as child/variant candidate; compare geometry/source lineage before conversion.
batch:tailte-osi-data-gov-ie__election__new-interactive-map,Tailte/OSI/data.gov.ie,election,new-interactive-map,Books/Tables/Sources source/download record,10,0,10,60,medium-prep:2-irish-election-source-enrichment-data:constituency-boundaries-generalised-100m-national-electoral-boundaries-20171:00028; medium-prep:2-irish-election-source-enrichment-data:constituency-boundaries-generalised-20m-national-electoral-boundaries-20171:00029; medium-prep:2-irish-election-source-enrichment-data:constituency-boundaries-national-electoral-boundaries-ungeneralised-2026:00030; medium-prep:2-irish-election-source-enrichment-data:constituency-boundaries-generalised-20m-national-electoral-boundaries-20131:00031; medium-prep:2-irish-election-source-enrichment-data:constituency-boundaries-generalised-50m-national-electoral-boundaries-20171:00032; medium-prep:2-irish-election-source-enrichment-data:constituency-boundaries-ungeneralised-national-electoral-boundaries-20131:00033,Candidate new map layer; requires conversion and final topic placement approval.
batch:data-gov-ie__source-data__variant-child-map,data.gov.ie,source-data,variant-child-map,Maps > boundary/geography variant,9,0,9,45,medium-prep:3-authoritative-boundary-variants-from-tailte-osi-open-data-ni-nisra:administrative-areas1:00090; medium-prep:3-authoritative-boundary-variants-from-tailte-osi-open-data-ni-nisra:co-wicklow-local-electoral-areas:00139; medium-prep:3-authoritative-boundary-variants-from-tailte-osi-open-data-ni-nisra:local-electoral-areas-2019-sdcc:00143; medium-prep:3-authoritative-boundary-variants-from-tailte-osi-open-data-ni-nisra:local-electoral-areas-fcc2:00145; medium-prep:3-authoritative-boundary-variants-from-tailte-osi-open-data-ni-nisra:cork-city-local-electoral-areas:00341; medium-prep:3-authoritative-boundary-variants-from-tailte-osi-open-data-ni-nisra:administrative-areas-dcc:00352,Prepare as child/variant candidate; compare geometry/source lineage before conversion.
batch:tailte-osi-data-gov-ie__transport-public-asset__hold-special-format,Tailte/OSI/data.gov.ie,transport-public-asset,hold-special-format,Books/Tables/Sources source/download record,8,0,8,45,medium-prep:3-authoritative-boundary-variants-from-tailte-osi-open-data-ni-nisra:road-amp-rail-intersections-national-250k-map-of-ireland:00346; medium-prep:3-authoritative-boundary-variants-from-tailte-osi-open-data-ni-nisra:road-interchanges-national-250k-map-of-ireland1:00347; medium-prep:3-authoritative-boundary-variants-from-tailte-osi-open-data-ni-nisra:road-intersections-national-1m-map-of-ireland1:00348; medium-prep:3-authoritative-boundary-variants-from-tailte-osi-open-data-ni-nisra:roads-national-250k-map-of-ireland1:00349; medium-prep:3-authoritative-boundary-variants-from-tailte-osi-open-data-ni-nisra:high-value-dataset-rail-network-segment:00927; medium-prep:3-authoritative-boundary-variants-from-tailte-osi-open-data-ni-nisra:high-value-dataset-rail-points:00928,Hold for size/format decision; likely IA/download-only or derived R2/CDN preview.
batch:open-data-ni__source-data__hold-special-format,Open Data NI,source-data,hold-special-format,Books/Tables/Sources source/download record,7,0,7,45,medium-prep:4-open-data-ni-boundary-and-statistical-geography-files:osni-open-data-river-basin-lidar-2004-dtms-and-dsms:01720; medium-prep:4-open-data-ni-boundary-and-statistical-geography-files:osni-open-data-river-basin-lidar-2007-dtms-and-dsms:01721; medium-prep:4-open-data-ni-boundary-and-statistical-geography-files:osni-open-data-river-basin-lidar-2008-dtms-and-dsms:01722; medium-prep:4-open-data-ni-boundary-and-statistical-geography-files:osni-open-data-river-basin-lidar-2009-dtms-and-dsms:01723; medium-prep:4-open-data-ni-boundary-and-statistical-geography-files:osni-open-data-river-basin-lidar-2010-dtms-and-dsms:01724; medium-prep:4-open-data-ni-boundary-and-statistical-geography-files:osni-open-data-river-basin-lidar-2013-dtms-and-dsms:01725,Hold for size/format decision; likely IA/download-only or derived R2/CDN preview.
batch:tailte-osi-data-gov-ie__source-data__variant-child-map,Tailte/OSI/data.gov.ie,source-data,variant-child-map,Maps > boundary/geography variant,7,0,7,45,medium-prep:3-authoritative-boundary-variants-from-tailte-osi-open-data-ni-nisra:covid-19-hpsc-hiu-latest-local-electoral-area-mapped:00285; medium-prep:3-authoritative-boundary-variants-from-tailte-osi-open-data-ni-nisra:covid-19-hpsc-hiu-timeseries-local-electoral-area-mapped:00286; medium-prep:3-authoritative-boundary-variants-from-tailte-osi-open-data-ni-nisra:covid-19-hse-weekly-booster-vaccination-figures:00916; medium-prep:3-authoritative-boundary-variants-from-tailte-osi-open-data-ni-nisra:covid-19-hse-weekly-vaccination-figures:00917; medium-prep:3-authoritative-boundary-variants-from-tailte-osi-open-data-ni-nisra:covid-19-laboratory-testing-time-series:01296; medium-prep:3-authoritative-boundary-variants-from-tailte-osi-open-data-ni-nisra:covid-19-noca-icubis-historic-time-series:01297,Prepare as child/variant candidate; compare geometry/source lineage before conversion.
batch:data-gov-ie__boundary__hold-special-format,data.gov.ie,boundary,hold-special-format,Books/Tables/Sources source/download record,6,0,6,45,medium-prep:5-local-authority-planning-property-open-data-layers:boundaries6:00093; medium-prep:5-local-authority-planning-property-open-data-layers:greystones-delgany-kilcoole-local-planning-framework-boundary-adopted-2026:00108; medium-prep:5-local-authority-planning-property-open-data-layers:planning-application-boundaries-roscommon6:00115; medium-prep:5-local-authority-planning-property-open-data-layers:settlement-boundaries-roscommon-cdp-2022-2028:00125; medium-prep:5-local-authority-planning-property-open-data-layers:cityboundary2:00330; medium-prep:3-authoritative-boundary-variants-from-tailte-osi-open-data-ni-nisra:galway-city-electoral-divisions:00343,Hold for size/format decision; likely IA/download-only or derived R2/CDN preview.
batch:data-gov-ie__transport-public-asset__hold-special-format,data.gov.ie,transport-public-asset,hold-special-format,Books/Tables/Sources source/download record,6,0,6,45,medium-prep:5-local-authority-planning-property-open-data-layers:road-schedule:00323; medium-prep:5-local-authority-planning-property-open-data-layers:road-schedule-roscommon6:00324; medium-prep:5-local-authority-planning-property-open-data-layers:bicycle-warning-signs-fcc5:00416; medium-prep:5-local-authority-planning-property-open-data-layers:car-parking-locations-roscommon6:00439; medium-prep:5-local-authority-planning-property-open-data-layers:cycleways-sdcc3:00498; medium-prep:5-local-authority-planning-property-open-data-layers:recycle-bring-banks-roscommon5:00699,Hold for size/format decision; likely IA/download-only or derived R2/CDN preview.
batch:open-data-ni__election__enrich-existing-election,Open Data NI,election,enrich-existing-election,Elections/source provenance,4,4,0,63,medium-prep:2-irish-election-source-enrichment-data:european-parliament-election-22-may-2014-ni-region:00999; medium-prep:2-irish-election-source-enrichment-data:ni-assembly-election-5-may-2016:01000; medium-prep:2-irish-election-source-enrichment-data:northern-ireland-local-councils-election-22-may-2014:01001; medium-prep:2-irish-election-source-enrichment-data:uk-parliamentary-election-7-may-2015:01002,Apply as election provenance/source enrichment only after exact election/person/party/constituency match review.
batch:local-standalone-source__election__new-interactive-map,Local standalone source,election,new-interactive-map,Books/Tables/Sources source/download record,3,0,3,60,medium-prep:2-irish-election-source-enrichment-data:constituencyboundariesungeneralised-national-electoral-boundaries-2023-2568859868331602633:00001; medium-prep:2-irish-election-source-enrichment-data:constituency-boundaries-ungeneralised-2017-1490744149365444377:00136; medium-prep:2-irish-election-source-enrichment-data:constituency-boundaries-ungeneralised-8061739424892011697:00137,Candidate new map layer; requires conversion and final topic placement approval.
batch:open-data-ni__boundary__hold-special-format,Open Data NI,boundary,hold-special-format,Books/Tables/Sources source/download record,3,0,3,45,medium-prep:4-open-data-ni-boundary-and-statistical-geography-files:osni-open-data-1-1million-raster-county-boundaries:00994; medium-prep:4-open-data-ni-boundary-and-statistical-geography-files:empvacdea:01686; medium-prep:4-open-data-ni-boundary-and-statistical-geography-files:empvaclgd:01958,Hold for size/format decision; likely IA/download-only or derived R2/CDN preview.
batch:data-gov-ie__boundary__enrich-existing-source,data.gov.ie,boundary,enrich-existing-source,Existing Browse/Books/Tables source metadata,2,2,0,50,medium-prep:3-authoritative-boundary-variants-from-tailte-osi-open-data-ni-nisra:townland-boundaries-dlr:00130; medium-prep:3-authoritative-boundary-variants-from-tailte-osi-open-data-ni-nisra:electoral-divisions-dcc:00342,Source/provenance record or enrichment candidate; no map conversion required by default.
batch:local-standalone-source__boundary__source-download-only,Local standalone source,boundary,source-download-only,Books/Tables/Sources source/download record,2,0,2,60,medium-prep:3-authoritative-boundary-variants-from-tailte-osi-open-data-ni-nisra:irish-digitised-boundaries-20260208t232437z-1-001:02117; medium-prep:3-authoritative-boundary-variants-from-tailte-osi-open-data-ni-nisra:electoral-divisions-1986-2019:02118,Source/provenance record or enrichment candidate; no map conversion required by default.
batch:open-data-ni__transport-public-asset__variant-child-map,Open Data NI,transport-public-asset,variant-child-map,Maps > boundary/geography variant,2,2,0,45,medium-prep:4-open-data-ni-boundary-and-statistical-geography-files:osni-open-data-50k-transport-text-labelling:00344; medium-prep:4-open-data-ni-boundary-and-statistical-geography-files:osni-open-data-50k-transport-transport-points:00345,Prepare as child/variant candidate; compare geometry/source lineage before conversion.
batch:open-data-ni__election__local-authority-batch-review,Open Data NI,election,local-authority-batch-review,Books/Tables/Sources source/download record,2,2,0,60,medium-prep:5-local-authority-planning-property-open-data-layers:annual-end-of-year-rates-balances-by-parliamentary-constituency-and-sector:01265; medium-prep:5-local-authority-planning-property-open-data-layers:property-vacancy-rates-by-parliamentary-constituency-and-sector:01295,Batch by council/provider; approve only non-duplicate and materially different layers.
