id,sourceRowNumber,roiGroup,groupTitle,provider,organisation,category,title,cleanTitle,slugOrId,jurisdiction,topic,featureUnit,formats,isSpatial,isLargeOrSpecial,proposedAction,proposedPlacement,proposedRuntime,confidence,currentProviderUrl,waybackUrl,internetArchiveStatus,canonicalSourcePolicy,bestExistingMatchType,bestExistingMatchId,bestExistingMatchTitle,bestExistingMatchScore,bestExistingMatchStillPresent,allMatchEvidence,resolvedBlockers,residualBlockers,residualBlockerCount,cleanedRecommendation,geographyRecommendation,comparabilityRecommendation,sourcePlacement,sourceProvenanceDraft,approvalState,publicationState,runtimeDesired,runtimeConversion
medium-prep:7-transport-roads-infrastructure-public-assets:northern-ireland-traffic-count-data:01734,1735,"7. Transport, roads, infrastructure, public assets","Transport, roads, infrastructure, public assets",Open Data NI,Department for Infrastructure - Roads,tabular,Northern Ireland Traffic Count Data,Northern Ireland Traffic Count Data,northern-ireland-traffic-count-data,Northern Ireland,transport-public-asset,road features,CSV|ODS|PDF,false,false,transport-public-asset-batch-review,Books/Tables/Sources source/download record,[object Object],60,https://admin.opendatani.gov.uk/dataset/northern-ireland-traffic-count-data,https://web.archive.org/web/*/https://admin.opendatani.gov.uk/dataset/northern-ireland-traffic-count-data,pending-upload-or-linking,"current provider URL first, Wayback and IA mirror/link retained where available",,,,,false,,public-asset-batch-placement: publication policy assigned | source-page-and-ia-viewport-decision: publication policy assigned,,0,Batch public-asset layers by provider/topic; add as lower-priority map/source bundles after higher-value geography/election/census work.,"Use provider extent, geometry type, year, and existing Civgraph family as matching keys before creating new records.",,Browse/Books/Tables source record with IA hotlinked viewport/download.,"Department for Infrastructure - Roads | Northern Ireland Traffic Count Data | formats: CSV, ODS, PDF | current URL: https://admin.opendatani.gov.uk/dataset/northern-ireland-traffic-count-data | IA mirror/download link pending; do not expose local drive paths.",ready-for-approval,staged-only-not-published,metadata/source page,No runtime conversion required unless structured values are later extracted.
medium-prep:7-transport-roads-infrastructure-public-assets:road-drainage-customer-enquiries:01735,1736,"7. Transport, roads, infrastructure, public assets","Transport, roads, infrastructure, public assets",Open Data NI,Department for Infrastructure - Roads,tabular,Road Drainage Customer Enquiries,Road Drainage Customer Enquiries,road-drainage-customer-enquiries,Northern Ireland,transport-public-asset,road features,CSV|XML,false,false,transport-public-asset-batch-review,Books/Tables/Sources source/download record,[object Object],60,https://admin.opendatani.gov.uk/dataset/road-drainage-customer-enquiries,https://web.archive.org/web/*/https://admin.opendatani.gov.uk/dataset/road-drainage-customer-enquiries,pending-upload-or-linking,"current provider URL first, Wayback and IA mirror/link retained where available",,,,,false,,public-asset-batch-placement: publication policy assigned | source-page-and-ia-viewport-decision: publication policy assigned,,0,Batch public-asset layers by provider/topic; add as lower-priority map/source bundles after higher-value geography/election/census work.,"Use provider extent, geometry type, year, and existing Civgraph family as matching keys before creating new records.",,Browse/Books/Tables source record with IA hotlinked viewport/download.,"Department for Infrastructure - Roads | Road Drainage Customer Enquiries | formats: CSV, XML | current URL: https://admin.opendatani.gov.uk/dataset/road-drainage-customer-enquiries | IA mirror/download link pending; do not expose local drive paths.",ready-for-approval,staged-only-not-published,metadata/source page,No runtime conversion required unless structured values are later extracted.
medium-prep:7-transport-roads-infrastructure-public-assets:roadworks:01736,1737,"7. Transport, roads, infrastructure, public assets","Transport, roads, infrastructure, public assets",Open Data NI,Department for Infrastructure - Roads,tabular,Roadworks,Roadworks,roadworks,Northern Ireland,transport-public-asset,road features,RSS,false,false,transport-public-asset-batch-review,Books/Tables/Sources source/download record,[object Object],60,https://admin.opendatani.gov.uk/dataset/roadworks,https://web.archive.org/web/*/https://admin.opendatani.gov.uk/dataset/roadworks,pending-upload-or-linking,"current provider URL first, Wayback and IA mirror/link retained where available",,,,,false,,public-asset-batch-placement: publication policy assigned,duplicate-or-variant-review: no existing match candidate,1,Compare provider/date/scale/generalisation/schema; publish only as variant/child/source if materially different.,"Use provider extent, geometry type, year, and existing Civgraph family as matching keys before creating new records.",,Browse/source/table record unless there is clear interactive map or query use.,Department for Infrastructure - Roads | Roadworks | formats: RSS | current URL: https://admin.opendatani.gov.uk/dataset/roadworks | IA mirror/download link pending; do not expose local drive paths.,ready-with-residual-review,staged-only-not-published,metadata/source page,No runtime conversion required unless structured values are later extracted.
medium-prep:7-transport-roads-infrastructure-public-assets:lighting-faults:01737,1738,"7. Transport, roads, infrastructure, public assets","Transport, roads, infrastructure, public assets",Open Data NI,Department for Infrastructure - Roads,tabular,Street Lighting Faults,Street Lighting Faults,lighting-faults,Northern Ireland,transport-public-asset,road features,CSV|CSV.|XML,false,false,transport-public-asset-batch-review,Books/Tables/Sources source/download record,[object Object],60,https://admin.opendatani.gov.uk/dataset/lighting-faults,https://web.archive.org/web/*/https://admin.opendatani.gov.uk/dataset/lighting-faults,pending-upload-or-linking,"current provider URL first, Wayback and IA mirror/link retained where available",,,,,false,,public-asset-batch-placement: publication policy assigned | source-page-and-ia-viewport-decision: publication policy assigned,,0,Batch public-asset layers by provider/topic; add as lower-priority map/source bundles after higher-value geography/election/census work.,"Use provider extent, geometry type, year, and existing Civgraph family as matching keys before creating new records.",,Browse/Books/Tables source record with IA hotlinked viewport/download.,"Department for Infrastructure - Roads | Street Lighting Faults | formats: CSV, CSV., XML | current URL: https://admin.opendatani.gov.uk/dataset/lighting-faults | IA mirror/download link pending; do not expose local drive paths.",ready-for-approval,staged-only-not-published,metadata/source page,No runtime conversion required unless structured values are later extracted.
medium-prep:7-transport-roads-infrastructure-public-assets:york-street-interchange-lidar:01738,1739,"7. Transport, roads, infrastructure, public assets","Transport, roads, infrastructure, public assets",Open Data NI,Department for Infrastructure - Roads,tabular,York Street Interchange LIDAR,York Street Interchange LIDAR,york-street-interchange-lidar,Northern Ireland,transport-public-asset,road features,ZIP,false,true,hold-special-format,Books/Tables/Sources source/download record,[object Object],45,https://admin.opendatani.gov.uk/dataset/york-street-interchange-lidar,https://web.archive.org/web/*/https://admin.opendatani.gov.uk/dataset/york-street-interchange-lidar,pending-upload-or-linking,"current provider URL first, Wayback and IA mirror/link retained where available",,,,,false,,public-asset-batch-placement: publication policy assigned,duplicate-or-variant-review: no existing match candidate | large-or-special-format-review: size/format decision remains before runtime publication,2,Compare provider/date/scale/generalisation/schema; publish only as variant/child/source if materially different.,"Use provider extent, geometry type, year, and existing Civgraph family as matching keys before creating new records.",,IA download/viewport first; R2/CDN only for approved derived tiles/previews.,Department for Infrastructure - Roads | York Street Interchange LIDAR | formats: ZIP | current URL: https://admin.opendatani.gov.uk/dataset/york-street-interchange-lidar | IA mirror/download link pending; do not expose local drive paths.,ready-with-residual-review,staged-only-not-published,download/source viewport first,Do not convert until size/format review approves an interactive derivative.
medium-prep:7-transport-roads-infrastructure-public-assets:national-road-traffic-counts:01740,1741,"7. Transport, roads, infrastructure, public assets","Transport, roads, infrastructure, public assets",data.gov.ie,Transport Infrastructure Ireland,tabular,National Road Traffic Counts,National Road Traffic Counts,national-road-traffic-counts,Republic of Ireland,transport-public-asset,road features,TSV,false,false,transport-public-asset-batch-review,Books/Tables/Sources source/download record,[object Object],60,https://data.gov.ie/dataset/national-road-traffic-counts,https://web.archive.org/web/*/https://data.gov.ie/dataset/national-road-traffic-counts,pending-upload-or-linking,"current provider URL first, Wayback and IA mirror/link retained where available",,,,,false,,public-asset-batch-placement: publication policy assigned,duplicate-or-variant-review: no existing match candidate,1,Compare provider/date/scale/generalisation/schema; publish only as variant/child/source if materially different.,"Use provider extent, geometry type, year, and existing Civgraph family as matching keys before creating new records.",,Browse/source/table record unless there is clear interactive map or query use.,Transport Infrastructure Ireland | National Road Traffic Counts | formats: TSV | current URL: https://data.gov.ie/dataset/national-road-traffic-counts | IA mirror/download link pending; do not expose local drive paths.,ready-with-residual-review,staged-only-not-published,metadata/source page,No runtime conversion required unless structured values are later extracted.
medium-prep:7-transport-roads-infrastructure-public-assets:national-roads-travel-times:01741,1742,"7. Transport, roads, infrastructure, public assets","Transport, roads, infrastructure, public assets",data.gov.ie,Transport Infrastructure Ireland,tabular,National Roads Travel Times,National Roads Travel Times,national-roads-travel-times,Republic of Ireland,transport-public-asset,road features,XML,false,false,transport-public-asset-batch-review,Books/Tables/Sources source/download record,[object Object],60,https://data.gov.ie/dataset/national-roads-travel-times,https://web.archive.org/web/*/https://data.gov.ie/dataset/national-roads-travel-times,pending-upload-or-linking,"current provider URL first, Wayback and IA mirror/link retained where available",,,,,false,,public-asset-batch-placement: publication policy assigned,duplicate-or-variant-review: no existing match candidate,1,Compare provider/date/scale/generalisation/schema; publish only as variant/child/source if materially different.,"Use provider extent, geometry type, year, and existing Civgraph family as matching keys before creating new records.",,Browse/source/table record unless there is clear interactive map or query use.,Transport Infrastructure Ireland | National Roads Travel Times | formats: XML | current URL: https://data.gov.ie/dataset/national-roads-travel-times | IA mirror/download link pending; do not expose local drive paths.,ready-with-residual-review,staged-only-not-published,metadata/source page,No runtime conversion required unless structured values are later extracted.
medium-prep:7-transport-roads-infrastructure-public-assets:national-roads-variable-messaging-signs:01742,1743,"7. Transport, roads, infrastructure, public assets","Transport, roads, infrastructure, public assets",data.gov.ie,Transport Infrastructure Ireland,tabular,National Roads Variable Messaging Signs,National Roads Variable Messaging Signs,national-roads-variable-messaging-signs,Republic of Ireland,transport-public-asset,road features,XML,false,false,transport-public-asset-batch-review,Books/Tables/Sources source/download record,[object Object],60,https://data.gov.ie/dataset/national-roads-variable-messaging-signs,https://web.archive.org/web/*/https://data.gov.ie/dataset/national-roads-variable-messaging-signs,pending-upload-or-linking,"current provider URL first, Wayback and IA mirror/link retained where available",,,,,false,,public-asset-batch-placement: publication policy assigned,duplicate-or-variant-review: no existing match candidate,1,Compare provider/date/scale/generalisation/schema; publish only as variant/child/source if materially different.,"Use provider extent, geometry type, year, and existing Civgraph family as matching keys before creating new records.",,Browse/source/table record unless there is clear interactive map or query use.,Transport Infrastructure Ireland | National Roads Variable Messaging Signs | formats: XML | current URL: https://data.gov.ie/dataset/national-roads-variable-messaging-signs | IA mirror/download link pending; do not expose local drive paths.,ready-with-residual-review,staged-only-not-published,metadata/source page,No runtime conversion required unless structured values are later extracted.
medium-prep:7-transport-roads-infrastructure-public-assets:national-roads-weather-station-data:01743,1744,"7. Transport, roads, infrastructure, public assets","Transport, roads, infrastructure, public assets",data.gov.ie,Transport Infrastructure Ireland,tabular,National Roads Weather Station Data,National Roads Weather Station Data,national-roads-weather-station-data,Republic of Ireland,transport-public-asset,road features,XML,false,false,transport-public-asset-batch-review,Books/Tables/Sources source/download record,[object Object],60,https://data.gov.ie/dataset/national-roads-weather-station-data,https://web.archive.org/web/*/https://data.gov.ie/dataset/national-roads-weather-station-data,pending-upload-or-linking,"current provider URL first, Wayback and IA mirror/link retained where available",,,,,false,,public-asset-batch-placement: publication policy assigned,duplicate-or-variant-review: no existing match candidate,1,Compare provider/date/scale/generalisation/schema; publish only as variant/child/source if materially different.,"Use provider extent, geometry type, year, and existing Civgraph family as matching keys before creating new records.",,Browse/source/table record unless there is clear interactive map or query use.,Transport Infrastructure Ireland | National Roads Weather Station Data | formats: XML | current URL: https://data.gov.ie/dataset/national-roads-weather-station-data | IA mirror/download link pending; do not expose local drive paths.,ready-with-residual-review,staged-only-not-published,metadata/source page,No runtime conversion required unless structured values are later extracted.
medium-prep:7-transport-roads-infrastructure-public-assets:nra01-national-road-length:01744,1745,"7. Transport, roads, infrastructure, public assets","Transport, roads, infrastructure, public assets",data.gov.ie,Transport Infrastructure Ireland,tabular,NRA01 - National Road Length,NRA01 - National Road Length,nra01-national-road-length,Republic of Ireland,transport-public-asset,road features,CSV|JSON-STAT|PX|XLSX,false,false,transport-public-asset-batch-review,Books/Tables/Sources source/download record,[object Object],60,https://data.gov.ie/dataset/nra01-national-road-length,https://web.archive.org/web/*/https://data.gov.ie/dataset/nra01-national-road-length,pending-upload-or-linking,"current provider URL first, Wayback and IA mirror/link retained where available",,,,,false,,public-asset-batch-placement: publication policy assigned | source-page-and-ia-viewport-decision: publication policy assigned,,0,Batch public-asset layers by provider/topic; add as lower-priority map/source bundles after higher-value geography/election/census work.,"Use provider extent, geometry type, year, and existing Civgraph family as matching keys before creating new records.",,Browse/Books/Tables source record with IA hotlinked viewport/download.,"Transport Infrastructure Ireland | NRA01 - National Road Length | formats: CSV, JSON-STAT, PX, XLSX | current URL: https://data.gov.ie/dataset/nra01-national-road-length | IA mirror/download link pending; do not expose local drive paths.",ready-for-approval,staged-only-not-published,metadata/source page,No runtime conversion required unless structured values are later extracted.
medium-prep:7-transport-roads-infrastructure-public-assets:skid-resistance-on-national-roads:01745,1746,"7. Transport, roads, infrastructure, public assets","Transport, roads, infrastructure, public assets",data.gov.ie,Transport Infrastructure Ireland,tabular,skid-resistance-on-national-roads,skid-resistance-on-national-roads,skid-resistance-on-national-roads,Republic of Ireland,transport-public-asset,road features,CSV,false,false,transport-public-asset-batch-review,Books/Tables/Sources source/download record,[object Object],60,https://data.gov.ie/dataset/skid-resistance-on-national-roads,https://web.archive.org/web/*/https://data.gov.ie/dataset/skid-resistance-on-national-roads,pending-upload-or-linking,"current provider URL first, Wayback and IA mirror/link retained where available",,,,,false,,public-asset-batch-placement: publication policy assigned | source-page-and-ia-viewport-decision: publication policy assigned,,0,Batch public-asset layers by provider/topic; add as lower-priority map/source bundles after higher-value geography/election/census work.,"Use provider extent, geometry type, year, and existing Civgraph family as matching keys before creating new records.",,Browse/Books/Tables source record with IA hotlinked viewport/download.,Transport Infrastructure Ireland | skid-resistance-on-national-roads | formats: CSV | current URL: https://data.gov.ie/dataset/skid-resistance-on-national-roads | IA mirror/download link pending; do not expose local drive paths.,ready-for-approval,staged-only-not-published,metadata/source page,No runtime conversion required unless structured values are later extracted.
