rowNumber,title,provider,category,formats,decisionBucket,finalBucket,rightsStatus,licenseTitle,currentProviderUrl,bestMatchScore,roiGroup,targetIds,recommendedDecision,caveat
14,OSNI Open Data - Largescale Boundaries - Local Government Districts (1993),Open Data NI,spatial,CSV|GEOJSON|KML|ZIP,probable-variant-or-source-enrichment,hold-rights-provider-unresolved,manual-review-licence-unspecified,License not specified,https://admin.opendatani.gov.uk/dataset/osni-open-data-largescale-boundaries-local-government-districts-1993,0.50,4. Open Data NI boundary and statistical-geography files,database-map:lgd-2022-final-recommendations; browse-source:map-source:lgd-2022-final-recommendations; browse-map:lgd-2022-final-recommendations,Hold until a public provider URL and explicit open rights statement are available.,Keep source-only; do not mirror or convert until resource-level rights are confirmed.
16,Administrative Areas - National Statutory Boundaries - 2019 - Generalised 20m,Tailte/OSI/data.gov.ie,spatial,ARCGIS GEOSERVICES REST API|CSV|GDB|GEOJSON|GPKG|HTML|KML|TXT|XLSX|ZIP,probable-variant-or-source-enrichment,remap-tailte-government-boundary-family,standard-open-licence-confirmed,Creative Commons Attribution 4.0,https://data.gov.ie/dataset/administrative-areas-national-statutory-boundaries-2019-generalised-20m1,0.56,3. Authoritative boundary variants from Tailte/OSI/Open Data NI/NISRA,database-map:counties-ireland; browse-source:map-source:counties-ireland; browse-map:counties-ireland,"Review for target-family remap, then approve only as source-family evidence for the correct government/election boundary family.",Do not attach these broadly to counties or historic boundary maps just because Tailte/OSI is authoritative.
17,Administrative Areas Generalised 100m - National Statutory Boundaries - 2015,Tailte/OSI/data.gov.ie,spatial,ARCGIS GEOSERVICES REST API|CSV|GDB|GEOJSON|GPKG|HTML|KML|TXT|XLSX|ZIP,probable-variant-or-source-enrichment,remap-tailte-government-boundary-family,standard-open-licence-confirmed,Creative Commons Attribution 4.0,https://data.gov.ie/dataset/administrative-areas-generalised-100m-national-statutory-boundaries-20151,0.50,3. Authoritative boundary variants from Tailte/OSI/Open Data NI/NISRA,database-map:counties-ireland; browse-source:map-source:counties-ireland; browse-map:counties-ireland,"Review for target-family remap, then approve only as source-family evidence for the correct government/election boundary family.",Do not attach these broadly to counties or historic boundary maps just because Tailte/OSI is authoritative.
18,Administrative Areas Generalised 20m - National Statutory Boundaries - 2015,Tailte/OSI/data.gov.ie,spatial,ARCGIS GEOSERVICES REST API|CSV|GDB|GEOJSON|GPKG|HTML|KML|TXT|XLSX|ZIP,probable-variant-or-source-enrichment,remap-tailte-government-boundary-family,standard-open-licence-confirmed,Creative Commons Attribution 4.0,https://data.gov.ie/dataset/administrative-areas-generalised-20m-national-statutory-boundaries-20151,0.50,3. Authoritative boundary variants from Tailte/OSI/Open Data NI/NISRA,database-map:counties-ireland; browse-source:map-source:counties-ireland; browse-map:counties-ireland,"Review for target-family remap, then approve only as source-family evidence for the correct government/election boundary family.",Do not attach these broadly to counties or historic boundary maps just because Tailte/OSI is authoritative.
19,Administrative Areas Generalised 50m - National Statutory Boundaries - 2015,Tailte/OSI/data.gov.ie,spatial,ARCGIS GEOSERVICES REST API|CSV|GDB|GEOJSON|GPKG|HTML|KML|TXT|XLSX|ZIP,probable-variant-or-source-enrichment,remap-tailte-government-boundary-family,standard-open-licence-confirmed,Creative Commons Attribution 4.0,https://data.gov.ie/dataset/administrative-areas-generalised-50m-national-statutory-boundaries-20151,0.50,3. Authoritative boundary variants from Tailte/OSI/Open Data NI/NISRA,database-map:counties-ireland; browse-source:map-source:counties-ireland; browse-map:counties-ireland,"Review for target-family remap, then approve only as source-family evidence for the correct government/election boundary family.",Do not attach these broadly to counties or historic boundary maps just because Tailte/OSI is authoritative.
20,Administrative Areas Ungeneralised - National Statutory Boundaries - 2015,Tailte/OSI/data.gov.ie,spatial,ARCGIS GEOSERVICES REST API|CSV|GDB|GEOJSON|GPKG|HTML|KML|TXT|XLSX|ZIP,probable-variant-or-source-enrichment,remap-tailte-government-boundary-family,standard-open-licence-confirmed,Creative Commons Attribution 4.0,https://data.gov.ie/dataset/administrative-areas-ungeneralised-national-statutory-boundaries-20151,0.53,3. Authoritative boundary variants from Tailte/OSI/Open Data NI/NISRA,database-map:counties-ireland; browse-source:map-source:counties-ireland; browse-map:counties-ireland,"Review for target-family remap, then approve only as source-family evidence for the correct government/election boundary family.",Do not attach these broadly to counties or historic boundary maps just because Tailte/OSI is authoritative.
32,Constituency Boundaries - Generalised 100m - National Electoral Boundaries - 2017,Tailte/OSI/data.gov.ie,spatial,ARCGIS GEOSERVICES REST API|CSV|GDB|GEOJSON|GPKG|HTML|KML|TXT|XLSX|ZIP,hold-low-confidence-variant-review,hold-low-confidence-variant-review,standard-open-licence-confirmed,Creative Commons Attribution 4.0,https://data.gov.ie/dataset/constituency-boundaries-generalised-100m-national-electoral-boundaries-20171,0.44,2. Irish election source/enrichment data,database-map:counties-ireland; browse-source:map-source:counties-ireland; browse-map:counties-ireland,Hold. Evidence is too weak for public source/provenance enrichment without row-level confirmation.,"Low match confidence means this may be a neighbouring topic, variant, or false positive."
33,Constituency Boundaries - Generalised 20m - National Electoral Boundaries - 2017,Tailte/OSI/data.gov.ie,spatial,ARCGIS GEOSERVICES REST API|CSV|GDB|GEOJSON|GPKG|HTML|KML|TXT|XLSX|ZIP,hold-low-confidence-variant-review,hold-low-confidence-variant-review,standard-open-licence-confirmed,Creative Commons Attribution 4.0,https://data.gov.ie/dataset/constituency-boundaries-generalised-20m-national-electoral-boundaries-20171,0.44,2. Irish election source/enrichment data,database-map:counties-ireland; browse-source:map-source:counties-ireland; browse-map:counties-ireland,Hold. Evidence is too weak for public source/provenance enrichment without row-level confirmation.,"Low match confidence means this may be a neighbouring topic, variant, or false positive."
34,Constituency Boundaries - National Electoral Boundaries - Ungeneralised - 2026,Tailte/OSI/data.gov.ie,spatial,ARCGIS GEOSERVICES REST API|CSV|GDB|GEOJSON|GPKG|HTML|KML|TXT|XLSX|ZIP,probable-variant-or-source-enrichment,remap-tailte-government-boundary-family,standard-open-licence-confirmed,Creative Commons Attribution 4.0,https://data.gov.ie/dataset/constituency-boundaries-national-electoral-boundaries-ungeneralised-2026,0.50,2. Irish election source/enrichment data,database-map:counties-ireland; browse-source:map-source:counties-ireland; browse-map:counties-ireland,"Review for target-family remap, then approve only as source-family evidence for the correct government/election boundary family.",Do not attach these broadly to counties or historic boundary maps just because Tailte/OSI is authoritative.
35,Constituency Boundaries Generalised 20m - National Electoral Boundaries - 2013,Tailte/OSI/data.gov.ie,spatial,ARCGIS GEOSERVICES REST API|CSV|GDB|GEOJSON|GPKG|HTML|KML|TXT|XLSX|ZIP,hold-low-confidence-variant-review,hold-low-confidence-variant-review,standard-open-licence-confirmed,Creative Commons Attribution 4.0,https://data.gov.ie/dataset/constituency-boundaries-generalised-20m-national-electoral-boundaries-20131,0.44,2. Irish election source/enrichment data,database-map:counties-ireland; browse-source:map-source:counties-ireland; browse-map:counties-ireland,Hold. Evidence is too weak for public source/provenance enrichment without row-level confirmation.,"Low match confidence means this may be a neighbouring topic, variant, or false positive."
36,Constituency Boundaries Generalised 50m - National Electoral Boundaries - 2017,Tailte/OSI/data.gov.ie,spatial,ARCGIS GEOSERVICES REST API|CSV|GDB|GEOJSON|GPKG|HTML|KML|TXT|XLSX|ZIP,hold-low-confidence-variant-review,hold-low-confidence-variant-review,standard-open-licence-confirmed,Creative Commons Attribution 4.0,https://data.gov.ie/dataset/constituency-boundaries-generalised-50m-national-electoral-boundaries-20171,0.44,2. Irish election source/enrichment data,database-map:counties-ireland; browse-source:map-source:counties-ireland; browse-map:counties-ireland,Hold. Evidence is too weak for public source/provenance enrichment without row-level confirmation.,"Low match confidence means this may be a neighbouring topic, variant, or false positive."
37,Constituency Boundaries Ungeneralised - National Electoral Boundaries - 2013,Tailte/OSI/data.gov.ie,spatial,ARCGIS GEOSERVICES REST API|CSV|GDB|GEOJSON|GPKG|HTML|KML|TXT|XLSX|ZIP,probable-variant-or-source-enrichment,remap-tailte-government-boundary-family,standard-open-licence-confirmed,Creative Commons Attribution 4.0,https://data.gov.ie/dataset/constituency-boundaries-ungeneralised-national-electoral-boundaries-20131,0.47,2. Irish election source/enrichment data,database-map:counties-ireland; database-map:dail-2013; browse-source:map-source:dail-2013,"Review for target-family remap, then approve only as source-family evidence for the correct government/election boundary family.",Do not attach these broadly to counties or historic boundary maps just because Tailte/OSI is authoritative.
38,Constituency Boundaries Ungeneralised - National Electoral Boundaries - 2017,Tailte/OSI/data.gov.ie,spatial,ARCGIS GEOSERVICES REST API|CSV|GDB|GEOJSON|GPKG|HTML|KML|TXT|XLSX|ZIP,probable-variant-or-source-enrichment,remap-tailte-government-boundary-family,standard-open-licence-confirmed,Creative Commons Attribution 4.0,https://data.gov.ie/dataset/constituency-boundaries-ungeneralised-national-electoral-boundaries-20171,0.47,2. Irish election source/enrichment data,database-map:counties-ireland; database-map:dail-2017; browse-source:map-source:dail-2017,"Review for target-family remap, then approve only as source-family evidence for the correct government/election boundary family.",Do not attach these broadly to counties or historic boundary maps just because Tailte/OSI is authoritative.
39,Constituency Boundaries Ungeneralised - National Electoral Boundaries - 2023,Tailte/OSI/data.gov.ie,spatial,ARCGIS GEOSERVICES REST API|CSV|GDB|GEOJSON|GPKG|HTML|KML|TXT|XLSX|ZIP,probable-variant-or-source-enrichment,remap-tailte-government-boundary-family,standard-open-licence-confirmed,Creative Commons Attribution 4.0,https://data.gov.ie/dataset/constituency-boundaries-ungeneralised-national-electoral-boundaries-20231,0.47,2. Irish election source/enrichment data,database-map:counties-ireland; database-map:dail-2023; browse-source:map-source:dail-2023,"Review for target-family remap, then approve only as source-family evidence for the correct government/election boundary family.",Do not attach these broadly to counties or historic boundary maps just because Tailte/OSI is authoritative.
40,CSO Electoral Divisions - National Statistical Boundaries - 2022 - Generalised 100m,Tailte/OSI/data.gov.ie,spatial,ARCGIS GEOSERVICES REST API|CSV|GDB|GEOJSON|GPKG|HTML|KML|TXT|XLSX|ZIP,probable-variant-or-source-enrichment,remap-tailte-government-boundary-family,standard-open-licence-confirmed,Creative Commons Attribution 4.0,https://data.gov.ie/dataset/cso-electoral-divisions-national-statistical-boundaries-2022-generalised-100m1,0.47,3. Authoritative boundary variants from Tailte/OSI/Open Data NI/NISRA,database-map:counties-ireland; browse-source:map-source:counties-ireland; browse-map:counties-ireland,"Review for target-family remap, then approve only as source-family evidence for the correct government/election boundary family.",Do not attach these broadly to counties or historic boundary maps just because Tailte/OSI is authoritative.
41,CSO Electoral Divisions - National Statistical Boundaries - 2022 - Generalised 20m,Tailte/OSI/data.gov.ie,spatial,ARCGIS GEOSERVICES REST API|CSV|GDB|GEOJSON|GPKG|HTML|KML|TXT|XLSX|ZIP,probable-variant-or-source-enrichment,remap-tailte-government-boundary-family,standard-open-licence-confirmed,Creative Commons Attribution 4.0,https://data.gov.ie/dataset/cso-electoral-divisions-national-statistical-boundaries-2022-generalised-20m1,0.47,3. Authoritative boundary variants from Tailte/OSI/Open Data NI/NISRA,database-map:counties-ireland; browse-source:map-source:counties-ireland; browse-map:counties-ireland,"Review for target-family remap, then approve only as source-family evidence for the correct government/election boundary family.",Do not attach these broadly to counties or historic boundary maps just because Tailte/OSI is authoritative.
42,CSO Electoral Divisions - National Statistical Boundaries - 2022 - Generalised 50m,Tailte/OSI/data.gov.ie,spatial,ARCGIS GEOSERVICES REST API|CSV|GDB|GEOJSON|GPKG|HTML|KML|TXT|XLSX|ZIP,probable-variant-or-source-enrichment,remap-tailte-government-boundary-family,standard-open-licence-confirmed,Creative Commons Attribution 4.0,https://data.gov.ie/dataset/cso-electoral-divisions-national-statistical-boundaries-2022-generalised-50m1,0.47,3. Authoritative boundary variants from Tailte/OSI/Open Data NI/NISRA,database-map:counties-ireland; browse-source:map-source:counties-ireland; browse-map:counties-ireland,"Review for target-family remap, then approve only as source-family evidence for the correct government/election boundary family.",Do not attach these broadly to counties or historic boundary maps just because Tailte/OSI is authoritative.
43,CSO Electoral Divisions - National Statistical Boundaries - 2022 - Ungeneralised,Tailte/OSI/data.gov.ie,spatial,ARCGIS GEOSERVICES REST API|CSV|GDB|GEOJSON|GPKG|HTML|KML|TXT|XLSX|ZIP,probable-variant-or-source-enrichment,remap-tailte-government-boundary-family,standard-open-licence-confirmed,Creative Commons Attribution 4.0,https://data.gov.ie/dataset/cso-electoral-divisions-national-statistical-boundaries-2022-ungeneralised1,0.50,3. Authoritative boundary variants from Tailte/OSI/Open Data NI/NISRA,database-map:counties-ireland; database-map:roi-small-areas-2022; browse-source:map-source:roi-small-areas-2022,"Review for target-family remap, then approve only as source-family evidence for the correct government/election boundary family.",Do not attach these broadly to counties or historic boundary maps just because Tailte/OSI is authoritative.
44,CSO Electoral Divisions Generalised 20m - National Statistical Boundaries - 2015,Tailte/OSI/data.gov.ie,spatial,ARCGIS GEOSERVICES REST API|CSV|GDB|GEOJSON|GPKG|HTML|KML|TXT|XLSX|ZIP,probable-variant-or-source-enrichment,remap-tailte-government-boundary-family,standard-open-licence-confirmed,Creative Commons Attribution 4.0,https://data.gov.ie/dataset/cso-electoral-divisions-generalised-20m-national-statistical-boundaries-2015,0.50,3. Authoritative boundary variants from Tailte/OSI/Open Data NI/NISRA,database-map:counties-ireland; browse-source:map-source:counties-ireland; browse-map:counties-ireland,"Review for target-family remap, then approve only as source-family evidence for the correct government/election boundary family.",Do not attach these broadly to counties or historic boundary maps just because Tailte/OSI is authoritative.
45,CSO Electoral Divisions Generalised 50m - National Statistical Boundaries - 2015,Tailte/OSI/data.gov.ie,spatial,ARCGIS GEOSERVICES REST API|CSV|GDB|GEOJSON|GPKG|HTML|KML|TXT|XLSX|ZIP,probable-variant-or-source-enrichment,remap-tailte-government-boundary-family,standard-open-licence-confirmed,Creative Commons Attribution 4.0,https://data.gov.ie/dataset/cso-electoral-divisions-generalised-50m-national-statistical-boundaries-2015,0.50,3. Authoritative boundary variants from Tailte/OSI/Open Data NI/NISRA,database-map:counties-ireland; browse-source:map-source:counties-ireland; browse-map:counties-ireland,"Review for target-family remap, then approve only as source-family evidence for the correct government/election boundary family.",Do not attach these broadly to counties or historic boundary maps just because Tailte/OSI is authoritative.
46,CSO Electoral Divisions Ungeneralised - National Statistical Boundaries - 2015,Tailte/OSI/data.gov.ie,spatial,ARCGIS GEOSERVICES REST API|CSV|GDB|GEOJSON|GPKG|HTML|KML|TXT|XLSX|ZIP,probable-variant-or-source-enrichment,remap-tailte-government-boundary-family,standard-open-licence-confirmed,Creative Commons Attribution 4.0,https://data.gov.ie/dataset/cso-electoral-divisions-ungeneralised-national-statistical-boundaries-2015,0.53,3. Authoritative boundary variants from Tailte/OSI/Open Data NI/NISRA,database-map:counties-ireland; browse-source:map-source:counties-ireland; browse-map:counties-ireland,"Review for target-family remap, then approve only as source-family evidence for the correct government/election boundary family.",Do not attach these broadly to counties or historic boundary maps just because Tailte/OSI is authoritative.
47,CSO Local Electoral Areas - National Statistical Boundaries - 2022 - Generalised 100m,Tailte/OSI/data.gov.ie,spatial,ARCGIS GEOSERVICES REST API|CSV|GDB|GEOJSON|GPKG|HTML|KML|TXT|XLSX|ZIP,probable-variant-or-source-enrichment,remap-tailte-government-boundary-family,standard-open-licence-confirmed,Creative Commons Attribution 4.0,https://data.gov.ie/dataset/cso-local-electoral-areas-national-statistical-boundaries-2022-generalised-100m1,0.47,3. Authoritative boundary variants from Tailte/OSI/Open Data NI/NISRA,database-map:counties-ireland; browse-source:map-source:counties-ireland; browse-map:counties-ireland,"Review for target-family remap, then approve only as source-family evidence for the correct government/election boundary family.",Do not attach these broadly to counties or historic boundary maps just because Tailte/OSI is authoritative.
48,CSO Local Electoral Areas - National Statistical Boundaries - 2022 - Generalised 20m,Tailte/OSI/data.gov.ie,spatial,ARCGIS GEOSERVICES REST API|CSV|GDB|GEOJSON|GPKG|HTML|KML|TXT|XLSX|ZIP,probable-variant-or-source-enrichment,remap-tailte-government-boundary-family,standard-open-licence-confirmed,Creative Commons Attribution 4.0,https://data.gov.ie/dataset/cso-local-electoral-areas-national-statistical-boundaries-2022-generalised-20m1,0.47,3. Authoritative boundary variants from Tailte/OSI/Open Data NI/NISRA,database-map:counties-ireland; browse-source:map-source:counties-ireland; browse-map:counties-ireland,"Review for target-family remap, then approve only as source-family evidence for the correct government/election boundary family.",Do not attach these broadly to counties or historic boundary maps just because Tailte/OSI is authoritative.
49,CSO Local Electoral Areas - National Statistical Boundaries - 2022 - Generalised 50m,Tailte/OSI/data.gov.ie,spatial,ARCGIS GEOSERVICES REST API|CSV|GDB|GEOJSON|GPKG|HTML|KML|TXT|XLSX|ZIP,probable-variant-or-source-enrichment,remap-tailte-government-boundary-family,standard-open-licence-confirmed,Creative Commons Attribution 4.0,https://data.gov.ie/dataset/cso-local-electoral-areas-national-statistical-boundaries-2022-generalised-50m1,0.47,3. Authoritative boundary variants from Tailte/OSI/Open Data NI/NISRA,database-map:counties-ireland; browse-source:map-source:counties-ireland; browse-map:counties-ireland,"Review for target-family remap, then approve only as source-family evidence for the correct government/election boundary family.",Do not attach these broadly to counties or historic boundary maps just because Tailte/OSI is authoritative.
50,CSO Local Electoral Areas - National Statistical Boundaries - 2022 - Ungeneralised,Tailte/OSI/data.gov.ie,spatial,ARCGIS GEOSERVICES REST API|CSV|GDB|GEOJSON|GPKG|HTML|KML|TXT|XLSX|ZIP,probable-variant-or-source-enrichment,remap-tailte-government-boundary-family,standard-open-licence-confirmed,Creative Commons Attribution 4.0,https://data.gov.ie/dataset/cso-local-electoral-areas-national-statistical-boundaries-2022-ungeneralised1,0.50,3. Authoritative boundary variants from Tailte/OSI/Open Data NI/NISRA,database-map:counties-ireland; database-map:roi-small-areas-2022; browse-source:map-source:roi-small-areas-2022,"Review for target-family remap, then approve only as source-family evidence for the correct government/election boundary family.",Do not attach these broadly to counties or historic boundary maps just because Tailte/OSI is authoritative.
55,Electoral Divisions - National Statutory Boundaries - 2019 - Generalised 20m,Tailte/OSI/data.gov.ie,spatial,ARCGIS GEOSERVICES REST API|CSV|GDB|GEOJSON|GPKG|HTML|KML|TXT|XLSX|ZIP,probable-variant-or-source-enrichment,remap-tailte-government-boundary-family,standard-open-licence-confirmed,Creative Commons Attribution 4.0,https://data.gov.ie/dataset/electoral-divisions-national-statutory-boundaries-2019-generalised-20m1,0.53,3. Authoritative boundary variants from Tailte/OSI/Open Data NI/NISRA,database-map:counties-ireland; browse-source:map-source:counties-ireland; browse-map:counties-ireland,"Review for target-family remap, then approve only as source-family evidence for the correct government/election boundary family.",Do not attach these broadly to counties or historic boundary maps just because Tailte/OSI is authoritative.
56,Electoral Divisions - National Statutory Boundaries - Ungeneralised - 2024,Tailte/OSI/data.gov.ie,spatial,ARCGIS GEOSERVICES REST API|CSV|GDB|GEOJSON|GPKG|HTML|KML|TXT|XLSX|ZIP,probable-variant-or-source-enrichment,remap-tailte-government-boundary-family,standard-open-licence-confirmed,Creative Commons Attribution 4.0,https://data.gov.ie/dataset/electoral-divisions-national-statutory-boundaries-ungeneralised-20241,0.50,3. Authoritative boundary variants from Tailte/OSI/Open Data NI/NISRA,database-map:counties-ireland; browse-source:map-source:counties-ireland; browse-map:counties-ireland,"Review for target-family remap, then approve only as source-family evidence for the correct government/election boundary family.",Do not attach these broadly to counties or historic boundary maps just because Tailte/OSI is authoritative.
57,Electoral Divisions - National Statutory Boundaries - Ungeneralised 2026,Tailte/OSI/data.gov.ie,spatial,ARCGIS GEOSERVICES REST API|CSV|GDB|GEOJSON|GPKG|HTML|KML|TXT|XLSX|ZIP,probable-variant-or-source-enrichment,remap-tailte-government-boundary-family,standard-open-licence-confirmed,Creative Commons Attribution 4.0,https://data.gov.ie/dataset/electoral-divisions-national-statutory-boundaries-ungeneralised-2026,0.53,3. Authoritative boundary variants from Tailte/OSI/Open Data NI/NISRA,database-map:counties-ireland; browse-source:map-source:counties-ireland; browse-map:counties-ireland,"Review for target-family remap, then approve only as source-family evidence for the correct government/election boundary family.",Do not attach these broadly to counties or historic boundary maps just because Tailte/OSI is authoritative.
58,Gaeltacht Areas - National Administrative Boundaries - Ungeneralised - 2024,Tailte/OSI/data.gov.ie,spatial,ARCGIS GEOSERVICES REST API|CSV|GDB|GEOJSON|GPKG|HTML|KML|TXT|XLSX|ZIP,probable-variant-or-source-enrichment,remap-tailte-government-boundary-family,standard-open-licence-confirmed,Creative Commons Attribution 4.0,https://data.gov.ie/dataset/gaeltacht-areas-national-administrative-boundaries-ungeneralised-20241,0.47,3. Authoritative boundary variants from Tailte/OSI/Open Data NI/NISRA,database-map:counties-ireland; browse-source:map-source:counties-ireland; browse-map:counties-ireland,"Review for target-family remap, then approve only as source-family evidence for the correct government/election boundary family.",Do not attach these broadly to counties or historic boundary maps just because Tailte/OSI is authoritative.
59,Gaeltacht Areas - National Administrative Boundaries - Ungeneralised - 2026,Tailte/OSI/data.gov.ie,spatial,ARCGIS GEOSERVICES REST API|CSV|GDB|GEOJSON|GPKG|HTML|KML|TXT|XLSX|ZIP,probable-variant-or-source-enrichment,remap-tailte-government-boundary-family,standard-open-licence-confirmed,Creative Commons Attribution 4.0,https://data.gov.ie/dataset/gaeltacht-areas-national-administrative-boundaries-ungeneralised-2026,0.50,3. Authoritative boundary variants from Tailte/OSI/Open Data NI/NISRA,database-map:counties-ireland; browse-source:map-source:counties-ireland; browse-map:counties-ireland,"Review for target-family remap, then approve only as source-family evidence for the correct government/election boundary family.",Do not attach these broadly to counties or historic boundary maps just because Tailte/OSI is authoritative.
